# Created by WEAP: 12/14/2020 6:12:11 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: OR_W_N Umpqua (63,455 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (12,215 ha),  1000 - 2000 m (50,550 ha),  2000 - 3000 m (690 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m

1970, 1, 347.4, 371.4, 360, 1.753, -0.4559, -4.002, 3.424, 3.426, 3.443
1970, 2, 83.28, 88.21, 83.83, 4.631, 2.373, -1.089, 2.194, 2.184, 2.164
1970, 3, 93.94, 97.36, 92.98, 5.303, 2.948, -0.8925, 2.452, 2.425, 2.41
1970, 4, 124.6, 122.7, 105.9, 5.229, 2.819, -1.177, 2.534, 2.533, 2.5
1970, 5, 50.92, 47.41, 46.78, 13.17, 10.69, 6.789, 2.399, 2.362, 2.317
1970, 6, 34.09, 39.84, 39.86, 18.4, 15.96, 11.98, 2.329, 2.28, 2.217
1970, 7, 0.03138, 0.6245, 1.895, 20.71, 18.46, 15, 2.573, 2.5, 2.403
1970, 8, 0.7122, 0.5967, 0.3158, 19.96, 17.83, 14.59, 2.349, 2.288, 2.196
1970, 9, 29.28, 30, 27.77, 13.83, 11.56, 8.051, 2.122, 2.101, 2.073
1970, 10, 133.9, 139.7, 121.2, 9.221, 7.09, 3.831, 2.35, 2.341, 2.327
1970, 11, 293.3, 306.9, 307, 4.848, 2.675, -0.7139, 2.945, 2.945, 2.939
1970, 12, 216.7, 222.2, 212.9, -0.6213, -2.786, -6.185, 3.268, 3.274, 3.261
1971, 1, 291, 306.9, 284.8, -0.8052, -2.671, -5.415, 2.765, 2.766, 2.734
1971, 2, 182.6, 184, 166.1, 1.603, -0.4505, -3.6, 2.558, 2.567, 2.55
1971, 3, 207, 210.2, 203.6, 2.333, 0.04775, -3.689, 2.997, 2.991, 2.966
1971, 4, 78.47, 76.73, 69.07, 6.84, 4.448, 0.5445, 2.478, 2.478, 2.485
1971, 5, 89.38, 86.58, 69.45, 11.54, 9.302, 5.576, 2.873, 2.864, 2.857
1971, 6, 50.09, 50.88, 47.95, 14.4, 12.09, 8.37, 2.008, 1.98, 1.957
1971, 7, 2.236, 2.928, 3.414, 20.19, 17.98, 14.66, 2.409, 2.337, 2.251
