# Created by WEAP: 5/10/2021 8:49:20 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_SCE_CEN_Upr San Jo (67,585 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (22,940 ha),  3000 - 4000 m (44,559 ha),  4000 - 5000 m (86 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, -3.168, -6.953, -8.436, 98.49, 97.79, 75.65
2006, 2, -3.993, -7.445, -8.624, 321.2, 364.2, 266.6
2006, 3, -0.1933, -3.406, -4.462, 103.4, 98.16, 68.35
2006, 4, -0.2026, -3.134, -3.847, 131.9, 145.6, 99.88
2006, 5, 4.528, 1.895, 1.4, 10.04, 8.142, 4.389
2006, 6, 10.45, 7.707, 7.223, 18.29, 23.6, 18.4
2006, 7, 15.39, 12.51, 11.72, 4.599, 2.757, 3.885
2006, 8, 15.23, 12.22, 11.35, 11.84, 17.17, 21.21
2006, 9, 11.46, 8.218, 7.177, 0, 0.0008551, 0.01482
2006, 10, 6.433, 3.075, 1.928, 65.4, 44.21, 22.71
2006, 11, 0.07997, -3.451, -4.765, 71.36, 86.52, 69.69
2006, 12, -3.437, -7.015, -8.32, 312.2, 425.3, 374.5
2007, 1, -4.081, -8.199, -10.05, 254.9, 301.8, 244
2007, 2, -4.603, -8.238, -9.632, 245.6, 264.3, 194.6
2007, 3, -3, -6.41, -7.494, 94.05, 92.7, 69.04
2007, 4, 1.639, -1.617, -2.763, 27.29, 26.32, 22.49
2007, 5, 4.932, 2.129, 1.52, 99.05, 124.9, 117.1
2007, 6, 10.99, 8.276, 7.763, 1.134, 1.334, 0.6704
2007, 7, 15.3, 12.59, 11.93, 2.041, 2.292, 2.799
2007, 8, 15.75, 12.78, 11.96, 1.525, 1.511, 2.133
2007, 9, 12.12, 8.809, 7.685, 17.49, 20.78, 24.67
2007, 10, 6.289, 2.805, 1.594, 3.817, 6.407, 5.569
2007, 11, -1.286, -4.883, -6.147, 176.7, 223.4, 207.8
2007, 12, -2.27, -6.215, -7.836, 146, 164.4, 135
2008, 1, -3.188, -7.165, -8.686, 350.4, 367.6, 286
2008, 2, -1.13, -4.835, -6.325, 207.2, 251.3, 195.3
2008, 3, -1.294, -4.812, -6.165, 21.75, 18.94, 10.02
2008, 4, 1.492, -1.622, -2.537, 32.08, 30.64, 21.12
2008, 5, 7.242, 4.276, 3.576, 86.02, 120.7, 111.3
2008, 6, 13, 10.11, 9.427, 3.572, 4.289, 2.903
2008, 7, 15.34, 12.56, 11.89, 0.4599, 0.392, 0.6457
2008, 8, 13.58, 10.69, 9.96, 7.948, 8.359, 7.055
2008, 9, 12.11, 8.785, 7.645, 0.6589, 0.03571, 0
2008, 10, 7.315, 3.76, 2.432, 83.23, 78.36, 57.38
