# Created by WEAP: 5/10/2021 8:50:00 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_NW_Blue (83,301 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (51,528 ha),  3000 - 4000 m (31,756 ha),  4000 - 5000 m (17 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, -7.378, -9.74, -12.51, 38, 59.6, 80.31
2006, 2, -5.297, -7.939, -10.31, 74.45, 116, 151.3
2006, 3, -0.4556, -3.646, -5.651, 41.81, 61.66, 86.93
2006, 4, 2.344, -1.068, -2.956, 101.8, 140.4, 163.9
2006, 5, 9.921, 6.786, 4.998, 63.97, 86.99, 80.3
2006, 6, 13.77, 10.27, 8.581, 53.43, 60.17, 66.47
2006, 7, 18.09, 14.63, 12.85, 49.72, 61.28, 74.61
2006, 8, 16.09, 12.75, 10.98, 58.52, 68.44, 93.86
2006, 9, 11.21, 7.984, 6.04, 19.1, 22.74, 29.4
2006, 10, 7.891, 4.694, 2.769, 31.99, 45.68, 56.71
2006, 11, -1.522, -4.47, -6.699, 49.58, 74.99, 87.9
2006, 12, -6.051, -9.052, -11.42, 40.78, 64.42, 82.47
2007, 1, -9.478, -12.03, -14.67, 47.42, 76.8, 88.79
2007, 2, -7.316, -9.812, -12.47, 53.26, 76.55, 103.8
2007, 3, -6.427, -9.543, -11.55, 25.06, 39.33, 44.79
2007, 4, 2.794, -0.6245, -2.346, 39.87, 59.12, 67.67
2007, 5, 11.7, 8.249, 6.56, 20.36, 24.78, 29.55
2007, 6, 13.9, 10.53, 8.781, 29.8, 33.88, 33.93
2007, 7, 16.52, 13.22, 11.33, 78.9, 100, 113.9
2007, 8, 16.49, 13.16, 11.34, 53.23, 62.18, 83.67
2007, 9, 9.192, 5.798, 4.229, 62.93, 74.86, 96.36
2007, 10, 5.034, 1.806, -0.1599, 36.35, 47.09, 55.71
2007, 11, -1.508, -4.586, -6.764, 53.46, 85.17, 99.14
2007, 12, -10.37, -12.85, -15.7, 71.95, 107.1, 144.8
2008, 1, -7.97, -10.46, -13.25, 67.4, 102.3, 138.2
2008, 2, -9.591, -12.18, -14.65, 21.01, 34.1, 40.98
2008, 3, -9.184, -12.26, -14.39, 40.02, 63.49, 81.74
2008, 4, 1.974, -1.481, -3.427, 71.9, 102.5, 122.5
2008, 5, 10.31, 7.068, 5.341, 19.2, 28.68, 31.96
2008, 6, 15.05, 11.62, 10.04, 52.88, 69.16, 62.48
2008, 7, 19.31, 15.95, 14.32, 26.19, 30.23, 32.66
2008, 8, 17.62, 14.25, 12.63, 51.63, 62.16, 82.76
2008, 9, 13.06, 9.832, 8.059, 12.51, 17.03, 18.53
2008, 10, 7.016, 3.875, 1.88, 23.46, 35.68, 37.78
2008, 11, -1.41, -4.499, -6.527, 45.01, 69.22, 73.36
2008, 12, -5.065, -7.718, -10.33, 19.26, 32.12, 39.91
2009, 1, -9.325, -11.9, -14.58, 38.05, 65.17, 68.35
2009, 2, -10.21, -12.85, -15.31, 31.73, 52, 61.23
2009, 3, -6.917, -10.09, -12.14, 29.59, 47.65, 55.51
2009, 4, 0.04045, -3.617, -5.222, 58.3, 75.79, 89.85
2009, 5, 9.535, 6.129, 4.379, 37.96, 47.36, 56.68
2009, 6, 13.26, 9.887, 8.215, 51.2, 57.62, 75.31
2009, 7, 17.06, 13.73, 11.82, 43.94, 50.5, 73.36
2009, 8, 17.24, 14.03, 12.31, 18.77, 23.58, 25.49
2009, 9, 14.75, 11.57, 9.612, 9.114, 12.19, 10.9
2009, 10, 7.358, 4.221, 2.202, 14.75, 18.91, 26.09
2009, 11, 1.044, -1.959, -4.309, 40.23, 60.59, 66.69
2009, 12, -2.858, -5.693, -8.425, 32.47, 48.88, 59.71
2010, 1, -10.38, -12.9, -15.36, 62.59, 90.08, 120.4
2010, 2, -9.924, -12.75, -15.3, 14.5, 25.47, 34.94
2010, 3, -4.858, -8.055, -10.09, 32.1, 47.45, 53.37
2010, 4, 6.79, 3.425, 1.78, 32.7, 47.73, 55.65
2010, 5, 8.232, 4.991, 3.303, 57.91, 72.36, 84.37
2010, 6, 14.02, 10.72, 9.071, 45.12, 41.02, 40.89
2010, 7, 18.31, 14.98, 13.23, 14.41, 14.78, 16.92
2010, 8, 17.89, 14.6, 12.83, 15.37, 21.2, 21.85
2010, 9, 15.71, 12.43, 10.64, 34.81, 52.09, 52.06
2010, 10, 5.787, 2.581, 0.7339, 36.09, 48.15, 52.96
2010, 11, 0.4423, -2.677, -5.055, 34.72, 50.74, 56.38
2010, 12, -4.1, -6.855, -9.65, 15.41, 29.35, 33.59
2011, 1, -11.17, -13.89, -16.53, 28.98, 50.75, 59.27
2011, 2, -8.552, -11.14, -13.7, 28.72, 45.82, 55.37
2011, 3, -2.381, -5.574, -7.634, 44.92, 70.68, 90.46
2011, 4, 8.162, 4.867, 3.06, 23.8, 33.62, 36.84
2011, 5, 9.945, 6.742, 4.93, 48.84, 67.53, 62.85
2011, 6, 16.05, 12.63, 10.91, 17.53, 23.19, 16.82
2011, 7, 18.73, 15.43, 13.64, 14.56, 13.65, 18.46
2011, 8, 17.46, 14.11, 12.43, 22.33, 34.9, 30.65
2011, 9, 12.73, 9.45, 7.574, 42.08, 52.01, 63.46
2011, 10, 6.089, 2.874, 0.9702, 34.36, 49.53, 61.89
2011, 11, -3.044, -6.019, -8.202, 28.78, 46.96, 56.12
2011, 12, -8.114, -10.83, -13.45, 69.39, 102.9, 126.2
2012, 1, -7.194, -9.839, -12.41, 95.19, 151.1, 175.4
2012, 2, -3.855, -6.763, -8.918, 18.11, 29.02, 25.15
2012, 3, 0.2741, -2.998, -4.904, 94.54, 136.6, 185.5
2012, 4, 7.123, 3.694, 1.793, 80.48, 104.8, 129.7
2012, 5, 11.79, 8.584, 6.832, 87.94, 115.7, 117.9
2012, 6, 15.24, 11.82, 10.26, 21.91, 23.7, 29.72
2012, 7, 16.72, 13.45, 11.75, 36.8, 43.3, 48.62
2012, 8, 17.54, 14.17, 12.45, 60.17, 78.6, 83.08
2012, 9, 12.66, 9.41, 7.47, 37.51, 50.3, 55.29
2012, 10, 5.703, 2.536, 0.6387, 33.3, 48.84, 52.21
2012, 11, -0.9628, -4.065, -6.175, 62.67, 95.05, 108.6
2012, 12, -10.48, -13.11, -15.85, 33.1, 53.18, 60.35
2013, 1, -8.028, -10.58, -13.26, 37.79, 60.06, 71.03
2013, 2, -8.489, -11.07, -13.59, 42.51, 72.36, 95.48
2013, 3, -5.107, -8.088, -10.45, 45.28, 64.68, 88.34
2013, 4, -1.633, -4.947, -6.929, 77.97, 113.1, 133.2
2013, 5, 9.419, 6.099, 4.418, 21.04, 25.87, 18.38
2013, 6, 14.24, 10.85, 9.089, 22.49, 27.32, 21.02
2013, 7, 18.14, 14.74, 13, 76.44, 100.4, 108.6
2013, 8, 17.34, 14.02, 12.25, 18.03, 25.38, 24.91
2013, 9, 14.67, 11.42, 9.5, 14.33, 21.95, 19.53
2013, 10, 8.406, 5.364, 3.398, 9.995, 17.13, 17.53
2013, 11, -0.1571, -2.961, -5.28, 43.61, 71.1, 78.6
2013, 12, -3.735, -6.418, -8.864, 27.7, 41.93, 53.23
2014, 1, -9.78, -12.14, -15.01, 18.4, 28.99, 36.2
2014, 2, -5.43, -8.265, -10.86, 13.21, 19.18, 23.17
2014, 3, -4.843, -8.18, -10.02, 40.73, 65.34, 84.81
2014, 4, 4.649, 1.138, -0.557, 33.72, 44.46, 53.47
2014, 5, 11.01, 7.604, 5.883, 51.51, 69.07, 83.12
2014, 6, 16.01, 12.53, 11.02, 44.28, 45.34, 57.68
2014, 7, 17.93, 14.57, 12.93, 50.17, 53.13, 62.42
2014, 8, 17.35, 13.95, 12.31, 18.22, 22.61, 27.68
2014, 9, 13.23, 9.901, 8.037, 15.73, 20.42, 24.58
2014, 10, 8.887, 5.663, 3.738, 4.175, 6.671, 6.406
2014, 11, 0.808, -2.24, -4.429, 52.09, 79.15, 91.74
2014, 12, -8.004, -10.62, -13.42, 23.93, 34.91, 43.36
2015, 1, -9.058, -11.59, -14.35, 34.87, 56.34, 70.26
2015, 2, -5.704, -8.159, -10.99, 23.94, 35.08, 41.44
2015, 3, 0.357, -2.53, -4.849, 36.18, 49.45, 68.87
2015, 4, 5.226, 2.124, 0.1724, 38.24, 52.12, 56.99
2015, 5, 13.12, 9.856, 8.091, 7.392, 8.524, 9.602
2015, 6, 16.76, 13.35, 11.76, 21.55, 27.4, 22.86
2015, 7, 20.49, 17.12, 15.34, 33.32, 41, 49.88
2015, 8, 15.23, 11.87, 10.12, 140.6, 170.8, 216
2015, 9, 12.82, 9.617, 7.699, 22.74, 28.03, 32.31
2015, 10, 4.319, 0.9791, -0.8197, 27.04, 39.65, 44.02
2015, 11, -1.06, -4.07, -6.465, 48.6, 67.31, 91.95
2015, 12, -7.796, -10.54, -13.21, 36.65, 59.04, 70.93
2016, 1, -11.01, -13.49, -16.53, 40.62, 60.93, 77.42
2016, 2, -8.81, -11.27, -14.12, 40.5, 59.95, 76.51
2016, 3, 0.571, -2.633, -4.661, 49.54, 81.65, 102.4
2016, 4, 2.421, -0.8979, -2.736, 67.15, 100.1, 126.7
2016, 5, 10.06, 6.808, 5.003, 18.98, 23.81, 26.29
2016, 6, 13.86, 10.52, 8.807, 12.64, 17.23, 12.22
2016, 7, 18.06, 14.73, 12.85, 46.73, 51.61, 65.94
2016, 8, 17.21, 13.96, 12.09, 21.25, 25.71, 30.54
2016, 9, 12.47, 9.183, 7.335, 31.66, 37.89, 52.4
2016, 10, 8.134, 4.991, 2.949, 59.28, 77.41, 104.8
2016, 11, -2.347, -5.3, -7.799, 67.69, 100.3, 129.2
2016, 12, -8.351, -10.98, -13.87, 32.43, 48.65, 67.83
2017, 1, -4.706, -7.182, -10.03, 65.24, 102.8, 133.1
2017, 2, -6.487, -9.373, -11.78, 20.29, 35.61, 38.97
2017, 3, -2.111, -5.512, -7.358, 60.88, 102.4, 116.3
2017, 4, 5.589, 2.041, 0.4437, 59.05, 76.13, 86.45
2017, 5, 12.61, 9.384, 7.535, 31.43, 38.27, 55.1
2017, 6, 15.62, 12.25, 10.34, 23.99, 25.81, 37.34
2017, 7, 18.12, 14.69, 12.88, 53.01, 61.7, 83.38
2017, 8, 18.69, 15.35, 13.61, 7.583, 10.03, 8.345
2017, 9, 12.77, 9.443, 7.419, 56.87, 74.18, 97.1
2017, 10, 9.009, 5.829, 3.98, 26.98, 37.01, 44.75
2017, 11, -1.279, -4.24, -6.349, 37.78, 59.23, 66.91
2017, 12, -7.175, -9.748, -12.42, 33.55, 53.25, 68.53
2018, 1, -6.419, -8.887, -11.87, 34.03, 55.8, 68.43
2018, 2, -2.825, -5.464, -8.217, 15.66, 28.76, 30.99
2018, 3, -2.149, -5.507, -7.294, 54.44, 93.05, 112.2
2018, 4, 5.235, 1.758, -0.145, 77.35, 112.5, 113.7
2018, 5, 9.001, 5.722, 3.94, 99.32, 120.2, 126.8
2018, 6, 16.81, 13.48, 11.84, 12.27, 15.11, 16.83
2018, 7, 16.39, 13.05, 11.15, 31.36, 32.67, 36.56
2018, 8, 18.65, 15.27, 13.61, 19.95, 26.24, 24.14
2018, 9, 12.21, 8.959, 7.173, 55.28, 66.64, 89.37
2018, 10, 8.736, 5.564, 3.785, 15.86, 25.96, 21.61
2018, 11, 4.126, 1.241, -1.105, 16.73, 27.3, 34.95
2018, 12, -6.467, -8.977, -11.62, 21.57, 31.93, 44.69
2019, 1, -9.832, -12.13, -15.29, 25.63, 40.64, 46.22
2019, 2, -4.448, -7.221, -10.05, 29.65, 44.39, 51.03
2019, 3, 0.7464, -2.342, -4.351, 59.05, 95.92, 129
2019, 4, 5.974, 2.563, 0.7957, 58.51, 94.86, 100
2019, 5, 8.6, 5.269, 3.474, 65.71, 83.94, 84.51
2019, 6, 16.53, 13.12, 11.39, 10.76, 12.19, 9.881
2019, 7, 18.7, 15.34, 13.66, 59.21, 73.86, 88.82
2019, 8, 17.59, 14.28, 12.59, 33.91, 41.76, 41.34
2019, 9, 10.96, 7.544, 5.771, 23.39, 30.62, 30.84
2019, 10, 6.173, 2.981, 1.011, 26.05, 36.48, 40.47
2019, 11, -3.394, -6.4, -8.663, 21.98, 40.34, 34.43
2019, 12, -8.797, -11.13, -14.1, 19.66, 28.34, 36.14
2020, 1, -10.3, -12.72, -15.96, 43.81, 73.01, 79.09
2020, 2, -5.517, -8.063, -10.94, 36.07, 59.3, 75.42
2020, 3, -3.741, -6.656, -8.768, 31.47, 50.55, 63.33
2020, 4, 3.611, 0.3944, -1.577, 22.7, 36.36, 38.71
2020, 5, 12.18, 8.772, 7.136, 11.56, 15.55, 12.94
2020, 6, 15.86, 12.47, 10.89, 23.93, 26.32, 27.7
2020, 7, 18.26, 14.97, 13.1, 23.58, 27.89, 21.93
2020, 8, 19.4, 15.98, 14.33, 26.46, 34.34, 43.49
2020, 9, 11.23, 7.919, 6.088, 69.83, 86.68, 115.7
2020, 10, 7.316, 4.097, 2.219, 19.03, 26.81, 34.55
2020, 11, -4.759, -7.834, -10.22, 29.57, 42.95, 50.38
2020, 12, -4.494, -7.193, -9.973, 15.94, 26.24, 32.67
2021, 1, -6.402, -8.902, -11.97, 32.16, 51.72, 62.43
2021, 2, -3.57, -6.392, -8.932, 23.94, 41.64, 46.25
2021, 3, 1.686, -1.529, -3.633, 21.65, 32.36, 48.98
2021, 4, 5.096, 1.799, -0.06878, 40.47, 57.05, 61.12
2021, 5, 13.46, 10.25, 8.619, 13.43, 16.44, 18.34
2021, 6, 14.71, 11.27, 9.668, 23.96, 30.85, 28.99
2021, 7, 19.29, 15.89, 14.3, 29.24, 30.62, 34.18
2021, 8, 17.51, 14.04, 12.26, 43.92, 55.94, 73.52
2021, 9, 13.39, 10.07, 8.311, 16.85, 22.89, 23.88
2021, 10, 5.381, 2.114, 0.08127, 30.42, 35.77, 49.69
2021, 11, 1.746, -1.379, -3.706, 51.93, 76.73, 81.76
2021, 12, -5.352, -8.048, -10.72, 47.82, 79.21, 75.88
2022, 1, -8.683, -11.06, -14.05, 31.78, 48.73, 63.31
2022, 2, -4.373, -7.031, -9.658, 32.6, 48.29, 62.07
2022, 3, 2.354, -0.9634, -2.809, 38.58, 63.58, 79.48
2022, 4, 7.102, 3.738, 1.839, 78.53, 110.2, 129.3
2022, 5, 10.2, 6.944, 5.212, 127.3, 135.9, 161.6
2022, 6, 13.68, 10.38, 8.593, 69.05, 81.11, 86.02
2022, 7, 16.39, 12.95, 11.14, 47.46, 51.34, 58.98
2022, 8, 17.47, 14.12, 12.44, 49.14, 65.63, 79.46
2022, 9, 13.33, 10.04, 8.247, 29.48, 44.76, 39.83
2022, 10, 7.598, 4.419, 2.424, 12.57, 17.93, 21.02
2022, 11, -1.871, -4.969, -7.125, 51.27, 83.6, 92.25
2022, 12, -8.177, -10.88, -13.5, 44.03, 61.68, 82.65
2023, 1, -8.818, -11.17, -13.89, 57.53, 83.72, 108.9
2023, 2, -10.74, -13.39, -16.04, 51.64, 75.77, 99.66
2023, 3, -3.975, -7.447, -9.353, 18.87, 28.06, 41.79
2023, 4, 1.029, -2.527, -4.35, 24.4, 36.9, 40.01
2023, 5, 11.28, 7.859, 6.177, 51.03, 63.47, 66.44
2023, 6, 16.36, 12.94, 11.31, 16.78, 20.03, 20.24
2023, 7, 20.34, 16.92, 15.19, 44.32, 54.31, 56.65
2023, 8, 18.21, 14.86, 13.19, 77.54, 95.82, 110.6
2023, 9, 11.86, 8.442, 6.641, 35.9, 50.67, 49.49
2023, 10, 7.307, 4.043, 2.239, 34.21, 48.27, 53.72
2023, 11, 0.7013, -2.302, -4.697, 49.82, 72.52, 84.74
2023, 12, -3.133, -6.053, -8.362, 33.45, 59.62, 64.46
2024, 1, -9.008, -11.63, -14.21, 56.63, 89.59, 113.6
2024, 2, -4.601, -7.341, -9.722, 39.71, 71.98, 73.14
2024, 3, 0.6222, -2.827, -4.443, 26.01, 40.66, 54.88
2024, 4, 7.833, 4.435, 2.597, 19.94, 29.62, 32.46
2024, 5, 11.11, 7.773, 6.095, 37.13, 51.82, 63.05
2024, 6, 15.82, 12.6, 11.01, 9.471, 11.98, 12.22
2024, 7, 17.91, 14.43, 12.79, 48.1, 65.28, 76.87
2024, 8, 17.3, 13.9, 12.21, 112.3, 142.5, 183
2024, 9, 12, 8.663, 6.987, 29.38, 41.21, 48.82
2024, 10, 7.164, 3.906, 2.01, 21.24, 32.89, 32.18
2024, 11, 1.334, -1.842, -4.073, 55.3, 85.45, 92.36
2024, 12, -8.406, -11.1, -13.55, 27.51, 41.74, 52.22
2025, 1, -5.389, -7.639, -10.68, 17.16, 26.08, 29.49
2025, 2, -3.319, -6.169, -8.482, 26.21, 45.18, 50.73
2025, 3, -3.694, -6.963, -8.831, 97.15, 142.1, 202.2
2025, 4, 7.266, 3.813, 2.052, 37.39, 51.96, 62.01
2025, 5, 12.95, 9.553, 8.027, 33.65, 42.49, 44.38
2025, 6, 13.73, 10.27, 8.595, 32.86, 37.79, 30.48
2025, 7, 19.13, 15.83, 14.04, 40.66, 48.8, 56.56
2025, 8, 17.57, 14.23, 12.64, 29.18, 37.9, 52.74
2025, 9, 15.47, 12.19, 10.3, 18.82, 23.59, 25.2
2025, 10, 6.421, 3.172, 1.439, 62.57, 82.27, 91.38
2025, 11, -1.444, -4.605, -6.846, 82.41, 127.3, 153.6
2025, 12, -5.004, -7.688, -10.43, 52.31, 85.77, 120.5
2026, 1, -3.369, -5.903, -8.627, 45.99, 72.7, 94.33
2026, 2, -2.401, -5.267, -7.678, 50.29, 82.63, 106
2026, 3, -0.07662, -3.302, -5.106, 59.62, 101.9, 124.7
2026, 4, 4.718, 1.354, -0.5836, 102.3, 146.4, 165.7
2026, 5, 10.35, 7.126, 5.335, 64.35, 82.77, 95.44
2026, 6, 15.4, 12.11, 10.22, 16.76, 22.13, 22.46
2026, 7, 17.06, 13.73, 11.92, 65.82, 82.51, 105.2
2026, 8, 17.53, 14.24, 12.51, 65.71, 74.01, 86.57
2026, 9, 12.02, 8.697, 6.764, 55.12, 80.19, 97.29
2026, 10, 3.797, 0.4351, -1.53, 48, 62.17, 82.07
2026, 11, -3.707, -6.874, -9.076, 38.55, 61.5, 61.48
2026, 12, -7.352, -9.947, -12.93, 24.69, 38.27, 43.59
2027, 1, -5.005, -7.572, -10.41, 45.03, 73.45, 97.53
2027, 2, -4.431, -7.123, -9.579, 44.62, 76.62, 93.27
2027, 3, 0.5112, -2.499, -4.646, 39.94, 63.24, 82.9
2027, 4, 1.494, -1.766, -3.695, 63.1, 86.08, 107.3
2027, 5, 9.776, 6.437, 4.523, 58.15, 74.6, 88.16
2027, 6, 15.54, 12.14, 10.44, 39.05, 45.07, 45.89
2027, 7, 18.07, 14.57, 12.96, 56.56, 69.01, 83.07
2027, 8, 17.76, 14.41, 12.69, 12.9, 19.49, 15.85
2027, 9, 12.83, 9.551, 7.874, 38.13, 44.66, 63.98
2027, 10, 8.51, 5.324, 3.422, 5.086, 5.942, 8.361
2027, 11, 0.5277, -2.647, -4.752, 46.87, 72.98, 83.15
2027, 12, -5.986, -8.455, -11.46, 40.7, 64.55, 82.54
2028, 1, -7.237, -8.997, -12.51, 6.2, 9.041, 13.46
2028, 2, -4.914, -7.817, -10.25, 26.17, 47.15, 52.01
2028, 3, -1.318, -4.626, -6.509, 34.22, 52.3, 61.38
2028, 4, 5.572, 2.211, 0.4455, 47.21, 66.63, 78.74
2028, 5, 14.6, 11.31, 9.576, 35.05, 41.61, 42.84
2028, 6, 16.99, 13.55, 12.04, 37.72, 44.8, 52.71
2028, 7, 19.39, 15.95, 14.27, 79.45, 91.46, 119.9
2028, 8, 18.43, 15, 13.45, 105.8, 131.3, 166.9
2028, 9, 11.46, 8.161, 6.4, 15.55, 21.14, 26.05
2028, 10, 7.565, 4.259, 2.359, 25.82, 33.26, 36.06
2028, 11, 2.122, -0.9766, -3.169, 23.68, 36.32, 45.25
2028, 12, -6.681, -9.477, -12.06, 56.2, 88.95, 110.4
2029, 1, -8.979, -11.26, -14.25, 58.54, 92, 117.5
2029, 2, -1.853, -4.559, -7.217, 23.37, 45.73, 53.19
2029, 3, -1.395, -4.668, -6.745, 59.61, 88.43, 129
2029, 4, 6.47, 3.126, 1.138, 53.76, 81.49, 91.25
2029, 5, 11.04, 7.712, 6.023, 94.07, 118.3, 118.7
2029, 6, 13.6, 10.2, 8.485, 67.03, 83.07, 84.41
2029, 7, 17.48, 14.01, 12.35, 58.26, 78.36, 93.22
2029, 8, 17.71, 14.29, 12.64, 50.74, 60.99, 70.06
