# Created by WEAP: 5/10/2021 8:49:52 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_SCE_VLY_S Frk Kern (250,682 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (19,941 ha),  1000 - 2000 m (102,950 ha),  2000 - 3000 m (123,182 ha),  3000 - 4000 m (4,609 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, 8.293, 4.333, -0.8055, -4.739, 46.2, 47.06, 69.32, 49.04
2006, 2, 8.816, 5.3, 0.1854, -3.537, 111.4, 118.1, 170.6, 149.5
2006, 3, 11.81, 8.36, 3.345, -0.2133, 57.92, 63.83, 108, 72.15
2006, 4, 12.94, 9.788, 4.83, 1.185, 51.72, 52.46, 80.06, 72.24
2006, 5, 17.27, 14.37, 9.82, 6.693, 0.3733, 0.4202, 1.958, 2.504
2006, 6, 23.39, 20.35, 15.85, 12.79, 2.725, 3.495, 9.566, 6.284
2006, 7, 29.19, 25.75, 20.96, 17.69, 0.02388, 2.565, 19.61, 39.76
2006, 8, 28.48, 25.16, 20.14, 16.63, 1.321, 1.088, 1.676, 2.776
2006, 9, 24.28, 20.89, 16, 12.46, 0, 0, 0, 0
2006, 10, 19.15, 15.85, 11.17, 7.785, 21.69, 27.29, 26.79, 23.8
2006, 11, 11.62, 7.999, 3.112, -0.3772, 56.16, 69.08, 100.7, 84.04
2006, 12, 8.323, 4.481, -0.5258, -4.288, 78.48, 87.59, 127.8, 107.8
