# Created by WEAP: 5/10/2021 8:50:08 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_SW_Upr Rio Grande (1,002,236 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (857,165 ha),  3000 - 4000 m (144,353 ha),  4000 - 5000 m (718 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, -3.373, -6.99, -9.288, 9.728, 53.11, 43.36
2006, 2, -1.361, -5.46, -7.355, 18.22, 88.33, 105.9
2006, 3, 4.655, -0.1295, -2.327, 17.27, 83.08, 83.31
2006, 4, 6.754, 1.815, -0.678, 40.04, 142.1, 194.5
2006, 5, 14.65, 9.801, 7.295, 14, 40.64, 63.81
2006, 6, 17.39, 12.78, 10.54, 30.88, 43.57, 49.78
2006, 7, 19.83, 15.24, 13.19, 44.1, 89.91, 98.69
2006, 8, 20.06, 15.51, 13.3, 22.12, 45.72, 43.83
2006, 9, 15.33, 10.69, 8.42, 49.56, 90.92, 96.49
2006, 10, 10.8, 6.044, 3.361, 22.81, 59.17, 60.72
2006, 11, 0.8268, -3.433, -6.065, 39.2, 136, 132.2
2006, 12, -3.907, -7.76, -10.52, 20.69, 86.15, 93.74
2007, 1, -6.244, -9.966, -11.99, 10.5, 56.07, 49.35
2007, 2, -3.129, -7.149, -9.211, 12.61, 60.63, 66.15
2007, 3, 0.02276, -4.759, -6.862, 8.81, 44.27, 65.73
2007, 4, 5.519, 0.5316, -1.636, 44.73, 140.9, 167.8
2007, 5, 13.09, 8.254, 6.104, 43.54, 91.55, 114.2
2007, 6, 16.96, 12.13, 9.744, 13.08, 25.2, 35.82
2007, 7, 19.97, 15.39, 13.17, 69.82, 105.7, 122.7
2007, 8, 19.67, 15.15, 12.96, 32.39, 61.46, 50
2007, 9, 12.03, 7.513, 5.127, 65.98, 119.4, 120.1
2007, 10, 9.569, 4.87, 2.39, 42.21, 110.4, 135
2007, 11, 1.446, -3.074, -5.413, 48.78, 130.6, 130.2
2007, 12, -6.338, -9.794, -12.64, 10.47, 51.59, 49.5
2008, 1, -4.359, -7.948, -9.981, 10.71, 62.91, 46.15
2008, 2, -4.5, -8.347, -10.28, 7.604, 36.66, 30.72
2008, 3, -4.102, -8.845, -11.07, 18.21, 80.43, 89.93
2008, 4, 7.548, 2.632, 0.3934, 20.15, 66.81, 75.35
2008, 5, 13.51, 8.728, 6.427, 22.55, 50.69, 63.84
2008, 6, 17.86, 13.11, 10.91, 19.11, 28.19, 33.82
2008, 7, 21.78, 17.29, 15.4, 24.97, 42.28, 47.35
2008, 8, 20.88, 16.31, 14.4, 26.07, 43.96, 49.73
2008, 9, 15.98, 11.34, 8.973, 15.03, 31.17, 38.08
2008, 10, 9.409, 4.804, 2.463, 23.48, 74.38, 65.75
2008, 11, 2.002, -2.363, -4.77, 41.2, 127.3, 140.5
2008, 12, -3.289, -6.934, -10.22, 16.41, 78.35, 58.84
2009, 1, -7.478, -10.96, -13.4, 12.32, 79.38, 64.62
2009, 2, -6.742, -10.39, -12.71, 9.743, 57.17, 42.27
2009, 3, -2.431, -7.196, -9.882, 17.41, 70.89, 86.14
2009, 4, 3.068, -1.782, -4.074, 29.36, 90.95, 114.6
2009, 5, 12.52, 7.722, 5.42, 23.36, 63.21, 92.09
2009, 6, 17.46, 12.71, 10.62, 14.46, 28.19, 39.09
2009, 7, 19.88, 15.28, 13.33, 32.91, 65.12, 76.67
2009, 8, 20.33, 15.75, 13.59, 22.04, 47.78, 46.93
2009, 9, 18.51, 13.92, 11.83, 10.75, 20.36, 16.2
2009, 10, 11.2, 6.486, 3.788, 17.34, 40.26, 51.54
2009, 11, 3.786, -0.4392, -2.688, 12.84, 50.74, 57.37
2009, 12, 0.3853, -3.42, -5.968, 6.66, 35.76, 35.24
2010, 1, -7.461, -11.02, -13.14, 9.389, 49.76, 76.95
2010, 2, -4.797, -8.628, -10.59, 6.996, 35.64, 43.9
2010, 3, 0.7611, -4.035, -6.131, 20.52, 78.49, 86.34
2010, 4, 10.65, 5.662, 3.018, 19.24, 60.74, 75.09
2010, 5, 12.91, 8.03, 5.296, 11.01, 40.95, 54.14
2010, 6, 18.54, 13.71, 11.36, 6.538, 11.41, 18.97
2010, 7, 21.63, 17.01, 14.75, 23.79, 43.36, 60.06
2010, 8, 20.52, 15.87, 13.72, 27.17, 47.86, 46.77
2010, 9, 19.35, 14.55, 12, 9.367, 25.95, 26.97
2010, 10, 9.414, 4.713, 1.944, 18.8, 45.81, 37.36
2010, 11, 3.423, -0.7793, -2.789, 7.065, 25.39, 24.4
2010, 12, -0.5128, -4.418, -6.405, 8.245, 36.12, 35.4
2011, 1, -9.23, -12.69, -15.02, 11.98, 56.35, 87.03
2011, 2, -2.908, -6.827, -8.87, 11.34, 49.89, 64.61
2011, 3, 4.157, -0.8264, -3.233, 22.59, 92.87, 102.7
2011, 4, 12.4, 7.607, 4.943, 9.075, 33.87, 35.73
2011, 5, 14.06, 9.146, 6.539, 52.92, 126.4, 187.3
2011, 6, 19.16, 14.43, 12.16, 8.915, 14.42, 20.9
2011, 7, 22.75, 18.26, 16.28, 15.29, 26.23, 28.8
2011, 8, 19.51, 15.01, 12.65, 73.36, 125.5, 124.1
2011, 9, 15.7, 10.95, 8.485, 15.21, 33.81, 22.86
2011, 10, 9.404, 4.641, 1.872, 43.99, 121.1, 112
2011, 11, 0.2563, -3.917, -6.434, 8.649, 27.27, 24.79
2011, 12, -5.074, -9.003, -10.86, 25.2, 109.1, 81.65
2012, 1, -3.925, -7.602, -9.619, 25.19, 143.1, 120
2012, 2, -0.7564, -4.954, -7.069, 12.9, 66.33, 76.63
2012, 3, 4.014, -0.7245, -2.93, 19.16, 92.08, 95.3
2012, 4, 9.804, 4.938, 2.547, 25.32, 77.28, 103.5
2012, 5, 15.41, 10.66, 7.933, 38.13, 102.8, 119.5
2012, 6, 18.25, 13.47, 11.08, 10.27, 14.73, 15.38
2012, 7, 19.79, 15.28, 13.04, 52.23, 86.98, 105.3
2012, 8, 19.67, 15.04, 12.73, 75, 130.2, 133.9
2012, 9, 16.16, 11.48, 9.153, 11.95, 27.53, 26.25
2012, 10, 10.44, 5.684, 3.383, 12.6, 42.46, 31.86
2012, 11, 1.124, -3.341, -5.67, 20.29, 77.89, 80.51
2012, 12, -4.839, -8.533, -10.98, 7.259, 36.19, 35.08
2013, 1, -4.093, -7.615, -9.806, 13.82, 81.68, 66.5
2013, 2, -3.212, -7.103, -9.02, 14.57, 68.32, 83.24
2013, 3, 2.043, -2.745, -4.654, 17.03, 67.42, 71.41
2013, 4, 4.197, -0.6383, -2.903, 29.58, 97.08, 130.1
2013, 5, 12.81, 8.009, 5.796, 30.32, 86.36, 115
2013, 6, 18.1, 13.27, 11, 22.11, 35.53, 46.97
2013, 7, 20.8, 16.28, 14.13, 56.65, 113, 146.7
