# Created by WEAP: 5/10/2021 8:50:07 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_SW_Canjeos (78,343 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (24,293 ha),  3000 - 4000 m (54,050 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, -4.846, -6.367, 63.16, 115.7
2006, 2, -3.724, -6.323, 84.45, 169
2006, 3, 1.761, -1.233, 87.31, 143.9
2006, 4, 3.737, 0.6508, 132.3, 200.8
2006, 5, 11.72, 8.786, 9.753, 16.08
2006, 6, 14.59, 11.71, 40.63, 56.44
2006, 7, 16.87, 14.22, 80.42, 112
2006, 8, 17.44, 14.8, 28.76, 33.65
2006, 9, 12.53, 9.695, 97.09, 147.9
2006, 10, 8.017, 5.177, 54.79, 100.3
2006, 11, -1.316, -3.654, 124.4, 257.3
2006, 12, -5.113, -7.236, 86.84, 147
2007, 1, -8.065, -10.13, 76.2, 145.2
2007, 2, -5.312, -7.846, 67.19, 115.3
2007, 3, -2.915, -5.863, 25.1, 45.28
2007, 4, 2.016, -0.9111, 103.4, 161.6
2007, 5, 9.784, 6.903, 76.64, 86.4
2007, 6, 13.78, 10.93, 23.31, 17.02
2007, 7, 17.34, 14.57, 75.72, 104.3
2007, 8, 17.06, 14.41, 76.86, 108.8
2007, 9, 9.507, 6.784, 96.02, 113
2007, 10, 6.963, 4.278, 84.38, 132.9
2007, 11, -1.04, -3.821, 133.4, 218.3
2007, 12, -6.841, -8.317, 65.88, 134.7
2008, 1, -6.015, -7.951, 84.58, 166.5
2008, 2, -6.712, -8.867, 49.57, 94.17
2008, 3, -6.693, -9.519, 73.91, 115.8
2008, 4, 4.354, 1.327, 63.67, 106.4
2008, 5, 10.38, 7.496, 33.87, 44.62
2008, 6, 14.68, 11.79, 29.86, 26.13
2008, 7, 18.83, 16.11, 45.16, 56.95
2008, 8, 17.74, 15.11, 35.38, 42.81
2008, 9, 12.97, 10.21, 27.88, 38.66
2008, 10, 6.387, 3.643, 81.25, 149.2
2008, 11, -0.1451, -2.53, 100.6, 163
2008, 12, -3.808, -5.344, 96.98, 192.2
2009, 1, -8.956, -10.88, 80.28, 146.1
2009, 2, -8.486, -10.64, 70, 129.5
2009, 3, -4.81, -7.387, 47.69, 74.16
2009, 4, 0.05405, -2.788, 49.67, 79.77
2009, 5, 9.39, 6.43, 36.17, 38.25
2009, 6, 14.47, 11.62, 16.52, 19.25
2009, 7, 17.12, 14.3, 51.92, 61.04
2009, 8, 17.62, 14.94, 48.94, 55.74
2009, 9, 15.63, 12.81, 18.69, 27.27
2009, 10, 8.607, 5.852, 28.82, 37.45
2009, 11, 1.569, -0.9805, 46.88, 97.81
2009, 12, -1.085, -2.95, 42.42, 77.14
2010, 1, -9.008, -10.96, 30.83, 52.82
2010, 2, -6.906, -9.244, 27.66, 50.69
2010, 3, -2.206, -5.261, 72.99, 96.17
2010, 4, 7.469, 4.713, 34.69, 50.95
2010, 5, 10.05, 7.294, 10.97, 14.94
2010, 6, 15.66, 12.83, 7.21, 5.347
2010, 7, 18.78, 16.02, 33.98, 34.55
2010, 8, 17.56, 14.91, 44.66, 45.99
2010, 9, 16.7, 13.9, 13.91, 27.5
2010, 10, 6.984, 4.167, 54.6, 74.89
2010, 11, 1.036, -1.67, 29.22, 53.86
2010, 12, -2.578, -4.818, 39.39, 61.76
2011, 1, -10.66, -11.98, 20.96, 33.24
2011, 2, -4.945, -7.371, 47.16, 69.71
2011, 3, 1.124, -1.782, 68.81, 143.9
2011, 4, 9.698, 6.774, 24.03, 38.99
2011, 5, 11.04, 8.301, 58.33, 61.76
2011, 6, 16.17, 13.28, 9.615, 7.605
2011, 7, 19.89, 17.1, 20.58, 29.15
2011, 8, 16.82, 14.21, 116.4, 131.1
2011, 9, 12.88, 9.969, 38.98, 69.01
2011, 10, 6.924, 4.116, 114.9, 166.3
2011, 11, -1.79, -4.298, 31.27, 59.05
2011, 12, -7.315, -9.717, 127.4, 228.7
2012, 1, -5.725, -7.576, 178.3, 310.3
2012, 2, -3.417, -6.184, 96.37, 145.6
2012, 3, 1.019, -2.029, 108.6, 194.1
