# Created by WEAP: 5/10/2021 8:50:10 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_PDX_Sandy (130,171 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (84,822 ha),  1000 - 2000 m (44,472 ha),  2000 - 3000 m (877 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 2.73, 0.08873, -4.378, 191.4, 209.9, 258.8
2006, 2, 5.211, 2.104, -2.778, 295.1, 308.3, 373.9
2006, 3, 6.627, 3.464, -1.382, 223.4, 216.1, 276
2006, 4, 8.114, 4.575, -0.3211, 219.6, 226.8, 296
2006, 5, 9.481, 5.992, 1.03, 244.7, 256.6, 341.6
2006, 6, 14.93, 12.29, 7.732, 111.7, 103.6, 127.5
2006, 7, 17.92, 15.16, 10.64, 14.15, 11.89, 16.59
2006, 8, 19.02, 16.71, 12.32, 3.048, 2.581, 2.645
2006, 9, 15.07, 12.35, 7.748, 176.2, 161.4, 190.7
2006, 10, 10.09, 7.796, 3.49, 181.4, 154.9, 175.4
2006, 11, 4.801, 1.981, -2.637, 193, 192.2, 223.4
2006, 12, 3.675, 1.203, -3.268, 492.1, 520.3, 633
2007, 1, 1.867, -1.367, -6.223, 416.8, 466.2, 578.6
2007, 2, 3.455, 0.4478, -4.273, 184.8, 179.5, 226.6
2007, 3, 5.717, 2.366, -2.345, 226.3, 246.7, 332.5
2007, 4, 9.889, 6.677, 1.881, 112.5, 120.7, 166.3
2007, 5, 11.74, 8.918, 4.174, 124.2, 119.9, 142.4
2007, 6, 13.54, 10.66, 6.029, 41.48, 50.97, 71.83
2007, 7, 19.22, 16.29, 11.81, 5.132, 6.295, 10.09
2007, 8, 18.71, 16.12, 11.55, 86.79, 81.76, 102.3
2007, 9, 17.09, 14.46, 9.942, 21.21, 21.76, 27.8
2007, 10, 9.886, 7.3, 2.758, 124.2, 131.4, 171.3
2007, 11, 4.449, 1.34, -3.334, 314.6, 312, 357.2
2007, 12, 1.039, -1.685, -6.396, 172.8, 184, 218.9
2008, 1, 1.215, -1.616, -6.203, 419.4, 439.9, 545.9
2008, 2, 5.954, 3.156, -1.461, 300.1, 347.7, 447.7
2008, 3, 6.066, 2.767, -2.085, 18.89, 10.77, 7.232
2008, 4, 7.497, 3.833, -1.208, 199.4, 204.5, 271.3
2008, 5, 15.45, 12.83, 8.202, 46.21, 57.84, 76.35
2008, 6, 18.28, 15.43, 10.8, 70.24, 61.14, 69.09
2008, 7, 18.66, 16.32, 11.92, 23.21, 25.36, 31.73
2008, 8, 18.73, 15.99, 11.42, 61.3, 66.69, 87.16
2008, 9, 18.14, 15.43, 10.92, 30.39, 31.36, 36.16
2008, 10, 12.99, 10.94, 6.777, 58.55, 55.36, 62.46
2008, 11, 5.904, 3.317, -1.156, 195.8, 190.9, 236.3
2008, 12, 4.344, 1.814, -2.605, 259.5, 286.9, 352.6
2009, 1, 2.737, -0.3175, -5.071, 497.1, 500.9, 615.4
2009, 2, 4.206, 1.211, -3.565, 216.9, 206.2, 248.5
2009, 3, 6.358, 2.962, -1.795, 119.1, 105.6, 124.4
2009, 4, 8.401, 4.981, -0.01696, 244.5, 232.6, 288.4
2009, 5, 12.65, 9.502, 4.683, 163.5, 160.2, 190
2009, 6, 14.79, 12.06, 7.451, 69.86, 69.44, 89.58
2009, 7, 18.59, 16.13, 11.78, 66.4, 61.88, 73.69
2009, 8, 18.47, 15.74, 11.23, 66.92, 64.42, 79.74
2009, 9, 15.6, 12.9, 8.231, 279.6, 254.5, 294.4
2009, 10, 9.106, 6.414, 1.924, 189.5, 187.7, 221.5
2009, 11, 5.51, 2.692, -1.761, 448.9, 432.4, 494.6
2009, 12, 4.294, 2.041, -2.221, 727.6, 759.7, 895.2
2010, 1, -0.9073, -4.328, -9.197, 212.7, 247, 321.1
2010, 2, 0.5487, -2.783, -7.52, 251.6, 284.6, 380
2010, 3, 5.815, 2.447, -2.448, 120.3, 119.4, 149.1
2010, 4, 8.163, 4.86, -0.143, 177.3, 165.8, 208.8
2010, 5, 13.04, 9.866, 4.98, 140.3, 148, 189.6
2010, 6, 16.53, 13.77, 9.208, 148.7, 136.1, 174.9
2010, 7, 18.68, 16.09, 11.48, 10.9, 7.948, 7.433
2010, 8, 17.5, 14.69, 10.15, 107.1, 112.1, 139.6
2010, 9, 16.66, 14.27, 9.833, 60.99, 59.68, 72.49
2010, 10, 11.68, 9.82, 5.601, 150.8, 166, 206.8
2010, 11, 4.668, 1.545, -3.13, 446.4, 458.8, 551.6
2010, 12, 2.559, -0.05026, -4.582, 432.4, 438.9, 522.4
2011, 1, 2.068, -1.082, -5.749, 294.3, 336.5, 422.6
2011, 2, 3.583, 0.4163, -4.29, 168.3, 196, 259.8
2011, 3, 5.705, 2.283, -2.587, 268, 273, 359.8
2011, 4, 7.365, 4.139, -0.6538, 130.7, 116.7, 144.3
2011, 5, 12.35, 9.387, 4.673, 82.65, 98.54, 135.6
2011, 6, 14.62, 11.56, 6.735, 141.2, 128.1, 145.5
2011, 7, 18.28, 15.58, 11.07, 12.15, 11.57, 15.02
2011, 8, 19.75, 17.16, 12.66, 0.9509, 0.8683, 1.327
2011, 9, 17.9, 15.41, 10.88, 46.97, 43.05, 51.81
2011, 10, 11.09, 8.371, 3.71, 233.9, 236.8, 282.6
2011, 11, 5.623, 2.645, -2.068, 214.2, 208, 234
2011, 12, 2.315, -0.5285, -5.153, 505.4, 522.6, 637.8
2012, 1, 0.2212, -2.988, -7.75, 516.3, 610.2, 808.7
2012, 2, 4.259, 1.549, -3.062, 316.5, 343.6, 461.5
2012, 3, 5.171, 2.101, -2.656, 295.4, 277.6, 338.2
2012, 4, 9.915, 6.682, 1.836, 175.6, 164.6, 193.8
2012, 5, 13.78, 10.72, 5.977, 62.8, 55.13, 65.68
2012, 6, 13.48, 10.71, 6.086, 55.68, 52.91, 56.15
2012, 7, 18.65, 16.36, 12.12, 19.95, 19.74, 26.73
2012, 8, 21.54, 19.61, 15.56, 10.17, 14, 22.1
2012, 9, 14.48, 11.86, 7.34, 120.1, 116.3, 136.9
2012, 10, 9.281, 6.7, 2.158, 173, 178.3, 217.9
2012, 11, 4.867, 1.857, -2.82, 491.4, 554.7, 695.8
2012, 12, 2.578, 0.007186, -4.569, 250.5, 284.6, 360.5
2013, 1, 3.925, 1.026, -3.5, 318.3, 331.9, 395.2
2013, 2, 3.418, 0.2209, -4.481, 274.3, 320.7, 441.8
2013, 3, 3.972, 0.6166, -4.153, 291.6, 285.7, 345.4
2013, 4, 8.519, 4.964, -0.08969, 145.9, 131.1, 163.3
2013, 5, 12.37, 9.197, 4.415, 102.2, 93.4, 104.7
2013, 6, 17.15, 14.89, 10.64, 47.9, 53.42, 61.87
2013, 7, 18.75, 15.92, 11.29, 80.35, 61.02, 70.69
2013, 8, 19.46, 17.24, 12.89, 5.234, 4.316, 4.824
2013, 9, 19.92, 17.99, 13.62, 72.99, 63.75, 67.76
2013, 10, 11.62, 9.014, 4.485, 179.9, 155.6, 177.6
2013, 11, 6.422, 4.253, -0.04107, 219.4, 225.5, 279.5
2013, 12, 4.067, 1.566, -2.744, 608.5, 614.4, 727.4
2014, 1, 2.637, 0.0669, -4.505, 317, 324.1, 386.5
2014, 2, 3.071, 0.04768, -4.591, 410.4, 431.8, 550.5
2014, 3, 4.352, 0.9803, -3.851, 474.4, 504.6, 649
2014, 4, 8.373, 5.14, 0.2181, 162.9, 161.1, 199.9
2014, 5, 13.6, 10.69, 6.121, 35.96, 37.01, 44.74
2014, 6, 17.18, 14.8, 10.37, 42.1, 45.15, 55.33
2014, 7, 20.85, 18.56, 14.29, 5.532, 10, 18.38
2014, 8, 18.81, 16.47, 12.06, 66.76, 54.92, 63.73
2014, 9, 15.2, 12.38, 7.645, 99.83, 94.92, 110.8
2014, 10, 11.42, 9.432, 5.149, 238.7, 220.2, 255
2014, 11, 5.13, 2.227, -2.502, 282.8, 300, 369.5
2014, 12, 1.86, -0.6964, -5.211, 152.4, 186.5, 262
