# Created by WEAP: 5/10/2021 8:50:25 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: MT_SE_LwrMid Yellowstone (2,178,252 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,175,882 ha),  1000 - 2000 m (945,122 ha),  2000 - 3000 m (57,232 ha),  3000 - 4000 m (15 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, -1.385, -1.76, -7.57, -10.86, 20.95, 24.88, 47.93, 68.57
2006, 2, -2.262, -1.57, -6.774, -9.235, 23.01, 33.52, 77.64, 128.8
2006, 3, 6.709, 6.197, -0.6231, -3.199, 11.28, 14.68, 31.96, 30.7
2006, 4, 9.422, 8.001, -0.34, -2.803, 38.22, 25.61, 44.18, 48.01
2006, 5, 14.06, 13.45, 6.719, 4.396, 45.1, 49.02, 57.29, 56.08
2006, 6, 20.18, 19.01, 11.89, 9.929, 103.8, 132.3, 183.5, 185.6
2006, 7, 25.44, 24.67, 17.8, 15.71, 27.48, 27.02, 42.38, 40.18
2006, 8, 23.9, 22.88, 15.4, 13.09, 10.59, 10.61, 18.51, 23.49
2006, 9, 15.79, 14.9, 7.426, 4.99, 49.07, 69.29, 109.3, 113.4
2006, 10, 13.6, 12.57, 5.317, 2.599, 15.02, 20.71, 33.12, 39.42
2006, 11, 1.897, 1.369, -5.137, -7.975, 10.21, 19.77, 43.35, 51.42
2006, 12, -0.6095, -0.05334, -5.437, -8.407, 20.13, 31, 42.26, 51.85
2007, 1, -5.184, -5.672, -11.03, -14.21, 17.86, 23.77, 46.5, 73.46
2007, 2, 0.01334, -1.034, -7.548, -10.35, 10.02, 20.31, 52.1, 73.66
2007, 3, 5.01, 3.418, -4.704, -7.235, 13.28, 17.27, 34.08, 43.12
2007, 4, 11.71, 10.27, 2.202, -0.2748, 34.95, 71.7, 159.3, 173.7
2007, 5, 17.35, 16.02, 8.64, 6.419, 32.7, 55.75, 81.08, 97.2
2007, 6, 20.29, 18.6, 11.11, 8.958, 56.91, 74.88, 101.8, 98.43
2007, 7, 23.34, 21.83, 14.41, 12.23, 26.26, 27.09, 42.27, 54.3
2007, 8, 26.03, 24.24, 15.83, 13.23, 10.74, 10.58, 12.09, 14.24
2007, 9, 16.89, 15.11, 7.061, 4.506, 18.31, 22.74, 45.78, 49.13
2007, 10, 8.74, 7.892, 1.085, -1.314, 46.1, 55.68, 78.24, 85.9
2007, 11, 2.831, 2.221, -4.837, -7.638, 11.48, 17.16, 28.28, 37.31
2007, 12, -4.252, -5.083, -10.58, -13.95, 2.954, 6.951, 24.2, 36.81
2008, 1, -6.579, -5.362, -9.17, -12.1, 27.48, 35.1, 66.66, 101.7
2008, 2, -0.1478, -0.09319, -6.041, -8.821, 5.953, 12.42, 31.86, 47.67
2008, 3, 0.7284, -0.8706, -8.498, -10.99, 12.03, 20.54, 40.26, 58.6
2008, 4, 10.91, 9.501, 1.361, -1.08, 102.1, 138.7, 152.5, 145.4
2008, 5, 16.44, 15.42, 8.43, 6.068, 53.37, 68.59, 105.6, 94.88
2008, 6, 20.52, 19.68, 12.99, 10.98, 82.43, 89.46, 108.3, 120.4
2008, 7, 25.41, 24.9, 18.16, 16.26, 50.78, 39.94, 59.4, 55.56
2008, 8, 21.79, 21.45, 14.95, 12.82, 25.45, 37.45, 57.98, 67.6
2008, 9, 15.21, 14.95, 8.535, 6.206, 50.37, 66.25, 90.85, 81.38
2008, 10, 7.606, 7.287, 1.597, -0.7017, 65.25, 77.86, 91.18, 94.61
2008, 11, -2.054, -2.336, -7.787, -10.22, 21.81, 38.83, 80.16, 109.8
2008, 12, 1.447, 0.7671, -5.383, -8.49, 4.812, 8.073, 12.47, 19.94
2009, 1, -6.072, -6.303, -11.42, -14.23, 22.73, 21.15, 43.48, 67.05
2009, 2, -4.564, -4.019, -9.356, -12.15, 8.771, 12.47, 35.55, 50.81
2009, 3, 2.042, 1.112, -6.047, -8.174, 29.58, 39.91, 63.94, 78.05
2009, 4, 6.241, 5.306, -1.681, -3.839, 101, 101.8, 125.9, 130.2
2009, 5, 14.59, 13.96, 7.097, 4.716, 65.46, 56.8, 63.09, 76.89
2009, 6, 18.38, 17.42, 10.49, 8.46, 73.82, 72.48, 84.8, 96.01
2009, 7, 23.94, 23.01, 16.2, 14.24, 39.81, 40.81, 49.8, 55.51
2009, 8, 22.63, 22.06, 15.02, 12.92, 13.81, 19.05, 24.72, 31.3
2009, 9, 18.25, 18.2, 11.95, 9.683, 19.74, 16.33, 20.36, 20.72
2009, 10, 7.517, 6.936, 0.3423, -2.004, 30.52, 49.8, 84.22, 112.1
2009, 11, 5.931, 4.792, -2.054, -4.926, 6.422, 11.94, 26.28, 38.24
2009, 12, 2.733, 2.071, -4.502, -7.704, 12.9, 18.01, 31.3, 42.61
2010, 1, -6.64, -7.618, -14.25, -17.41, 10.81, 18.46, 46.3, 79.96
2010, 2, -4.455, -5.324, -11.86, -14.96, 15.99, 19.18, 33.33, 37.4
2010, 3, -1.326, -1.767, -8.181, -10.29, 26.82, 30.3, 46.09, 51.38
2010, 4, 9.704, 9.295, 2.17, -0.2298, 23.55, 28.27, 45.59, 43.53
2010, 5, 14.73, 13.69, 6.358, 3.929, 53.7, 77.14, 90.51, 96.67
2010, 6, 18.93, 17.44, 9.749, 7.666, 42.68, 52.05, 81.69, 99.86
2010, 7, 24.98, 23.39, 15.73, 13.62, 23.08, 19.95, 22.84, 26.78
2010, 8, 24.27, 23.05, 15.71, 13.5, 74.31, 57.63, 57.24, 59.79
2010, 9, 18.92, 18.82, 12.13, 9.789, 53.85, 81.79, 121.5, 134.2
2010, 10, 12.64, 11.69, 4.352, 1.529, 11.85, 14.57, 21.06, 24.65
2010, 11, 4.857, 4.903, -1.737, -4.642, 13.08, 14.14, 24.98, 30.36
2010, 12, -0.1328, 0.4233, -5.229, -8.103, 19.52, 21.07, 37.38, 50.41
2011, 1, -5.581, -5.73, -11.16, -14.33, 17.21, 19.85, 37.58, 57.41
2011, 2, -3.306, -2.529, -8.016, -10.84, 13.08, 14.76, 24.32, 33.84
2011, 3, 3.191, 2.127, -4.973, -7.311, 10.8, 12.67, 31.79, 36.43
2011, 4, 8.541, 7.906, 1.213, -0.7155, 29.57, 47.93, 75.57, 83.09
2011, 5, 13.7, 13.08, 6.682, 4.441, 61.96, 94.27, 136.8, 134.3
2011, 6, 18.8, 18.69, 12.37, 10.42, 59.89, 53.6, 41.65, 41.57
2011, 7, 24.91, 23.79, 16.74, 14.67, 28.78, 30.76, 38.04, 34.32
2011, 8, 24.58, 23.62, 16.14, 13.93, 14.13, 11.42, 14.47, 15.11
2011, 9, 19.29, 18.41, 10.75, 8.274, 32.75, 44.08, 71.97, 75.69
2011, 10, 10.83, 10.07, 3.009, 0.444, 23.43, 26.5, 36.32, 38.39
2011, 11, 2.705, 2.56, -4.013, -7.01, 12.91, 14.08, 23.19, 31.64
2011, 12, -1.263, -1.904, -8.699, -11.52, 7.577, 14.78, 28.89, 42.85
2012, 1, -8.918, -7.843, -11.71, -14.46, 24.33, 33.94, 64.77, 101.6
2012, 2, -1.264, -0.3363, -6.268, -8.89, 11, 14.32, 29.99, 42.83
2012, 3, 7.101, 6.447, -0.8881, -3.366, 7.707, 12.12, 32.68, 56.7
2012, 4, 13.71, 13.19, 5.975, 3.576, 52.38, 57.24, 97.46, 119.6
2012, 5, 17.15, 16.32, 9.041, 6.65, 32.7, 40.26, 73.23, 81.71
2012, 6, 19.67, 18.23, 11.27, 9.135, 39.44, 31.42, 27.95, 36.63
2012, 7, 24.81, 23.19, 15.5, 13.24, 58.25, 61.47, 89.2, 107.7
2012, 8, 24.37, 23.95, 17.04, 14.91, 53.7, 43.98, 37.07, 37.21
