# Created by WEAP: 5/10/2021 8:49:17 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WY_NW_Yellowstone (258,953 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (222,624 ha),  3000 - 4000 m (36,330 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, -10.26, -10.97, 52.9, 86.8
2006, 2, -6.941, -8.214, 115.1, 165.1
2006, 3, -2.033, -2.971, 55.94, 76.52
2006, 4, -0.22, -1.772, 77.04, 111.3
2006, 5, 4.383, 2.847, 89.89, 87.08
2006, 6, 9.914, 8.37, 156.1, 181
2006, 7, 15.38, 13.82, 14.39, 20.27
2006, 8, 13.85, 12.03, 47.53, 60.69
2006, 9, 6.372, 4.713, 51.22, 55.92
2006, 10, 3.655, 2.223, 33.77, 38.19
2006, 11, -5.518, -7.25, 47.89, 76.34
2006, 12, -6.921, -8.164, 122.9, 156.8
2007, 1, -13.25, -14.2, 170.6, 221
2007, 2, -10.17, -11.43, 62.58, 106.7
2007, 3, -7.398, -8.496, 48.76, 56.23
2007, 4, -0.3093, -1.839, 42.73, 73.64
2007, 5, 6.851, 5.4, 82.22, 86.4
2007, 6, 9.335, 7.979, 118.7, 132.2
2007, 7, 13.09, 11.27, 51.43, 65.63
2007, 8, 13.69, 12.21, 22.82, 28.39
2007, 9, 6.364, 4.632, 34.76, 47.75
2007, 10, 0.7642, -1.344, 37.28, 54.97
2007, 11, -6.734, -8.141, 75.45, 103.9
2007, 12, -13.34, -14.4, 58.48, 87.04
2008, 1, -9.435, -10.81, 161, 248.3
2008, 2, -7.684, -8.905, 73.77, 109.7
2008, 3, -9.861, -11.24, 22.44, 30.17
2008, 4, -1.417, -2.973, 79.97, 116.2
2008, 5, 7.211, 5.866, 51.02, 65.41
2008, 6, 12.89, 11.24, 71.53, 98.92
2008, 7, 16.02, 14.26, 52.95, 61.23
2008, 8, 13.81, 12.27, 44.01, 48.71
2008, 9, 8.607, 6.597, 25.96, 35.91
2008, 10, 2.464, 0.676, 75.09, 116.5
2008, 11, -6.157, -8.055, 104.3, 149.9
2008, 12, -7.17, -7.923, 42.55, 49.3
2009, 1, -11.7, -13.03, 68.37, 101.1
2009, 2, -10.61, -11.83, 45.73, 59.59
2009, 3, -7.753, -9.319, 32.06, 34.7
2009, 4, -1.261, -2.937, 94.2, 139.7
2009, 5, 6.777, 5.13, 80.89, 91.29
2009, 6, 9.316, 8.02, 56.25, 70.74
2009, 7, 13.66, 12.3, 36.06, 48.23
2009, 8, 13.25, 11.73, 22.13, 29.93
2009, 9, 9.861, 8.5, 9.611, 12.63
2009, 10, 0.9294, -0.897, 63.35, 88.78
2009, 11, -4.043, -5.689, 91.41, 106.9
2009, 12, -7.35, -8.01, 125.2, 168.5
2010, 1, -15.34, -16.65, 54.16, 74.53
2010, 2, -13.27, -14.61, 42.18, 51.73
2010, 3, -8.534, -10.31, 42.09, 50.83
2010, 4, -0.3691, -1.649, 103.6, 137.8
2010, 5, 3.836, 2.116, 125.5, 182.2
2010, 6, 8.506, 7.071, 69.43, 83.57
2010, 7, 14.03, 12.4, 14.27, 18.4
2010, 8, 13.66, 12.12, 62.39, 69.33
2010, 9, 11.2, 9.662, 99.14, 139.6
2010, 10, 3.845, 2.101, 42.16, 59.94
2010, 11, -3.835, -5.165, 77.12, 96.77
2010, 12, -8.231, -9.376, 129.2, 150.3
2011, 1, -14.36, -14.77, 58.3, 90.91
2011, 2, -10.91, -11.85, 72.31, 90.7
2011, 3, -7.58, -8.752, 47.15, 57.8
2011, 4, -1.127, -2.269, 52.9, 93.29
2011, 5, 5.996, 4.425, 92.02, 122.3
2011, 6, 10.96, 9.644, 29.52, 32.42
2011, 7, 15.03, 13.4, 21.61, 27.55
2011, 8, 14.85, 13.31, 26.43, 23.28
2011, 9, 9.467, 7.868, 93.59, 119.2
2011, 10, 2.617, 0.8038, 43.97, 56.44
2011, 11, -7.016, -8.397, 62.67, 75.09
2011, 12, -11.22, -12.25, 107, 144.4
2012, 1, -12.29, -13.54, 196.7, 272
2012, 2, -7.933, -9.233, 84.26, 105.5
2012, 3, -4.948, -6.039, 105.5, 154.1
2012, 4, 2.844, 1.54, 125.3, 183.2
2012, 5, 8.38, 6.789, 60.82, 71.68
2012, 6, 11.14, 9.696, 38.73, 43.75
2012, 7, 13.07, 11.46, 118.7, 151.1
2012, 8, 14.51, 12.82, 58.93, 62
2012, 9, 8.806, 7.165, 74.28, 80.11
2012, 10, 2.24, 0.346, 81.86, 121.5
2012, 11, -5.734, -7.69, 87.11, 118.8
2012, 12, -10.56, -11.74, 52.7, 74.73
2013, 1, -9.739, -10.66, 56.76, 82.3
2013, 2, -10.11, -11.24, 42.49, 69.2
2013, 3, -6.761, -8.044, 73.03, 102.5
2013, 4, -3.708, -5.525, 40.06, 61.26
2013, 5, 6.635, 5.097, 106.3, 119
2013, 6, 11.64, 10.19, 70.67, 93.87
2013, 7, 14.68, 13.05, 60.2, 57.47
2013, 8, 15.41, 13.84, 25.6, 32.87
2013, 9, 11.29, 9.538, 69.02, 78.51
2013, 10, 3.726, 1.968, 71.79, 94.15
2013, 11, -5.128, -6.797, 34.15, 54.93
2013, 12, -8.309, -9.218, 159.6, 204.9
2014, 1, -13.93, -14.56, 55.84, 77.71
2014, 2, -9.308, -10.35, 55.89, 75.85
2014, 3, -8.815, -10.23, 84.16, 108.9
2014, 4, -3.455, -4.666, 39.52, 68.82
2014, 5, 5.542, 4.515, 33.13, 46.38
2014, 6, 15.18, 13.43, 22.41, 26.21
2014, 7, 14.62, 13.1, 23.03, 31.04
2014, 8, 14.5, 13.14, 25.48, 31.28
2014, 9, 7.17, 5.941, 43.15, 50.89
2014, 10, 6.66, 4.955, 33.18, 42.32
2014, 11, -5.831, -7.259, 92.22, 134.4
2014, 12, -11.94, -13.07, 28.36, 40.06
2015, 1, -13, -14.42, 77.13, 113.5
2015, 2, -9.764, -10.78, 47.05, 60.57
2015, 3, -2.752, -4.192, 48, 69.35
2015, 4, -0.5003, -1.845, 54.54, 78.35
2015, 5, 6.768, 5.511, 52.46, 70.07
2015, 6, 11.63, 10.29, 59.56, 70.69
2015, 7, 15.72, 14.19, 26.34, 41.1
2015, 8, 13.72, 11.87, 63.06, 90.13
2015, 9, 8.876, 7.103, 19.21, 25.39
2015, 10, 1.457, -0.7334, 39.51, 58
2015, 11, -5.801, -7.731, 38.37, 61.14
2015, 12, -9.415, -10.44, 132.1, 178
2016, 1, -13.71, -14.43, 35.96, 43.42
2016, 2, -12.25, -13.3, 76.83, 128.1
2016, 3, -3.56, -5.135, 143.2, 167
2016, 4, -1.53, -2.972, 71.32, 102.1
2016, 5, 6.193, 4.771, 98.04, 99.91
2016, 6, 7.54, 5.932, 118, 121.9
2016, 7, 15.49, 13.62, 33.18, 35.62
2016, 8, 13.05, 11.62, 46.51, 48.96
2016, 9, 7.539, 5.733, 65.63, 96.95
2016, 10, 3.877, 2.142, 70.86, 76.81
2016, 11, -7.058, -8.955, 48.98, 77.31
2016, 12, -11.63, -12.75, 137.5, 198.6
2017, 1, -6.716, -7.713, 158.4, 231.6
2017, 2, -7.921, -9.255, 80.32, 130.6
2017, 3, -5.602, -7.082, 86.59, 125.9
2017, 4, 1.014, -0.4649, 122.6, 183.2
2017, 5, 7.242, 5.915, 136.6, 145.8
2017, 6, 9.668, 8.3, 64.62, 68.25
2017, 7, 15.56, 13.91, 26.24, 28.01
2017, 8, 15.8, 14.33, 12.36, 15.68
2017, 9, 7.79, 5.764, 72.48, 93.35
2017, 10, 6.65, 4.83, 51.74, 63.92
2017, 11, -6.14, -7.74, 104.5, 135.4
2017, 12, -10.97, -11.63, 62.59, 92.04
2018, 1, -8.028, -8.855, 68.86, 100.8
2018, 2, -5.065, -5.843, 37.76, 45.6
2018, 3, -5.847, -7.258, 138, 186.5
2018, 4, 2.885, 1.895, 92.77, 167.3
2018, 5, 3.712, 2.185, 129.4, 183.6
2018, 6, 13.26, 11.93, 56.63, 52.68
2018, 7, 14.84, 13.21, 73.22, 92.42
2018, 8, 13.95, 12.5, 59.66, 61.1
2018, 9, 8.106, 6.434, 70.29, 79.11
2018, 10, 6.231, 4.665, 28.91, 34.9
2018, 11, -0.1419, -0.9327, 66.39, 89.81
2018, 12, -8.385, -9.07, 74.71, 101.1
2019, 1, -10.65, -11, 54.33, 75.17
2019, 2, -7.714, -9.232, 153.8, 221.3
2019, 3, -0.01009, -0.9182, 68.26, 105.7
2019, 4, 4.307, 3.371, 46.42, 62.55
2019, 5, 3.455, 1.618, 168.6, 205.3
2019, 6, 9.388, 7.662, 90.31, 139.4
2019, 7, 15.55, 13.69, 55.63, 51.71
2019, 8, 15.89, 14.1, 25.71, 29.4
2019, 9, 7.128, 5.707, 26.86, 30.23
2019, 10, 3.174, 1.499, 56.53, 74
2019, 11, -5.495, -7.066, 56.84, 78.66
2019, 12, -11.06, -12, 113.3, 149.2
2020, 1, -11.08, -11.46, 70.27, 95.73
2020, 2, -7.707, -8.661, 99.87, 139.2
2020, 3, -4.812, -5.622, 20.89, 32.42
2020, 4, -1.48, -2.985, 38.9, 54.32
2020, 5, 7.556, 6.232, 54.42, 90.33
2020, 6, 12.26, 10.54, 53.49, 66.14
2020, 7, 16.1, 14.59, 13.88, 20.19
2020, 8, 16.81, 15.4, 4.715, 3.206
2020, 9, 9.108, 7.475, 16.82, 18.89
2020, 10, 5.15, 3.52, 14.67, 24.16
2020, 11, -9.025, -10.41, 59.35, 72.86
2020, 12, -7.15, -8.131, 67.05, 88.67
2021, 1, -10.57, -11.26, 123.6, 182
2021, 2, -7.323, -8.253, 61.72, 76.98
2021, 3, -6.363, -7.649, 127.7, 173.1
2021, 4, 1.334, 0.07973, 38.33, 66.53
2021, 5, 6.494, 4.969, 48.62, 46.99
2021, 6, 12.83, 11.2, 66.27, 84.02
