# Created by WEAP: 5/10/2021 8:49:47 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: AZ_PHX_Lwr Verde (359,346 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (307,807 ha),  1000 - 2000 m (51,450 ha),  2000 - 3000 m (89 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 13.01, 8.654, 4.794, 38.07, 65.5, 84.08
2006, 2, 14.33, 9.704, 6.238, 38.46, 82.41, 112.2
2006, 3, 17.82, 13.09, 9.69, 39.12, 85.66, 137.7
2006, 4, 19.49, 15.07, 11.53, 14.16, 31.93, 43.57
2006, 5, 25.82, 20.89, 17.1, 0, 0, 0
2006, 6, 30.74, 26.04, 22.4, 14.97, 36.57, 50.43
2006, 7, 33.05, 28.87, 25.47, 152.2, 264.6, 332.7
2006, 8, 33.96, 29.56, 25.95, 13.75, 30.98, 34.35
2006, 9, 30.18, 25.6, 21.95, 72.38, 164.9, 190.3
2006, 10, 25.16, 20.7, 17, 3.175, 7.039, 15.98
2006, 11, 15.88, 11.7, 8.465, 75.73, 131.9, 168
2006, 12, 13.24, 8.94, 5.35, 24.52, 84.41, 128.9
2007, 1, 11.32, 6.838, 3.602, 39.56, 86.87, 108.9
2007, 2, 12.19, 7.632, 4.308, 38.57, 103.5, 142.8
2007, 3, 16.18, 11.32, 7.884, 15.22, 28.07, 40.67
2007, 4, 19.91, 15.52, 11.94, 6.74, 14.26, 21.1
2007, 5, 25.68, 21.16, 17.36, 18.55, 39.6, 58.98
2007, 6, 33.87, 29.41, 25.58, 0.3596, 0.7493, 1.541
