# Created by WEAP: 5/10/2021 8:48:53 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: AZ_PHX_Salt (61,229 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (35,659 ha),  1000 - 2000 m (25,480 ha),  2000 - 3000 m (90 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 11.63, 8.81, 6.601, 64.43, 75.23, 87.01
2006, 2, 12.68, 10.13, 7.875, 53.78, 70.4, 91.1
2006, 3, 16.52, 13.91, 11.77, 52.41, 73.72, 78.81
2006, 4, 18.27, 15.56, 13.79, 17.79, 28.34, 37.1
2006, 5, 24.82, 22.21, 19.99, 0, 0, 0
2006, 6, 29.64, 27.15, 25.06, 18.9, 32.31, 50.82
2006, 7, 31.03, 28.44, 26.81, 264.5, 302.8, 308.2
2006, 8, 32.32, 29.87, 27.98, 10.89, 24.67, 24.58
2006, 9, 28.91, 26.23, 24.11, 90.16, 131, 176.2
2006, 10, 24.01, 21.22, 18.96, 3.079, 5.816, 5.805
2006, 11, 14.48, 11.92, 9.819, 67.72, 99.38, 119.3
2006, 12, 12.1, 9.433, 7.087, 46.87, 70.81, 81.36
2007, 1, 9.738, 7.124, 4.823, 62.68, 80.17, 95.92
2007, 2, 10.41, 7.989, 5.978, 47.93, 70.56, 79.4
2007, 3, 14.87, 11.97, 10.06, 20.4, 26.8, 29.4
