# Created by WEAP: 5/10/2021 8:49:07 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CAN_BC_Similkameen (1,498,429 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (465,703 ha),  1000 - 2000 m (967,680 ha),  2000 - 3000 m (65,046 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -1.687, -5.905, -9.237, 17.9, 35.45, 45.11
2006, 2, 1.508, -2.689, -5.822, 40.35, 61.11, 92.57
2006, 3, 6.344, 1.662, -1.636, 32.5, 55.99, 84.88
2006, 4, 9.53, 4.541, 1.352, 29.19, 41.26, 62.63
2006, 5, 12.85, 8.001, 4.804, 56.68, 68.44, 117
2006, 6, 17.93, 13.08, 9.843, 9.025, 12.8, 19.19
2006, 7, 22.14, 17.17, 14.09, 14.72, 15.42, 34.95
2006, 8, 22.36, 17.54, 14.43, 5.4, 12.08, 18.27
2006, 9, 15.23, 10.41, 7.188, 12.75, 20.11, 36.39
2006, 10, 8.888, 4.163, 0.6906, 25.27, 53.5, 82.61
2006, 11, 1.495, -2.988, -6.247, 13.06, 30.23, 46.34
2006, 12, -1.284, -5.412, -8.595, 97.08, 133.2, 174.8
2007, 1, -2.606, -6.514, -9.902, 46.62, 94.38, 128.6
2007, 2, 0.3424, -3.639, -6.731, 23.45, 43.34, 61.74
2007, 3, 3.966, -0.7704, -3.837, 28.09, 53.6, 83.31
2007, 4, 10.66, 5.763, 2.626, 15.46, 32.01, 42.63
2007, 5, 14.05, 8.99, 5.915, 29.28, 42.02, 66.15
2007, 6, 15.02, 9.713, 6.696, 29.14, 31.42, 49.81
2007, 7, 20.46, 15.32, 12.18, 20.87, 34.41, 64.68
2007, 8, 19.59, 14.14, 11.16, 13.25, 26.07, 38.65
2007, 9, 16.65, 11.6, 8.542, 3.038, 7.616, 10.08
2007, 10, 7.886, 3.261, -0.1123, 17.41, 40.8, 67.42
2007, 11, 1.638, -2.604, -5.862, 46.73, 92.67, 126.6
2007, 12, -4.574, -8.696, -12.08, 14.64, 25.71, 35.42
2008, 1, -4.972, -9.226, -12.57, 52.02, 87.88, 125.5
2008, 2, 1.192, -2.824, -6.065, 37.38, 64.84, 100.1
2008, 3, 3.674, -0.4256, -3.462, 0.525, 4.044, 5.942
2008, 4, 8.503, 3.387, 0.3303, 29.79, 41.56, 69.33
2008, 5, 17.88, 13.3, 10.1, 10.61, 14.07, 17.62
2008, 6, 19.99, 14.75, 11.57, 35.05, 41.81, 70.18
2008, 7, 21.36, 15.67, 12.45, 49.12, 77.29, 158
2008, 8, 20.9, 16.25, 13, 20.81, 26.75, 41.39
2008, 9, 18.06, 13.5, 10.2, 4.333, 9.395, 14.45
2008, 10, 9.257, 4.619, 1.251, 2.123, 7.818, 13.04
2008, 11, 2.465, -1.649, -5.036, 42.08, 59.04, 92.51
2008, 12, 0.335, -3.904, -7.193, 27.8, 44.2, 65.06
2009, 1, -3.397, -7.577, -10.97, 50.3, 69.92, 95.72
2009, 2, -1.208, -5.276, -8.584, 31.57, 49.81, 64.92
2009, 3, 5.793, 1.11, -1.872, 9.177, 13.64, 19.28
2009, 4, 10.92, 5.978, 2.718, 28.17, 29.81, 49.61
2009, 5, 15.9, 11.1, 7.916, 37.04, 44.54, 72.32
2009, 6, 16.53, 11.62, 8.398, 21.16, 28.32, 42.99
2009, 7, 21.26, 15.91, 12.75, 33.73, 40.45, 74.31
2009, 8, 18.83, 13.64, 10.4, 45.46, 68.13, 89.07
2009, 9, 15.6, 10.56, 7.297, 64.95, 77.59, 130.9
2009, 10, 7.517, 2.978, -0.4258, 9.219, 23.45, 38.45
2009, 11, 1.888, -2.527, -5.732, 66.95, 92.72, 147
2009, 12, -1.48, -5.866, -8.866, 72.74, 105.7, 144.7
2010, 1, -7.381, -11.07, -14.45, 14.09, 31.94, 37.12
2010, 2, -4.167, -8.215, -11.41, 15.63, 38.27, 49.06
2010, 3, 2.58, -2, -5.107, 3.42, 12.37, 19.28
2010, 4, 6.613, 1.552, -1.379, 20.99, 30.68, 48.46
2010, 5, 15.23, 10.24, 7.13, 34.02, 42.19, 66.44
2010, 6, 18.41, 13.1, 9.885, 30.34, 33.25, 51.84
2010, 7, 20.49, 14.99, 11.87, 36, 53.07, 97.46
2010, 8, 18.36, 13.12, 9.675, 43.87, 61.48, 79.09
2010, 9, 17.27, 12.19, 8.938, 17.24, 27.1, 42.9
2010, 10, 9.928, 5.5, 2.122, 14.29, 32.4, 47.57
2010, 11, 0.8157, -3.434, -6.761, 56.47, 89.56, 131.2
2010, 12, -1.936, -6.012, -9.315, 77.17, 100.1, 145.5
2011, 1, -4.402, -8.229, -11.68, 40.67, 91.37, 113.1
2011, 2, -2.495, -6.694, -9.885, 9.406, 26.17, 41.6
2011, 3, 3.118, -1.286, -4.511, 16.76, 30.16, 44.45
2011, 4, 7.439, 2.456, -0.5868, 8.573, 15.61, 31.47
2011, 5, 12.98, 7.506, 4.541, 31.33, 44.75, 76.44
2011, 6, 18.39, 12.86, 9.763, 27.6, 33.23, 56.23
2011, 7, 20.04, 14.64, 11.38, 40.21, 45.81, 76.79
2011, 8, 20.21, 15.28, 12.07, 3.004, 7.239, 11.82
2011, 9, 17.32, 12.43, 9.271, 19.96, 26.9, 40.59
2011, 10, 8.995, 4.576, 1.037, 13.56, 24.29, 36.11
2011, 11, 2.396, -2.296, -5.576, 23.25, 39.81, 55.51
2011, 12, -3.14, -7.474, -10.61, 56.86, 70.46, 95.78
2012, 1, -6.173, -10.42, -13.81, 49.53, 103.3, 162.9
2012, 2, -0.2951, -4.473, -7.763, 37.52, 67.92, 100.6
2012, 3, 3.851, -0.854, -4.222, 38.09, 48.01, 82.82
2012, 4, 11.96, 6.726, 3.466, 15.6, 22.3, 35.56
2012, 5, 16.24, 11.1, 8.044, 16.73, 23.63, 38.6
2012, 6, 15.38, 10.02, 6.66, 26.49, 43.02, 74.41
2012, 7, 21.95, 16.61, 13.57, 25.57, 26.21, 38.03
2012, 8, 23.84, 19.04, 15.82, 1.446, 3.792, 5.916
2012, 9, 14.56, 9.394, 6.239, 25.75, 44.7, 77.28
2012, 10, 7.464, 2.522, -0.8305, 20.82, 41.89, 74.3
2012, 11, 1.007, -3.518, -6.655, 30.31, 49.73, 78.83
2012, 12, -2.243, -6.133, -9.452, 25.4, 41.26, 56.8
2013, 1, -0.1773, -4.22, -7.639, 47.25, 93.94, 118.3
2013, 2, 1.46, -2.742, -5.886, 36.64, 60.53, 80.56
2013, 3, 3.633, -1.102, -4.169, 27.23, 37.85, 59.79
2013, 4, 9.024, 4.006, 0.7792, 12.87, 21.4, 40.97
2013, 5, 15.54, 10.28, 7.196, 31.14, 31.63, 44.77
2013, 6, 21.59, 15.75, 12.52, 7.422, 11.93, 20.8
2013, 7, 21.8, 16.72, 13.54, 28.15, 35.7, 72.16
2013, 8, 21.81, 16.68, 13.66, 2.152, 8.164, 7.602
2013, 9, 19.95, 15.37, 12.11, 11.12, 8.578, 17.71
2013, 10, 9.501, 4.896, 1.611, 28.52, 54.18, 95.14
2013, 11, 4.205, -0.08562, -3.517, 21.37, 37.19, 55.82
2013, 12, -1.294, -5.377, -8.749, 61.55, 87.7, 112.8
2014, 1, -3.726, -7.861, -11.06, 44.52, 92.74, 113.1
2014, 2, -0.6722, -4.849, -8.072, 47.09, 97.13, 134.8
2014, 3, 3.035, -1.799, -5.054, 51.82, 76.8, 110
2014, 4, 8.65, 3.073, 0.1515, 22.62, 32.52, 48.45
2014, 5, 15.36, 9.654, 7.012, 5.327, 13.89, 22.49
