# Created by WEAP: 5/10/2021 8:49:08 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: MT_NW_South Fork Flathead (426,889 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (14 ha),  1000 - 2000 m (305,628 ha),  2000 - 3000 m (121,246 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -4.377, -5.536, -6.889, 52.96, 65.23, 75.49
2006, 2, -1.46, -2.385, -3.842, 125, 160.3, 188
2006, 3, 2.712, 1.787, 0.4761, 72.79, 111.3, 133.6
2006, 4, 4.773, 4.275, 2.835, 68.97, 68.18, 72.76
2006, 5, 8.923, 7.108, 5.496, 124.5, 160.8, 197.9
2006, 6, 14.17, 12.33, 10.66, 58.81, 55.06, 68.7
2006, 7, 19.31, 17.05, 15.52, 29.42, 32.59, 35.2
2006, 8, 18.91, 16.95, 15.48, 20.65, 12.63, 14.92
2006, 9, 9.782, 8.852, 7.619, 89.83, 65.84, 60.45
2006, 10, 5.646, 4.917, 3.836, 116.3, 92.48, 87.73
2006, 11, -2.923, -4.152, -5.412, 60.27, 81.08, 94.46
2006, 12, -2.648, -3.792, -5.164, 166.3, 168, 191.4
2007, 1, -5.462, -6.657, -8.372, 131.2, 183.2, 236.5
2007, 2, -2.15, -3.224, -4.744, 67.69, 62.06, 63.78
2007, 3, -1.071, -1.869, -3.274, 60.87, 85.12, 110.3
2007, 4, 7.245, 6.184, 4.619, 25.42, 40.65, 47.26
2007, 5, 10.68, 9.942, 8.606, 84.35, 66.58, 71.94
2007, 6, 10.98, 10.08, 8.671, 105.1, 183.2, 225.9
2007, 7, 16.07, 14.55, 13.15, 57.08, 43.01, 45.39
2007, 8, 17.51, 15.83, 14.48, 56.08, 38.13, 33.87
2007, 9, 11.79, 10.69, 9.441, 16.41, 26.05, 31.81
2007, 10, 4.078, 3.101, 1.717, 126.3, 111.9, 118.8
2007, 11, -1.254, -2.841, -4.42, 100.8, 119, 127.9
2007, 12, -8.06, -9.291, -10.89, 58.04, 77.37, 84.62
2008, 1, -7.474, -8.32, -9.808, 91.2, 130.7, 166.8
2008, 2, -2.334, -3.081, -4.327, 99.19, 110.1, 131.2
2008, 3, -2.587, -3.248, -4.734, 8.443, 18.34, 24.42
2008, 4, 5.511, 4.737, 3.183, 53.96, 110.8, 140.1
2008, 5, 12.53, 10.5, 8.907, 61.52, 62.51, 70.62
2008, 6, 15.21, 13.08, 11.54, 95.61, 95.93, 102.3
2008, 7, 18.73, 16.51, 15.19, 63.27, 54.56, 57.79
2008, 8, 16.26, 14.5, 13.18, 35.27, 57.73, 60.74
2008, 9, 12.43, 10.6, 9.184, 43.89, 53.67, 69.53
2008, 10, 4.1, 3.168, 2.047, 23.8, 51.75, 82.58
