# Created by WEAP: 5/10/2021 8:49:16 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-CM3_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_SDGE_San Dieguito (88,565 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (78,697 ha),  1000 - 2000 m (9,869 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

2006, 1, 11.62, 7.359, 63.01, 98.12
2006, 2, 12.87, 9.236, 96.13, 128.1
2006, 3, 12.99, 9.485, 133.9, 180.3
2006, 4, 14.02, 10.25, 57.43, 80.26
2006, 5, 18.14, 15.47, 0.6287, 0.3776
2006, 6, 21.6, 20, 2.225, 4.411
2006, 7, 27.15, 26.82, 0.5393, 2.675
2006, 8, 27.16, 26.38, 0.6319, 5.013
2006, 9, 23.97, 21.74, 0.004547, 0.08009
2006, 10, 21.81, 19.15, 9.69, 10.82
2006, 11, 14.3, 9.827, 68.28, 95.5
2006, 12, 12.44, 8.53, 60.33, 70.54
2007, 1, 10.18, 5.543, 118.1, 185.5
2007, 2, 10.54, 6.251, 150.6, 209.2
2007, 3, 12.93, 9.46, 30.22, 43.71
2007, 4, 15.31, 11.72, 41.1, 50.81
2007, 5, 17.3, 14.25, 80.4, 90.87
2007, 6, 24.29, 22.88, 0.1716, 0.4348
2007, 7, 25.1, 24.42, 0.2188, 0.7757
2007, 8, 27.53, 26.72, 0.2348, 1.615
2007, 9, 24.77, 22.74, 10.88, 17.24
2007, 10, 21.96, 19.17, 1.977, 1.183
2007, 11, 13.85, 9.491, 86.04, 100.9
2007, 12, 11.32, 7.257, 79.85, 118.1
2008, 1, 12.92, 8.806, 54.46, 81.77
2008, 2, 13.18, 9.629, 136.9, 155.5
2008, 3, 13.22, 9.746, 20.02, 31.74
2008, 4, 17.4, 14.25, 1.591, 2.992
2008, 5, 17.38, 14.85, 90.78, 120.9
2008, 6, 24.71, 23.59, 0.5176, 1.735
2008, 7, 25.57, 24.97, 1.167, 4.18
2008, 8, 25.09, 23.91, 5.78, 22.56
2008, 9, 25.24, 23.86, 0.1033, 0.02269
2008, 10, 18.94, 15.86, 24.58, 34.93
2008, 11, 14.09, 9.546, 70.38, 93.24
2008, 12, 12.99, 9.105, 138.4, 193.2
2009, 1, 10.14, 5.651, 196.9, 317
2009, 2, 13.01, 9.23, 136.2, 171.2
2009, 3, 11.57, 7.611, 69.21, 93.8
2009, 4, 15.34, 11.81, 56.02, 69.25
2009, 5, 18.32, 15.98, 59.43, 74.99
2009, 6, 22.93, 21.09, 0.6623, 0.874
2009, 7, 24.54, 23.34, 0.1843, 0.4417
2009, 8, 26.86, 25.84, 7.806, 27.5
2009, 9, 26.61, 24.56, 0.0525, 0.1461
2009, 10, 23.96, 20.73, 0.5768, 1.165
2009, 11, 14.59, 10.66, 112.9, 103.3
2009, 12, 13.24, 9.207, 28.79, 46.96
2010, 1, 9.059, 4.946, 3.803, 8.076
2010, 2, 8.909, 4.434, 52.44, 75.2
2010, 3, 13.44, 10.3, 54.35, 69.56
2010, 4, 18.21, 14.8, 27.68, 45.16
2010, 5, 20.49, 18.29, 1.121, 2.503
2010, 6, 22.29, 20.64, 2.52, 1.763
2010, 7, 24.85, 24.02, 0.0888, 0.6659
2010, 8, 26.18, 25.2, 0, 0
2010, 9, 27.57, 25.57, 1.476, 1.325
2010, 10, 22.49, 19.55, 9.243, 15.68
2010, 11, 16.39, 12.29, 64.96, 74.17
2010, 12, 11.19, 6.666, 69.38, 86.07
2011, 1, 10.86, 6.696, 7.275, 10.11
2011, 2, 13.54, 9.879, 51.87, 66.99
2011, 3, 16.64, 13.51, 18.33, 34.43
2011, 4, 17.91, 14.8, 30.77, 31.17
2011, 5, 19.5, 17.12, 32.85, 38.7
2011, 6, 24.83, 23.98, 0.09595, 0.0001761
2011, 7, 26.26, 25.4, 0.4689, 1.914
2011, 8, 26.51, 26.28, 0.04738, 0.356
2011, 9, 24.66, 22.66, 7.34, 8.607
2011, 10, 20.86, 17.98, 22.88, 34.91
2011, 11, 16.13, 12.22, 33.5, 36.25
2011, 12, 11.04, 6.453, 26.31, 35.21
2012, 1, 12.71, 8.362, 171, 211.1
2012, 2, 12.59, 8.775, 61.63, 83.52
2012, 3, 14.28, 11.22, 95.31, 127.1
2012, 4, 17.18, 13.92, 10.98, 21.56
2012, 5, 21.38, 19.51, 2.244, 5.38
2012, 6, 23.17, 21.99, 0.7124, 1.755
2012, 7, 25.61, 24.99, 0.9521, 4.451
2012, 8, 28.35, 27.77, 0.3554, 1.209
2012, 9, 25.33, 23.49, 1.918, 2.763
2012, 10, 19.28, 16.36, 128.4, 157.5
2012, 11, 14.16, 10.01, 90.06, 129.9
2012, 12, 12.68, 8.591, 47.35, 65.57
2013, 1, 11.67, 7.478, 173.8, 209.2
2013, 2, 11.07, 7.077, 105.4, 156.5
2013, 3, 12.32, 8.599, 79.56, 116
2013, 4, 13.03, 8.901, 84.77, 89.41
2013, 5, 17.5, 14.75, 25.25, 42.49
2013, 6, 21.88, 20.24, 1.602, 2.301
2013, 7, 26.71, 26.04, 1.811, 7.87
2013, 8, 28.33, 27.16, 13.33, 58.41
2013, 9, 25.28, 22.96, 1.219, 0.8731
2013, 10, 24.1, 21.27, 1.172, 1.579
2013, 11, 14.88, 10.4, 54.98, 59.69
2013, 12, 14.33, 10.41, 12.46, 16.11
2014, 1, 12.45, 8.263, 34.58, 31.37
2014, 2, 15.75, 11.84, 8.993, 16.47
2014, 3, 17.09, 14.07, 0.9163, 2.001
2014, 4, 19.53, 16.24, 6.226, 12.89
2014, 5, 18.82, 16.47, 3.752, 1.902
2014, 6, 23.48, 22.42, 0.7261, 2.327
2014, 7, 25.37, 24.66, 0.08268, 0.6223
2014, 8, 25.68, 24.41, 0.005166, 0.0816
2014, 9, 26.25, 24.23, 0.0386, 0.1418
2014, 10, 23.9, 20.8, 25.92, 41.78
2014, 11, 15.31, 11.04, 48.5, 65.08
2014, 12, 10.85, 6.649, 67.94, 85.01
2015, 1, 13.31, 9.368, 13.15, 18.75
2015, 2, 14.66, 10.75, 65.49, 91.14
2015, 3, 18.84, 15.97, 10.82, 13.9
2015, 4, 20.44, 16.8, 0.2286, 0.2202
2015, 5, 22.44, 20.6, 0, 0
2015, 6, 23.81, 22.63, 0.1518, 0.527
2015, 7, 25.75, 24.94, 1.26, 9.415
2015, 8, 27.06, 25.74, 20.85, 51.03
2015, 9, 25.2, 22.8, 1.871, 3.294
2015, 10, 21.81, 18.22, 3.936, 1.248
2015, 11, 14.7, 10.23, 29.53, 47
2015, 12, 12.85, 8.669, 59.28, 91.88
2016, 1, 12.36, 8.12, 62.33, 80.06
2016, 2, 13.69, 9.68, 48.61, 77.43
2016, 3, 12.9, 9.209, 253, 342.3
2016, 4, 14.21, 10.23, 10.95, 17.41
2016, 5, 21.04, 19.21, 10.31, 15.46
2016, 6, 21.01, 18.5, 0.1788, 0.1591
2016, 7, 25.85, 24.87, 0.06691, 0.3729
2016, 8, 26.14, 25.06, 0, 0
2016, 9, 27.04, 25.16, 0.08427, 0.2697
2016, 10, 23.18, 20.15, 13.56, 12.55
2016, 11, 14.15, 9.696, 86.59, 110.6
2016, 12, 12.05, 8.165, 32.2, 38.39
2017, 1, 12.46, 8, 287.4, 427.9
2017, 2, 12.08, 8.1, 151.4, 207
2017, 3, 13.67, 10.43, 29.29, 44.5
