# Created by WEAP: 4/20/2021 6:31:23 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-ESM2M_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_CEN_Merced (270,238 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (84,527 ha),  1000 - 2000 m (74,983 ha),  2000 - 3000 m (94,512 ha),  3000 - 4000 m (16,216 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, 8.538, 4.781, -1.795, -5.833, 80.92, 109.8, 138.8, 146
2006, 2, 9.227, 4.908, -1.532, -5.438, 129.4, 159.5, 177.4, 165
2006, 3, 14.79, 10.97, 4.931, 1.09, 140.8, 178.1, 208.7, 215.8
2006, 4, 12.93, 8.946, 3.015, -0.6001, 30.98, 50.82, 53.19, 56.2
2006, 5, 20.69, 17.18, 11.47, 7.755, 3.025, 3.765, 6.687, 11.03
2006, 6, 25.36, 21.05, 14.91, 11.13, 0.8616, 8.119, 18.53, 20.11
2006, 7, 28.32, 24.37, 18.38, 14.7, 0.5244, 0.4164, 1.052, 3.058
2006, 8, 25.61, 21.92, 15.96, 12.31, 0.8079, 1.516, 7.17, 16.38
2006, 9, 21.1, 17.63, 11.74, 8.045, 0.1338, 0.04127, 0.04987, 0.5034
2006, 10, 17.24, 13.58, 7.406, 3.834, 203.7, 263.8, 318.2, 326
2006, 11, 11.59, 7.967, 1.475, -2.359, 79.23, 97.21, 115.3, 110.5
2006, 12, 6.936, 3.484, -3.096, -7.22, 148.8, 204.9, 257.8, 253.4
2007, 1, 7.275, 2.648, -4.105, -8.033, 212.9, 269.2, 305.4, 293.2
2007, 2, 8.759, 4.434, -1.817, -5.736, 263, 336.4, 379.7, 364.1
2007, 3, 10.31, 6.541, 0.6469, -3.039, 158.3, 209.7, 235.9, 236.2
2007, 4, 9.115, 5.09, -0.7001, -4.243, 154.6, 217.1, 274, 222.3
2007, 5, 18.52, 14.79, 8.849, 4.979, 14.18, 21.43, 26.11, 25.77
2007, 6, 24.42, 20.17, 14.04, 10.6, 40.18, 49.45, 62.38, 50.21
2007, 7, 25.19, 20.97, 14.95, 11.56, 2.056, 7.389, 21.22, 24.28
2007, 8, 25.59, 21.72, 15.98, 12.38, 0.09436, 2.115, 9.507, 9.089
2007, 9, 21.35, 17.64, 11.76, 8.053, 1.796, 3.175, 5.514, 5.943
2007, 10, 16.71, 12.9, 6.745, 2.921, 7.424, 12.33, 19.11, 26.09
2007, 11, 13, 9.192, 2.682, -1.081, 63.79, 88.3, 114.4, 127.2
2007, 12, 5.973, 2.221, -4.526, -8.631, 68.7, 78.58, 106.8, 113.9
2008, 1, 9.538, 5.899, -0.7618, -5.03, 149.6, 183.3, 226.1, 253.6
2008, 2, 10.17, 6.427, 0.4371, -3.318, 67.17, 91.9, 111.5, 103.3
2008, 3, 11.54, 8.006, 2.186, -1.625, 24.53, 29.01, 39.65, 47.79
2008, 4, 15.8, 12.2, 6.526, 2.864, 49.86, 79.78, 93.7, 80.06
2008, 5, 18.74, 14.65, 8.703, 5.049, 39.4, 53.88, 69.95, 50.94
2008, 6, 23.41, 19.18, 12.92, 9.168, 3.569, 12.04, 22.94, 24.15
2008, 7, 26.55, 22.63, 16.75, 13.13, 0.01651, 0.3388, 1.875, 4.406
2008, 8, 27.77, 24.07, 18.07, 14.3, 0.02364, 0.4271, 1.965, 3.15
2008, 9, 23.18, 19.36, 13.42, 9.635, 1.713, 2.36, 3.027, 3.912
2008, 10, 16.1, 12.7, 6.861, 3.141, 18.78, 36.61, 55.19, 49.99
2008, 11, 11.74, 7.75, 1.324, -2.459, 102, 117.3, 130.1, 122.9
2008, 12, 8.323, 4.597, -2.174, -5.964, 285.1, 340.4, 419.1, 492.5
2009, 1, 4.419, 0.2867, -6.211, -10.35, 153.9, 217.2, 257.5, 276.8
2009, 2, 6.107, 1.976, -4.459, -8.481, 153, 205.2, 247.3, 252.9
2009, 3, 14.84, 11.36, 5.327, 1.284, 23.95, 29.22, 34.91, 39.29
2009, 4, 15.05, 11.79, 6.056, 2.168, 11.34, 28.51, 37.92, 33.39
2009, 5, 16.46, 12.45, 6.591, 3.026, 29.85, 39.17, 44.6, 44.21
2009, 6, 22.81, 18.45, 12.31, 8.686, 15.8, 20.8, 25.21, 21.44
2009, 7, 24.07, 20.42, 14.72, 11.21, 0.004262, 0.05898, 0.4095, 1.535
2009, 8, 24.15, 20.89, 15.3, 11.9, 0, 0.0001661, 0.03192, 0.1312
2009, 9, 23.22, 19.61, 13.7, 9.886, 0.002931, 0.007751, 0.0007821, 5.512E-6
2009, 10, 19.2, 15.9, 10.03, 6.254, 78.42, 90.31, 102.5, 87.54
2009, 11, 11.06, 7.389, 0.8168, -3.179, 17.68, 19.6, 17.44, 17.09
2009, 12, 8.872, 4.656, -2.15, -5.935, 290.5, 403, 487.6, 498.1
2010, 1, 7.284, 3.628, -2.709, -6.538, 93.66, 116.3, 130.8, 115.5
2010, 2, 8.071, 3.875, -2.274, -6.094, 159.9, 205.3, 245.7, 246.8
2010, 3, 10.07, 6.073, 0.1044, -3.649, 241.8, 345.3, 418, 364.8
2010, 4, 15.04, 11.39, 5.718, 1.998, 32.82, 57.6, 94.93, 96.28
2010, 5, 20.82, 17.19, 11.34, 7.651, 10.82, 16.11, 22.7, 36.95
2010, 6, 22.07, 17.68, 11.53, 7.922, 1.426, 5.255, 10.15, 13.18
2010, 7, 25.22, 20.93, 14.77, 11.17, 3.605, 3.873, 11.28, 30.72
2010, 8, 26.59, 22.62, 16.52, 12.79, 3.028, 8.388, 19.99, 22.88
2010, 9, 19.63, 15.43, 9.625, 5.932, 38.27, 70.83, 93.18, 99.72
2010, 10, 17.36, 13.42, 7.196, 3.528, 26.43, 35.11, 39.02, 44.06
2010, 11, 9.581, 5.572, -1.122, -5.007, 5.653, 7.878, 11.6, 21.42
2010, 12, 8.632, 5.478, -1.194, -5.186, 2.908, 5.565, 7.077, 6.175
2011, 1, 5.042, 0.7918, -5.843, -9.837, 226.8, 325.1, 389.5, 408.9
2011, 2, 11.72, 8.021, 2.131, -1.8, 188.6, 284.7, 375.1, 409.2
2011, 3, 11.05, 7.274, 1.393, -2.363, 137, 186.2, 209.7, 189.2
2011, 4, 14.19, 10.23, 4.253, 0.6873, 37.75, 55.9, 78.17, 68.31
2011, 5, 19.71, 15.98, 10.26, 6.835, 0.9348, 1.822, 2.112, 2.169
2011, 6, 22.18, 17.77, 11.56, 8.067, 0, 0.001816, 0.07361, 0.2166
2011, 7, 25.04, 21.68, 15.93, 12.47, 0.008437, 0.1965, 0.4434, 0.8125
2011, 8, 27.52, 24.01, 18.29, 14.7, 0.1956, 0.1852, 1.546, 5.506
2011, 9, 22.75, 18.77, 12.67, 8.693, 6.727, 20.11, 30, 41.57
2011, 10, 17.92, 14.17, 7.783, 4.067, 4.644, 10.97, 14.7, 26.91
2011, 11, 12.74, 9.004, 2.498, -1.208, 136.8, 174.6, 193.3, 199.2
2011, 12, 8.148, 4.127, -2.696, -6.652, 75.92, 108.1, 112.8, 101
2012, 1, 7.45, 3.759, -2.526, -6.505, 44.97, 56.28, 79.75, 90.21
2012, 2, 8.58, 5.037, -0.9335, -5.1, 15.36, 21.25, 30.4, 32.24
2012, 3, 9.811, 5.999, 0.119, -3.79, 38.78, 41.12, 48.64, 46.73
2012, 4, 18.18, 15.39, 9.795, 6.004, 19.6, 20.9, 21.03, 17.24
2012, 5, 17.78, 13.92, 8.149, 4.537, 31.47, 34.95, 35.78, 34.42
2012, 6, 21.45, 17.34, 11.21, 7.6, 0.6437, 4.149, 8.364, 9.274
2012, 7, 28.55, 24.92, 19.09, 15.46, 0.02047, 0.07552, 0.2805, 1.139
