# Created by WEAP: 4/20/2021 6:31:42 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-ESM2M_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_NW_Upr Blue (91,639 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (15,587 ha),  3000 - 4000 m (74,807 ha),  4000 - 5000 m (1,246 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, -12.76, -14.5, -15.42, 30.44, 49.33, 58.81
2006, 2, -3.706, -5.799, -6.802, 45.53, 69.25, 90.32
2006, 3, -1.816, -4.105, -5.526, 48.09, 69.84, 86.98
2006, 4, 1.538, -0.9162, -2.416, 31.32, 48.38, 59.24
2006, 5, 9.338, 6.663, 4.835, 34.03, 54.57, 63.73
2006, 6, 9.284, 7.026, 5.734, 37.53, 45.72, 54.55
2006, 7, 16.61, 14.31, 13.1, 48.76, 55.52, 65.39
2006, 8, 12.56, 10.17, 8.763, 61.68, 65.4, 72.76
2006, 9, 11.75, 9.65, 8.603, 2.961, 4.137, 5.141
2006, 10, 6.245, 4.006, 2.798, 34.78, 44.71, 49.18
2006, 11, -1.838, -4.235, -5.561, 53.55, 74.7, 82.29
2006, 12, -7.587, -9.753, -10.78, 45.57, 68.13, 80.98
2007, 1, -7.486, -9.417, -10.29, 20.46, 33.08, 39.42
2007, 2, -4.551, -6.724, -7.748, 32.71, 48.83, 58.18
2007, 3, -3.15, -5.677, -7.18, 66.03, 110.2, 147.5
2007, 4, -1.372, -3.863, -5.478, 76.42, 98.79, 121.4
2007, 5, 6.266, 3.732, 2.132, 30.93, 48.69, 62.87
2007, 6, 10.19, 7.736, 6.244, 77.35, 82.34, 88.6
2007, 7, 13.7, 11.29, 9.944, 155.9, 169.3, 164.4
2007, 8, 12.84, 10.6, 9.296, 68.8, 81.65, 89.21
2007, 9, 8.825, 6.484, 5.141, 16.76, 21.78, 22.59
2007, 10, 5.008, 2.387, 0.891, 45.84, 53.15, 53.74
2007, 11, -2.907, -5.443, -6.848, 62.43, 86.53, 98.89
2007, 12, -9.836, -11.91, -12.84, 37.07, 59.17, 70.97
2008, 1, -8.079, -10.03, -10.92, 20.33, 31.98, 41.13
2008, 2, -5.48, -7.316, -8.137, 30.73, 39.36, 38.71
2008, 3, 0.07795, -1.994, -3.146, 6.864, 11.76, 16.1
2008, 4, 3.322, 0.9992, -0.4108, 39.66, 56.73, 67.05
2008, 5, 8.712, 5.936, 4.059, 31.7, 48.73, 58.44
2008, 6, 11.84, 9.661, 8.49, 37.37, 34.25, 31.25
2008, 7, 14.18, 11.9, 10.62, 34.05, 40.92, 43.1
2008, 8, 13.28, 11.16, 10.07, 38.32, 46.6, 50.71
2008, 9, 8.386, 6.128, 4.862, 28.82, 35.28, 40.07
2008, 10, 3.462, 1.03, -0.3354, 33.35, 35.63, 35.16
2008, 11, -2.285, -4.745, -6.104, 57.21, 81.7, 94.59
2008, 12, -8.97, -11.13, -12.27, 41, 65.76, 82.74
2009, 1, -10.24, -12.26, -13.33, 51.9, 66.56, 74.17
2009, 2, -5.444, -7.518, -8.55, 35.13, 45.67, 51.11
2009, 3, -1.939, -4.056, -5.272, 22.2, 36.97, 47.7
2009, 4, -0.9128, -3.383, -4.817, 82.42, 116.7, 141.8
2009, 5, 9.538, 7.008, 5.397, 10.72, 14.85, 18.22
2009, 6, 11.78, 9.629, 8.487, 11.98, 16.24, 18.67
2009, 7, 17.13, 14.97, 13.92, 16.58, 22.12, 24.96
2009, 8, 16.75, 14.71, 13.76, 17.32, 23.02, 24.63
2009, 9, 9.987, 7.766, 6.522, 9.432, 14.59, 19.04
2009, 10, 6.15, 4.013, 2.953, 12.09, 21.69, 28.96
2009, 11, -4.738, -6.921, -7.943, 22.89, 34.55, 44.49
2009, 12, -7.703, -9.675, -10.59, 59.1, 82.95, 95.48
2010, 1, -10.1, -12.12, -13.05, 48.17, 73.44, 96.1
2010, 2, -9.398, -11.38, -12.28, 44.08, 62.09, 74.03
2010, 3, -5.828, -8.043, -9.263, 30.31, 43.8, 52.26
