# Created by WEAP: 4/20/2021 6:31:57 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-ESM2M_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_E_South Klamath (440,680 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (440,553 ha),  2000 - 3000 m (127 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -0.9703, -3.36, 28.42, 49.51
2006, 2, 1.648, -0.52, 77.53, 116.7
2006, 3, 8.955, 6.596, 35.26, 43.56
2006, 4, 7.862, 5.746, 18.32, 15.23
2006, 5, 16.25, 14.02, 11.96, 19.44
2006, 6, 17.23, 14.97, 0.4622, 0.9589
2006, 7, 21.68, 19.32, 0.005128, 0
2006, 8, 22.02, 19.91, 0.5886, 0.03569
2006, 9, 12.72, 10.24, 12.92, 18.41
2006, 10, 10.23, 8.112, 91.35, 114.2
2006, 11, 3.914, 2.133, 27.43, 34.57
2006, 12, -2.464, -4.575, 33.85, 44.65
2007, 1, -0.6935, -2.721, 99.92, 135.2
2007, 2, 0.6784, -1.107, 57.93, 93.64
2007, 3, 4.391, 2.779, 26.63, 60.28
2007, 4, 4.465, 2.854, 33.15, 50.21
2007, 5, 12.79, 10.82, 20.29, 18.12
2007, 6, 20.52, 17.96, 43.89, 45.32
2007, 7, 20.6, 18.39, 14.68, 25.63
2007, 8, 23.22, 21.11, 31.75, 44.07
2007, 9, 14.47, 12.27, 9.034, 14.38
2007, 10, 9.984, 7.737, 9.507, 13.01
2007, 11, 5.569, 3.481, 42.6, 62.75
2007, 12, -2.398, -4.467, 37.88, 35.89
2008, 1, 0.144, -1.774, 40.46, 52.09
2008, 2, 4.153, 1.942, 80.14, 108.6
2008, 3, 3.976, 2.306, 77.01, 114.4
2008, 4, 9.781, 7.695, 21.76, 30.78
2008, 5, 10.06, 7.28, 28.3, 39.05
2008, 6, 17.44, 15.2, 31.6, 42.71
2008, 7, 21.45, 19.59, 0.006985, 0
2008, 8, 22.01, 19.88, 6.631E-6, 0
2008, 9, 16.74, 14.33, 11.24, 16.71
2008, 10, 7.776, 5.888, 86.88, 135.9
2008, 11, 4.547, 2.552, 61.94, 88.94
2008, 12, 2.027, 0.03409, 77.56, 123.5
2009, 1, -2.71, -4.502, 68.59, 91.25
2009, 2, -0.6787, -2.812, 60.3, 102.3
2009, 3, 7.102, 5.63, 6.5, 7.126
2009, 4, 6.531, 4.612, 13.7, 27.41
2009, 5, 10.88, 8.715, 26.08, 44.98
2009, 6, 17.15, 15.18, 45.29, 52.36
2009, 7, 19.85, 17.44, 9.629E-6, 0
2009, 8, 20.5, 18.53, 0.07947, 0
2009, 9, 15.39, 13.05, 0.5369, 0
2009, 10, 10.45, 7.92, 6.264, 4.161
2009, 11, 3.362, 1.343, 15.73, 15.9
2009, 12, -0.1158, -2.283, 105.9, 155.4
2010, 1, -0.08578, -2.659, 16.26, 24.47
2010, 2, 0.8104, -1.595, 36.04, 37.69
2010, 3, 4.373, 2.127, 35.25, 52.66
2010, 4, 9.556, 7.603, 19.16, 23.22
2010, 5, 15.83, 13.91, 23.76, 23.22
2010, 6, 15.18, 13.24, 27.63, 25.2
2010, 7, 19.95, 17.98, 29.38, 30.42
2010, 8, 21.87, 19.72, 20.66, 16.11
