# Created by WEAP: 4/20/2021 6:32:11 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-ESM2M_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_WA_BPA_Lwr Columbia (1,123,552 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (789,036 ha),  1000 - 2000 m (311,983 ha),  2000 - 3000 m (22,533 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -3.983, -8.005, -10.74, 42.37, 141.3, 163.4
2006, 2, -1.254, -6.397, -9.272, 92.77, 286.9, 336.7
2006, 3, 7.85, 2.299, -0.9268, 6.019, 27.67, 36.41
2006, 4, 12.1, 5.464, 2.165, 5.405, 26.15, 36.48
2006, 5, 18.09, 11.27, 8.244, 8.284, 32.63, 39.26
2006, 6, 18.57, 11.65, 8.667, 6.149, 14.27, 18.47
2006, 7, 22.77, 15.59, 12.36, 0.9003, 5.607, 6.994
2006, 8, 23.72, 17.25, 14.22, 42.18, 67.93, 71.54
2006, 9, 14.68, 8.526, 5.596, 40.03, 91.35, 119.3
2006, 10, 10.38, 4.411, 1.461, 40.95, 169.8, 234.4
2006, 11, 5.004, -0.4621, -3.435, 71.15, 378.8, 519.3
2006, 12, -5.024, -9.278, -12.05, 66.38, 213.9, 242.3
2007, 1, -2.566, -6.772, -9.409, 71.07, 238.8, 291.1
2007, 2, 0.9635, -4.054, -6.882, 52.98, 146.6, 173.1
2007, 3, 7.471, 1.431, -1.619, 12.01, 49.43, 63.67
2007, 4, 10.36, 3.907, 0.8565, 18.89, 78.9, 114.9
2007, 5, 16.11, 9.663, 6.694, 26.87, 97.3, 142.1
2007, 6, 22.54, 15.41, 12.29, 33.93, 43.64, 50.47
2007, 7, 22.09, 14.98, 11.78, 15.39, 33.18, 46.88
2007, 8, 25.58, 19.08, 16.01, 17.68, 15.4, 15
2007, 9, 16.34, 10.34, 7.282, 2.17, 8.61, 9.809
2007, 10, 10.82, 5.345, 2.371, 4.826, 24.53, 34.02
2007, 11, 3.944, -1.234, -4.073, 71.02, 296.5, 375.7
2007, 12, -2.004, -6.632, -9.492, 30.98, 117.7, 150.3
2008, 1, -2.166, -6.713, -9.539, 32.88, 129.4, 149.4
2008, 2, 3.002, -2.235, -5.024, 114.6, 481.5, 631.7
2008, 3, 4.11, -1.743, -4.707, 98.92, 434.2, 548.7
2008, 4, 11.83, 5.134, 1.948, 14.06, 63.38, 84.61
2008, 5, 12.43, 5.904, 2.772, 19.56, 48.34, 62.62
2008, 6, 20.73, 13.75, 10.73, 12.9, 28.66, 38.16
2008, 7, 21.23, 14, 10.72, 1.527, 12.77, 12.91
2008, 8, 23.34, 16.87, 13.79, 0.9489, 8.739, 10.28
2008, 9, 18.19, 12.07, 8.877, 5.472, 28.06, 37.79
2008, 10, 8.932, 3.186, 0.3615, 42.28, 126.2, 156.3
2008, 11, 3.572, -1.639, -4.416, 39.64, 159.5, 219.6
2008, 12, -2.527, -6.734, -9.525, 99.68, 260.1, 291.9
2009, 1, -2.713, -7.432, -10.1, 70.7, 273.5, 322.3
2009, 2, -2.123, -6.231, -8.891, 77.1, 290.9, 378.5
2009, 3, 4.963, -0.7414, -3.703, 47.61, 256.6, 375.3
2009, 4, 7.745, 1.733, -1.383, 5.397, 46.7, 60.07
2009, 5, 12.5, 6.284, 3.369, 17.15, 42.12, 54.16
2009, 6, 20.3, 13.4, 10.42, 5.419, 12.86, 14.09
2009, 7, 22.05, 14.96, 11.83, 6.55, 13.77, 17.94
2009, 8, 22.68, 15.95, 12.78, 8.29, 40.11, 53.99
2009, 9, 16.07, 10.17, 7.123, 1.813, 16.17, 17.55
2009, 10, 10.04, 4.388, 1.557, 3.712, 28.49, 41.64
2009, 11, 3.819, -1.168, -4.12, 52.18, 234.8, 292.5
2009, 12, -3.489, -7.979, -10.57, 80.58, 275.1, 326
2010, 1, -2.572, -6.963, -9.769, 28.37, 75.13, 83.94
2010, 2, -1.104, -5.605, -8.275, 53.45, 216.9, 281.3
2010, 3, 5.742, -0.4096, -3.492, 14.32, 80.35, 99.64
2010, 4, 11.65, 5.175, 2.011, 13.96, 52.33, 69.76
2010, 5, 18.61, 12.01, 9.027, 13.39, 35.82, 51.68
2010, 6, 17.76, 11.34, 8.314, 21.32, 62.04, 76.2
2010, 7, 24.52, 17.68, 14.45, 1.098, 0.7266, 0.5728
2010, 8, 24.82, 18.44, 15.29, 3.274, 4.768, 5.52
2010, 9, 20.06, 13.97, 10.97, 6.476, 20.09, 27.31
2010, 10, 9.849, 3.872, 0.9254, 24.76, 116.3, 142.5
2010, 11, -0.2285, -4.451, -7.184, 40.51, 185.8, 222.5
2010, 12, -2.75, -7.029, -9.637, 34.17, 125.6, 152.2
2011, 1, -7.283, -10.92, -13.52, 80.85, 247.1, 296.6
2011, 2, 1.886, -3.343, -6.135, 38.5, 160.6, 211.3
2011, 3, 7.299, 1.538, -1.399, 27.92, 125.7, 157.3
2011, 4, 11.55, 5.11, 1.966, 23.23, 91.19, 112.1
2011, 5, 17.01, 10.27, 7.346, 16.76, 38.62, 51.75
2011, 6, 16.02, 9.209, 6.379, 10.48, 31.12, 35.86
2011, 7, 25.53, 18.62, 15.45, 0.4946, 2.818, 5.367
2011, 8, 23.51, 16.84, 13.65, 0.9225, 4.325, 5.782
2011, 9, 17.67, 11.72, 8.624, 0.3077, 3.98, 4.274
2011, 10, 10.83, 4.963, 1.951, 31.54, 156.4, 212.4
2011, 11, 4.267, -0.8266, -3.607, 41.42, 150.2, 191.5
2011, 12, 0.4752, -4.572, -7.452, 49.1, 193.6, 237.1
2012, 1, -4.512, -8.543, -11.24, 71.07, 308.7, 388.7
2012, 2, -3.072, -7.452, -10.19, 35.63, 165.4, 195.8
2012, 3, 4.464, -1.333, -4.47, 30.05, 123.4, 164.1
2012, 4, 11.26, 4.699, 1.583, 20.39, 102.3, 146.2
2012, 5, 16.19, 9.552, 6.576, 9.168, 26.62, 33.37
2012, 6, 20.28, 13.63, 10.56, 12.17, 30.44, 39.02
2012, 7, 25.75, 18.92, 15.69, 6.537, 16.88, 28.26
2012, 8, 24.58, 18.2, 15.03, 0.003696, 0.03776, 0.07475
2012, 9, 19.48, 13.59, 10.7, 5.196, 15.82, 23.09
2012, 10, 9.734, 3.916, 1.141, 24.32, 88.09, 107.2
2012, 11, 2.619, -2.43, -5.298, 42.32, 144.7, 172.4
2012, 12, -6.392, -10.11, -12.59, 53.14, 181.9, 218.7
2013, 1, -7.466, -11.42, -14.29, 36.54, 163.2, 208.2
2013, 2, 1.419, -3.616, -6.364, 32.51, 161, 210
2013, 3, 5.476, -0.02231, -2.981, 10.92, 55.31, 63.74
2013, 4, 9.626, 3.454, 0.2655, 33.84, 105, 136.2
2013, 5, 14.6, 8.226, 5.346, 54.82, 104.7, 135.6
2013, 6, 17.37, 10.63, 7.671, 13.69, 29.4, 35.69
2013, 7, 23.55, 16.51, 13.22, 1.241, 6.823, 8.43
2013, 8, 23.33, 16.92, 13.84, 1.04, 1.928, 3.983
2013, 9, 22.78, 16.5, 13.67, 18.11, 45.11, 50.98
2013, 10, 11.26, 6.008, 3.284, 15.53, 78.72, 105.5
2013, 11, 2.917, -2.008, -4.768, 62.28, 221.8, 275.7
2013, 12, -8.494, -12.36, -14.88, 24.99, 93.13, 108.3
2014, 1, -6.785, -10.32, -12.94, 36.08, 127.6, 160.4
2014, 2, 1.291, -3.878, -6.923, 27.1, 126.5, 154.7
2014, 3, 6.589, 0.7125, -2.374, 19.63, 103.3, 148.1
2014, 4, 10.67, 3.984, 0.7519, 12.88, 52.66, 75.44
2014, 5, 15.51, 8.995, 6.114, 18.21, 41.62, 52.2
2014, 6, 20.73, 14.17, 11.12, 24.61, 38.31, 44.77
2014, 7, 24.99, 18.36, 15.35, 17.96, 34.55, 48.84
2014, 8, 22.97, 16.27, 12.96, 5.567, 32.42, 45.65
2014, 9, 14.18, 7.706, 4.687, 1.775, 11.16, 13.73
2014, 10, 9.502, 4.059, 1.149, 16.93, 62.7, 86.81
2014, 11, 4.059, -0.65, -3.359, 37.34, 114.9, 131.8
2014, 12, 0.7691, -4.428, -7.361, 121.8, 349.4, 428.9
2015, 1, 0.5657, -4.526, -7.39, 104.9, 344.4, 412.8
2015, 2, 2.731, -2.504, -5.435, 41.52, 141.5, 168.2
2015, 3, 10.34, 3.746, 0.4686, 15.32, 63.99, 93.23
2015, 4, 13.42, 6.787, 3.444, 8.195, 31.52, 38.65
2015, 5, 16.49, 10.18, 7.187, 28.43, 53.12, 71.13
2015, 6, 21.88, 15.85, 12.97, 7.821, 15.4, 15.25
2015, 7, 25.84, 19.02, 15.89, 0.05042, 0.5428, 1.029
2015, 8, 25.5, 18.86, 15.73, 2.235, 7.082, 9.318
2015, 9, 20.64, 14.38, 11.33, 3.189, 20.4, 28.65
2015, 10, 12.51, 7.117, 4.239, 4.775, 29.98, 48.05
2015, 11, 2.172, -2.414, -5.209, 131.2, 431.1, 541
2015, 12, -0.3624, -4.948, -7.786, 81.75, 253.3, 305.1
2016, 1, -3.326, -7.492, -10.15, 50.41, 225.9, 288.4
2016, 2, 0.1239, -4.923, -7.735, 45.46, 218.9, 265.4
2016, 3, 2.276, -3.2, -6.242, 24.81, 94.5, 138.2
2016, 4, 7.81, 2.253, -0.7175, 35.46, 127.6, 178.5
2016, 5, 11.19, 4.784, 1.877, 34.84, 104.4, 136.1
2016, 6, 16.74, 10.2, 7.299, 10.38, 32.08, 42.8
2016, 7, 24.76, 18.11, 14.99, 11.72, 34.26, 48.1
2016, 8, 23.91, 17.4, 14.3, 0.07043, 0.2361, 0.6187
2016, 9, 18.69, 12.64, 9.449, 5.874, 31.35, 39.23
2016, 10, 12.55, 6.628, 3.655, 32.08, 121.6, 160.5
2016, 11, 2.041, -3.362, -6.37, 67.51, 244, 325.8
2016, 12, -4.888, -8.776, -11.34, 60.21, 214.1, 253.9
2017, 1, -5.302, -9.34, -11.94, 59.27, 261.6, 333.9
2017, 2, 1.349, -3.659, -6.46, 80.6, 298.9, 371.5
2017, 3, 8.703, 2.731, -0.3483, 25.45, 79.31, 99.63
2017, 4, 12.63, 5.923, 2.668, 18.65, 86.14, 115.7
2017, 5, 15.82, 9.537, 6.567, 20.34, 40.67, 47.79
2017, 6, 21.12, 14.9, 11.99, 37.68, 60.33, 83.28
2017, 7, 23.85, 17.39, 14.39, 4.703, 16.06, 19.21
2017, 8, 23.57, 17.05, 13.9, 6.194, 24.13, 35.77
2017, 9, 17.52, 11.12, 7.994, 2.327, 18.83, 21.58
2017, 10, 9.353, 3.673, 0.8243, 11.39, 56.71, 76.33
2017, 11, 3.453, -1.667, -4.585, 43.99, 176.2, 231.3
2017, 12, -1.721, -6.618, -9.491, 74.52, 226.3, 264.4
2018, 1, -3.599, -7.855, -10.44, 51.68, 174.4, 201.9
2018, 2, -0.3193, -4.917, -7.58, 22.47, 133.3, 181.1
2018, 3, 2.722, -2.401, -5.317, 15.31, 54.66, 74.64
2018, 4, 8.739, 2.623, -0.4665, 11.22, 41.67, 48.69
2018, 5, 14.26, 7.665, 4.699, 23.16, 77.5, 118.8
2018, 6, 24.61, 18.2, 15.36, 59.8, 109.4, 153.2
2018, 7, 22.09, 15.53, 12.49, 9.545, 20.3, 27.23
2018, 8, 21.83, 15.5, 12.33, 2.576, 10.99, 15.79
2018, 9, 16.13, 9.764, 6.702, 42.67, 102.8, 127.7
2018, 10, 8.485, 2.664, -0.3037, 4.135, 25.61, 35.14
2018, 11, 2.207, -2.632, -5.454, 50.14, 178.8, 214.9
2018, 12, -1.924, -6.499, -9.199, 46.24, 182.4, 234.6
2019, 1, -3.221, -7.601, -10.23, 76.91, 246, 304.5
2019, 2, 0.6326, -4.236, -6.953, 51.83, 233.9, 313.2
2019, 3, 5.125, -0.6626, -3.723, 22.6, 123.8, 174.6
2019, 4, 8.947, 2.62, -0.475, 11.07, 42.17, 53.75
2019, 5, 13.54, 7.23, 4.327, 51.32, 101.9, 125.8
2019, 6, 17.62, 10.9, 7.876, 4.206, 14.64, 19.57
2019, 7, 22.72, 15.88, 12.8, 0.924, 5.292, 5.504
2019, 8, 25.46, 18.78, 15.56, 0.1187, 0.222, 0.577
2019, 9, 17.8, 11.69, 8.575, 34.01, 84.32, 103.2
2019, 10, 12.04, 6.535, 3.641, 9.753, 42.46, 53.25
2019, 11, 1.215, -3.513, -6.233, 28.78, 133.1, 172.3
2019, 12, -3.97, -8.562, -11.25, 72.68, 237.7, 291.1
2020, 1, -1.236, -5.904, -8.683, 83.87, 363.5, 448.5
2020, 2, -4.29, -8.214, -10.84, 7.679, 54.2, 77.23
2020, 3, 6.469, 0.9235, -2.227, 17.8, 70.29, 91.19
2020, 4, 9.062, 2.682, -0.4342, 32.36, 107.3, 141.3
2020, 5, 16.03, 9.5, 6.537, 27.02, 42.76, 47
2020, 6, 20.9, 14.34, 11.28, 26.33, 52.8, 61.54
2020, 7, 23.66, 17.05, 13.96, 14.57, 28.84, 33.8
2020, 8, 22.54, 15.97, 12.77, 27.33, 60, 74.23
2020, 9, 17.08, 10.86, 7.723, 20.9, 68.84, 83.79
2020, 10, 10.2, 4.377, 1.365, 20.86, 66.69, 84.77
2020, 11, 1.481, -3.278, -6.108, 40.8, 203.2, 277.7
2020, 12, -2.778, -6.948, -9.63, 50.94, 144.6, 177.1
2021, 1, -3.664, -7.806, -10.39, 38.38, 167.7, 216.1
2021, 2, 4.02, -1.043, -3.816, 20.44, 92.82, 118
2021, 3, 10.62, 4.221, 0.991, 24.57, 91.92, 126
2021, 4, 12.79, 6.399, 3.227, 40.4, 153.6, 208.9
2021, 5, 15.83, 9.287, 6.503, 12.91, 45.48, 62.94
2021, 6, 19.16, 12.67, 9.794, 4.37, 9.616, 10.81
2021, 7, 26.65, 19.7, 16.51, 0.2736, 3.235, 2.83
2021, 8, 24.92, 18.46, 15.22, 12.4, 14.52, 14.65
2021, 9, 18.5, 11.89, 8.728, 16.92, 52.96, 67.3
2021, 10, 8.821, 2.949, -0.04431, 12.65, 65.21, 89.69
2021, 11, 3.526, -1.709, -4.512, 111.7, 324.6, 415.9
2021, 12, -1.102, -5.905, -8.654, 42.34, 133.4, 159.1
2022, 1, 0.4196, -3.912, -6.696, 39.32, 126.4, 150.7
2022, 2, 3.233, -1.686, -4.66, 56.92, 191.2, 259.2
2022, 3, 9.526, 3.795, 0.7064, 14.26, 48.23, 65.09
2022, 4, 11.73, 5.129, 1.956, 17.63, 108.1, 141.8
2022, 5, 13.78, 7.24, 4.307, 25.89, 73.93, 95.5
2022, 6, 19.4, 12.97, 9.876, 29.58, 61.69, 76.33
2022, 7, 22.56, 15.75, 12.68, 3.065, 8.902, 8.984
2022, 8, 22.01, 15.43, 12.23, 6.163, 42.88, 57.75
2022, 9, 19.56, 13.38, 10.26, 0.7681, 5.86, 6.723
2022, 10, 11.73, 6.079, 3.217, 11.41, 81.63, 112.3
2022, 11, 2.164, -2.961, -5.842, 36.09, 101.4, 120.9
2022, 12, -2.321, -7.151, -9.964, 40.56, 119.7, 150.6
2023, 1, 1.928, -3.208, -6.12, 97.14, 294.4, 357.1
2023, 2, 3.341, -2.056, -4.984, 81.86, 431.8, 548.1
2023, 3, 7.619, 1.395, -1.828, 27.78, 120.5, 150.2
2023, 4, 11.08, 4.509, 1.284, 29.1, 113, 161.3
2023, 5, 13.42, 7.24, 4.634, 21.97, 69.34, 101.6
2023, 6, 16.48, 9.426, 6.271, 3.575, 20.37, 28.6
2023, 7, 23.2, 16.45, 13.18, 0.1907, 1.485, 2.996
2023, 8, 25.26, 18.58, 15.35, 9.03, 11.38, 9.923
2023, 9, 19.28, 13.15, 9.964, 10.96, 61.04, 79.98
2023, 10, 14.55, 8.913, 5.996, 20.12, 106.2, 146.2
2023, 11, 5.328, -0.01293, -3.041, 48.7, 181.8, 234.2
2023, 12, -0.5465, -5.308, -8.133, 55.44, 179.2, 241.8
2024, 1, 2.15, -3.092, -5.94, 154.2, 427.4, 502.3
2024, 2, 2.906, -2.32, -5.148, 45.24, 176.8, 233
2024, 3, 5.186, -0.5616, -3.712, 36.2, 149.5, 200.3
2024, 4, 11.95, 5.07, 1.688, 21.66, 55.78, 70.57
2024, 5, 13.25, 6.706, 3.867, 5.105, 20.68, 24.76
2024, 6, 21.26, 14.71, 11.72, 13.89, 45.36, 69.51
2024, 7, 25.04, 18.18, 15.09, 1.599, 5.971, 12.01
2024, 8, 23.14, 16.43, 13.13, 6.838, 26.32, 38.57
2024, 9, 19.21, 12.74, 9.582, 5.991, 43.11, 53.95
2024, 10, 8.94, 3.278, 0.3973, 18.3, 81.36, 102
2024, 11, 3.942, -1.549, -4.551, 68.96, 242.3, 312.3
2024, 12, -1.314, -5.922, -8.661, 74.1, 208.8, 253.6
