# Created by WEAP: 4/20/2021 6:32:16 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-ESM2M_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: AZ_APS_N_Verde (1,510,085 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (87,069 ha),  1000 - 2000 m (1,147,675 ha),  2000 - 3000 m (274,762 ha),  3000 - 4000 m (579 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, 9.143, 4.103, -0.1998, -6.558, 3.63, 6.906, 16.94, 37.3
2006, 2, 14.31, 9.374, 5.067, -1.155, 65.4, 75.69, 125.1, 171.5
2006, 3, 15.49, 10.94, 6.046, 0.1587, 138.8, 131.2, 201.9, 212.5
2006, 4, 17, 12.21, 7.774, 1.813, 21.74, 29.82, 36.01, 38.95
2006, 5, 25.22, 19.52, 15.18, 8.933, 6.278, 11.36, 15.32, 24.71
2006, 6, 28.43, 22.93, 18.13, 11.69, 11.96, 18.61, 27.55, 59.84
2006, 7, 32.7, 27.9, 23.68, 17.78, 30.39, 41.58, 44.21, 47.36
2006, 8, 28.72, 23.44, 18.89, 12.74, 66.51, 63.12, 81.91, 76.12
2006, 9, 28.27, 22.69, 18.46, 12.3, 5.426, 6.301, 17.43, 28.8
2006, 10, 23.36, 18.22, 13.98, 8.001, 98.24, 86.42, 102.7, 127.1
2006, 11, 15.21, 10.34, 6.413, 0.6836, 51.05, 40.55, 71.11, 110.3
2006, 12, 10.06, 5.236, 1.461, -4.781, 32.75, 27.25, 38.94, 57.2
2007, 1, 9.177, 4.19, 0.04674, -6.679, 28.72, 25.19, 46.03, 71.05
2007, 2, 12.62, 8.447, 4.111, -1.878, 55.83, 60.37, 84.35, 127.8
2007, 3, 10.79, 6.275, 1.729, -4.011, 147, 119.5, 169.7, 191
2007, 4, 17.98, 12.37, 8.136, 2.337, 5.345, 5.448, 14.22, 25.09
2007, 5, 22.83, 18.24, 13.66, 7.742, 1.284, 3.367, 4.038, 10.3
2007, 6, 27.98, 22.83, 18.31, 12.11, 9.927, 16.43, 20.18, 55.72
2007, 7, 31.23, 26.26, 21.88, 15.73, 18.45, 21.44, 37.33, 74.22
2007, 8, 30.72, 25.54, 20.97, 14.9, 21.78, 43.43, 55.11, 74.01
2007, 9, 25.52, 20.27, 15.58, 9.791, 60.99, 51.1, 58.54, 57.48
2007, 10, 20.25, 15.13, 10.71, 4.534, 49.34, 61.71, 88.39, 123.4
2007, 11, 14.16, 9.45, 5.388, -0.7776, 17.96, 22.48, 31.77, 47.12
2007, 12, 8.551, 3.432, -0.4341, -6.839, 22.13, 13.76, 22.13, 39.67
2008, 1, 10.69, 6.104, 2.323, -3.941, 4.713, 7.225, 12.18, 19.73
2008, 2, 14.15, 9.526, 5.64, -0.8231, 2.056, 0.6551, 0.4818, 0.9553
2008, 3, 18.86, 13.94, 9.637, 3.055, 0.01572, 0.0248, 0.004166, 0
2008, 4, 21.24, 16.37, 11.65, 5.208, 0.4935, 2.967, 4.014, 5.254
2008, 5, 24.32, 19.54, 15.15, 9.164, 1.407, 3.304, 5.27, 16.38
2008, 6, 28.03, 23.01, 18.68, 12.88, 7.667, 10.01, 10.51, 26.06
2008, 7, 30.82, 25.81, 21.23, 14.82, 102.8, 104.9, 101.6, 137.3
2008, 8, 30.34, 25.38, 20.66, 14.39, 69.48, 73.56, 81.01, 108.2
2008, 9, 25.4, 20.63, 15.96, 9.722, 12.14, 8.793, 13.91, 27.71
2008, 10, 22.68, 16.62, 12.3, 5.789, 6.706, 15.73, 22.63, 29.74
2008, 11, 14.36, 9.344, 5.307, -0.6056, 231.2, 162.3, 202.1, 198.3
2008, 12, 8.832, 4.563, 0.9254, -5.339, 7.816, 10.38, 21.13, 33.52
2009, 1, 9.196, 4.403, 0.1708, -6.183, 7.06, 15.57, 27.43, 35.4
2009, 2, 13.62, 8.197, 4.045, -2.45, 64.82, 52.85, 81.65, 79.63
2009, 3, 17.46, 12.77, 8.267, 1.828, 3.803, 2.252, 2.555, 2.457
2009, 4, 16.82, 11.96, 7.209, 1.095, 24.64, 38.6, 59.51, 97.54
