# Created by WEAP: 4/20/2021 6:25:41 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_GFDL-ESM2M_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: UT_N_Bear (2,757,769 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (1,925,184 ha),  2000 - 3000 m (801,552 ha),  3000 - 4000 m (31,033 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, -4.944, -9.575, -12.14, 22.03, 56, 88.15
2006, 2, 3.733, -0.7349, -4.024, 46.04, 96.62, 133.5
2006, 3, 10.09, 5.315, 1.569, 56.98, 107.1, 160
2006, 4, 10.67, 6.32, 2.76, 86.04, 142.6, 200.8
2006, 5, 17.35, 12.82, 9.12, 69.17, 84.76, 116.6
2006, 6, 20.13, 15.5, 11.8, 20.53, 42.11, 63.37
2006, 7, 25.62, 21.15, 17.37, 2.897, 6.783, 9.26
2006, 8, 22.58, 18.23, 14.61, 10.94, 23.65, 34.14
2006, 9, 18.45, 14.4, 11.07, 0.0194, 0.02888, 0.0005416
2006, 10, 13.8, 10.27, 6.997, 93.65, 146.9, 196
2006, 11, 5.071, 1.32, -1.875, 41.12, 78.73, 109.6
2006, 12, -1.718, -5.954, -8.883, 40.14, 84.92, 120.7
2007, 1, -2.055, -6.52, -9.412, 35, 74.44, 110.2
2007, 2, 1.848, -2.663, -5.606, 49.49, 92.45, 131.5
2007, 3, 4.718, 0.02635, -3.432, 36.58, 56.98, 82.92
2007, 4, 5.804, 1.281, -2.456, 44.21, 78.87, 112.3
2007, 5, 15.5, 10.95, 7.153, 36.21, 51.01, 67.47
2007, 6, 21.79, 16.51, 12.5, 20.83, 40.09, 54
2007, 7, 24.16, 19.47, 15.56, 19.06, 39.16, 56.6
