# Created by WEAP: 5/10/2021 8:09:04 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_HadGEM2-CC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: AZ_SE_Upr Gila (2,148,903 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,288,646 ha),  1000 - 2000 m (841,618 ha),  2000 - 3000 m (18,639 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 9.144, 6.276, 2.201, 11.06, 20.18, 40.16
2006, 2, 14.94, 11.63, 7.408, 1.223, 1.595, 2.292
2006, 3, 17.05, 13.33, 9.257, 44.58, 64.16, 116.7
2006, 4, 24.38, 20.19, 16.44, 0.06479, 0.192, 0.6443
2006, 5, 27.21, 22.87, 19.31, 2.372, 2.974, 6.709
2006, 6, 31.49, 27.07, 23.5, 0.01729, 0.8645, 0.5061
2006, 7, 33.34, 27.94, 24.53, 41.74, 81.33, 77.4
2006, 8, 32.84, 27.25, 23.92, 54.45, 96.65, 104.3
2006, 9, 29.13, 24.51, 20.81, 28.44, 37.77, 51.38
2006, 10, 25.32, 21.29, 17.46, 15.39, 19.64, 41.58
2006, 11, 19.13, 15.89, 11.63, 7.653, 16.22, 30.33
2006, 12, 12.75, 10.09, 5.594, 38.62, 78.14, 103.9
2007, 1, 14.09, 11.47, 7.1, 12.04, 18.29, 35.28
2007, 2, 11.69, 8.544, 4.411, 9.469, 12.79, 28.96
2007, 3, 17.42, 13.93, 9.872, 8.893, 15.51, 33.89
2007, 4, 21, 17.16, 13.42, 4.965, 6.486, 20.26
2007, 5, 25.49, 21.33, 17.9, 0.1064, 0.05847, 0.3008
2007, 6, 31.08, 27.1, 23.6, 0.6101, 8.189, 4.034
2007, 7, 33.5, 28.09, 24.97, 21.23, 57.51, 60.92
2007, 8, 30.5, 25.32, 22.01, 50.53, 82.47, 96.23
2007, 9, 29.31, 24.87, 21.47, 5.548, 18.16, 23.67
2007, 10, 25.69, 21.61, 17.87, 52.91, 64.37, 107.2
2007, 11, 16.64, 13.51, 9.341, 36.09, 43.3, 70.35
2007, 12, 12.29, 10.1, 5.55, 0.6898, 1.666, 2.529
2008, 1, 12.93, 10.69, 6.251, 14.99, 13.83, 31.59
2008, 2, 15.45, 12.36, 8.276, 0.7533, 3.022, 5.718
2008, 3, 19.06, 15.67, 11.91, 2.775, 3.149, 4.584
2008, 4, 23.8, 19.57, 15.92, 4.396, 9.921, 19.34
2008, 5, 24.93, 20.29, 16.45, 23.92, 27.68, 57.88
2008, 6, 32.06, 26.54, 23.04, 15.44, 43.04, 62.39
2008, 7, 33.25, 27.75, 24.42, 34.77, 71.19, 68.99
2008, 8, 31.51, 25.81, 22.36, 77.23, 148.8, 142
2008, 9, 30.78, 25.72, 21.6, 58.98, 98.8, 111.1
2008, 10, 23.81, 19.38, 15.43, 11.09, 30.21, 43.68
2008, 11, 18.36, 14.93, 10.73, 15.38, 19.24, 41.31
2008, 12, 14.23, 11.61, 7.11, 1.135, 3.68, 5.993
2009, 1, 13.98, 10.62, 6.419, 29.45, 39.49, 69.95
2009, 2, 15.25, 11.72, 7.793, 9.015, 16.97, 33.31
2009, 3, 18.58, 14.79, 10.78, 27.37, 41.93, 72.18
2009, 4, 23.61, 19.18, 15.44, 0.4207, 0.6251, 2.512
2009, 5, 25.62, 21.25, 17.85, 0.09351, 0.944, 1.271
2009, 6, 31.74, 27.17, 23.91, 2.52, 10.58, 13.63
2009, 7, 33.04, 27.6, 24.2, 30.53, 72.95, 87.4
2009, 8, 32.8, 27.22, 23.79, 73, 128, 158.6
2009, 9, 28.51, 24.01, 20.4, 27.59, 55.29, 76.64
2009, 10, 24.53, 20.88, 17.1, 22.06, 38.26, 47.69
2009, 11, 15, 11.94, 7.554, 10.93, 9.461, 22.97
2009, 12, 12.26, 9.336, 4.84, 18.14, 26.16, 43.32
2010, 1, 12.25, 9.625, 5.387, 31.32, 43.16, 85
2010, 2, 17.29, 14.25, 10.29, 4.215, 5.932, 11.41
2010, 3, 16.95, 13.38, 9.495, 4.994, 6.432, 12.46
2010, 4, 20.13, 16.55, 12.86, 0.2801, 0.6111, 1.112
2010, 5, 27.12, 22.66, 19.39, 1.616, 2.305, 8.066
2010, 6, 31.77, 27.26, 23.94, 2.993, 7.091, 9.769
2010, 7, 34.46, 29.54, 26.26, 12.06, 38.73, 38.53
2010, 8, 31.99, 26.61, 23.17, 64.01, 57.54, 87.7
2010, 9, 29, 24.79, 21.38, 21.05, 30.29, 44.16
2010, 10, 25.24, 21.63, 17.72, 1.543, 7.354, 9.993
2010, 11, 18.51, 15.44, 11.1, 50.49, 67.75, 108.6
2010, 12, 12.56, 10.48, 6.045, 3.396, 6.81, 14.36
2011, 1, 12.23, 9.508, 5.173, 8.629, 14.14, 26.08
2011, 2, 15.57, 12.32, 8.295, 52.98, 88.43, 151.7
2011, 3, 16.62, 13.03, 9.046, 29.43, 33.27, 74.27
