# Created by WEAP: 5/10/2021 8:09:20 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_HadGEM2-CC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_NW_Hdw South Platte (246,664 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (171,376 ha),  3000 - 4000 m (73,223 ha),  4000 - 5000 m (2,065 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, -12.16, -13.98, -16.06, 22.6, 75.41, 111.6
2006, 2, -8.734, -10.31, -12.19, 6.371, 25.67, 47.61
2006, 3, -0.1563, -3.58, -6.41, 46.68, 116.6, 178.4
2006, 4, 5.047, 1.495, -1.372, 15.16, 58.63, 99.73
2006, 5, 8.383, 4.902, 2.007, 42.57, 78.3, 100.6
2006, 6, 12.95, 9.686, 6.91, 28.58, 31.7, 38.59
2006, 7, 17.5, 14.19, 11.47, 63.23, 65.16, 60.99
2006, 8, 15.84, 12.57, 9.816, 51.75, 49.03, 49.05
2006, 9, 11.65, 8.224, 5.49, 68.38, 105.7, 133.8
2006, 10, 7.817, 4.34, 1.6, 6.661, 17.86, 25.53
2006, 11, 0.2679, -2.708, -5.194, 23.05, 56.55, 83.91
2006, 12, -7.158, -9.467, -11.68, 17.18, 55.02, 86.64
2007, 1, -2.739, -5.822, -8.343, 11.71, 29.73, 48.51
2007, 2, -9.634, -12.2, -14.62, 12.9, 40.26, 68.85
2007, 3, -1.576, -5.153, -7.939, 16.09, 54.49, 96.77
2007, 4, 1.693, -1.567, -4.223, 32.05, 68.9, 96.25
2007, 5, 9.355, 5.619, 2.53, 39.81, 76.64, 116.7
2007, 6, 14.34, 11.15, 8.433, 10.7, 18.72, 25.64
2007, 7, 18.6, 15.75, 13.41, 53.28, 40.4, 34.65
2007, 8, 15.01, 11.75, 8.952, 73.12, 63.61, 57.18
2007, 9, 12.77, 9.698, 7.188, 28.91, 52.74, 73.38
2007, 10, 8.243, 4.888, 2.18, 5.734, 21.32, 33.34
2007, 11, -1.249, -4.209, -6.777, 59.38, 136.2, 183.2
2007, 12, -12.12, -13.39, -15.3, 18.78, 59.62, 93.45
2008, 1, -7.505, -9.598, -11.73, 15.18, 49.7, 83.58
2008, 2, -7.956, -10.23, -12.61, 11.31, 26.07, 38.88
2008, 3, -0.6388, -4.571, -7.59, 4.824, 33.56, 55.9
2008, 4, 3.778, -0.02035, -3.006, 34.55, 57.15, 75.11
2008, 5, 6.388, 3.006, 0.1482, 36.79, 58, 74.68
2008, 6, 13.36, 9.877, 6.943, 44.24, 53.65, 62.39
2008, 7, 17.59, 14.18, 11.49, 38.88, 43.28, 43.26
2008, 8, 15.21, 11.66, 8.701, 45.91, 64.11, 79.89
2008, 9, 10.99, 7.56, 4.797, 48.76, 92.75, 129
2008, 10, 6.845, 3.282, 0.6008, 11.86, 31.65, 47.71
2008, 11, 1.262, -1.542, -4.036, 16.64, 39.68, 53.25
2008, 12, -8.533, -10.1, -11.9, 13.45, 66.87, 120.4
2009, 1, -6.365, -7.931, -9.653, 8.575, 32.77, 57.21
2009, 2, -3.718, -6.765, -9.32, 15.96, 52.54, 79.42
2009, 3, -0.5739, -3.749, -6.46, 18.04, 67.13, 118.4
2009, 4, 2.093, -1.515, -4.503, 65.35, 107.3, 139.4
2009, 5, 8.202, 4.463, 1.468, 31.01, 46.81, 65.71
2009, 6, 13.51, 10.18, 7.409, 38.71, 46.73, 60.84
2009, 7, 14.45, 11.15, 8.316, 93.17, 78.42, 67.65
2009, 8, 15.76, 12.58, 9.95, 32.39, 41.64, 51.51
2009, 9, 10.68, 7.212, 4.419, 33.5, 58.45, 73.6
2009, 10, 5.122, 1.897, -0.8883, 23.34, 40.82, 51.42
2009, 11, -4.912, -7.597, -10, 40.43, 95.3, 128.9
2009, 12, -5.082, -7.88, -10.12, 10.12, 25.22, 42.88
2010, 1, -6.135, -8.828, -11.25, 11.67, 42.54, 69.82
2010, 2, -1.647, -4.77, -7.313, 6.624, 24.02, 40.86
2010, 3, -2.398, -5.965, -8.734, 33.49, 106, 175.3
2010, 4, 2.271, -1.387, -4.23, 21.67, 75.74, 118
2010, 5, 9.269, 5.784, 2.763, 25.35, 38.32, 47.82
2010, 6, 14.25, 11.16, 8.527, 12.5, 17.75, 22.95
2010, 7, 17.44, 14.14, 11.44, 31.93, 35.02, 34.64
2010, 8, 16.4, 13.12, 10.31, 42.93, 47.71, 50.68
2010, 9, 13.04, 9.615, 6.804, 9.872, 15.15, 21.69
2010, 10, 7.811, 4.422, 1.578, 4.498, 12.6, 22.59
2010, 11, 1.496, -1.269, -3.586, 8.534, 25.23, 43.81
2010, 12, -5.228, -7.509, -9.6, 11.13, 39.95, 62.35
2011, 1, -9.174, -11.23, -13.32, 12.28, 40.33, 65.94
2011, 2, -3.929, -6.501, -8.749, 10.18, 43.43, 79.99
2011, 3, -2.056, -5.279, -8.036, 39.36, 103.1, 155.9
2011, 4, 4.682, 1.333, -1.51, 25.89, 58.62, 89.4
2011, 5, 9.447, 5.789, 2.627, 63.98, 95.66, 112.2
2011, 6, 11.13, 7.725, 4.836, 54.63, 79.44, 99.37
2011, 7, 16.47, 13.01, 10.11, 116, 118.8, 110.7
2011, 8, 15.91, 12.35, 9.492, 73.67, 84.05, 86.28
2011, 9, 9.424, 5.692, 2.734, 71.46, 98.3, 103.3
2011, 10, 6.575, 3.233, 0.4683, 25.3, 36.73, 45.76
2011, 11, -0.5486, -2.94, -5.222, 16.23, 46.01, 74.68
2011, 12, -2.999, -5.093, -6.859, 16.43, 26.02, 34.95
2012, 1, -7.588, -9.71, -11.88, 32.2, 106.9, 171
2012, 2, -7.284, -9.585, -11.78, 11.51, 41.57, 70.55
2012, 3, 2.088, -1.385, -4.08, 12.14, 41.76, 64.96
2012, 4, 3.213, -0.09979, -2.866, 29.91, 82.42, 128.6
2012, 5, 8.683, 4.79, 1.625, 25.81, 44.82, 60.4
2012, 6, 13.44, 10.09, 7.228, 46.3, 79.59, 114.3
2012, 7, 15.41, 12.21, 9.523, 55.5, 49.47, 43.75
2012, 8, 15.71, 12.55, 9.972, 51.74, 53.98, 52.23
2012, 9, 14.31, 10.97, 8.246, 29.61, 62.65, 84.12
2012, 10, 9.045, 5.758, 2.999, 10.36, 27.77, 43.14
2012, 11, -0.01671, -3.073, -5.452, 11.45, 45.42, 70.88
2012, 12, -2.131, -4.296, -6.217, 7.436, 28.61, 49.81
2013, 1, -7.792, -10.08, -12.4, 19.46, 104.9, 187.8
2013, 2, 0.6443, -2.548, -5.133, 5.868, 25.57, 44.24
2013, 3, 2.055, -1.476, -4.27, 38.67, 115.8, 180.3
2013, 4, 5.154, 1.148, -1.934, 28.83, 80.36, 114.9
2013, 5, 8.168, 4.434, 1.421, 18.16, 37.21, 51.26
2013, 6, 14.11, 10.67, 7.874, 16.36, 23.83, 29.34
2013, 7, 17.35, 13.84, 10.94, 103.8, 109.3, 103.7
2013, 8, 16.32, 13.01, 10.27, 29.72, 25.85, 24.7
2013, 9, 12.95, 9.763, 7.215, 17.9, 31.65, 43.01
2013, 10, 8.414, 4.9, 2.134, 20.82, 34.09, 35.89
2013, 11, -1.259, -4.127, -6.544, 14.04, 28.81, 32.52
2013, 12, -6.299, -8.53, -10.41, 15.91, 45.17, 75.56
2014, 1, -4.258, -6.702, -8.839, 5.521, 19.59, 34.1
2014, 2, -3.316, -6.274, -8.726, 13.47, 47.07, 78.4
2014, 3, 0.03694, -3.29, -6.157, 10.34, 41.37, 73.32
2014, 4, 2.503, -1.551, -4.564, 18.67, 64.82, 115.5
2014, 5, 10.47, 6.344, 3.124, 28.9, 46.29, 63.36
2014, 6, 14.84, 11.54, 8.866, 10.26, 14.72, 20
2014, 7, 18.2, 14.91, 12.22, 47.99, 52.5, 55.46
2014, 8, 16.19, 12.63, 9.864, 88.16, 80.05, 74.05
2014, 9, 14.09, 10.68, 7.884, 17.99, 35.31, 51.96
2014, 10, 10.29, 7.228, 4.683, 0.7736, 3.336, 6.969
2014, 11, 1.177, -1.578, -3.834, 25.14, 60.41, 86.51
2014, 12, -2.597, -4.86, -6.994, 9.477, 40.82, 75.58
2015, 1, -4.809, -7.366, -9.83, 22.09, 87.12, 148.5
2015, 2, -0.3345, -3.576, -6.285, 14.51, 55.71, 95.04
2015, 3, 0.2826, -3.402, -6.319, 7.904, 23.87, 44.88
2015, 4, 5.045, 0.9991, -2.144, 8.456, 37.06, 61.08
2015, 5, 9.843, 6.237, 3.298, 22.51, 39.88, 52.94
2015, 6, 15.34, 12.14, 9.568, 17.52, 31.68, 44.16
2015, 7, 18.58, 15.33, 12.56, 42.68, 42.02, 40.81
2015, 8, 17.23, 13.91, 11.21, 62.26, 73.83, 81.15
2015, 9, 11.86, 8.287, 5.519, 32.61, 48.48, 67.05
2015, 10, 6.609, 2.98, 0.1349, 36.53, 69.8, 93.75
2015, 11, 0.1839, -2.426, -4.655, 15.71, 36.84, 55.75
2015, 12, -4.11, -6.98, -9.067, 15.43, 46.98, 80.67
2016, 1, -1.926, -4.907, -7.297, 3.381, 13.88, 27.55
2016, 2, -4.872, -7.421, -9.571, 21.39, 57.21, 87.86
2016, 3, -4.982, -7.892, -10.5, 27.92, 73.18, 110.9
2016, 4, 2.94, -0.6365, -3.37, 26.58, 64.14, 90.49
2016, 5, 11.46, 7.691, 4.538, 14.52, 29.12, 43.52
2016, 6, 13.97, 10.74, 7.919, 36.86, 53.07, 67.58
2016, 7, 16.72, 13.25, 10.37, 96.45, 97.66, 97.55
2016, 8, 16.44, 13.06, 10.14, 41.21, 47.25, 52.85
2016, 9, 13.11, 9.483, 6.7, 29.6, 62.38, 81.24
2016, 10, 9.022, 5.685, 2.98, 11.03, 25.45, 35.19
2016, 11, -1.327, -4.052, -6.447, 48.1, 86.83, 105.8
2016, 12, -2.369, -4.627, -6.712, 19.68, 44.69, 65.46
2017, 1, -9.589, -11.25, -13.35, 17.16, 48.25, 78.27
2017, 2, -9.078, -11.35, -13.51, 12.46, 56.92, 95.59
2017, 3, -2.28, -5.689, -8.518, 7.556, 31.81, 54.36
2017, 4, 4.199, 1.015, -1.5, 22.49, 44.28, 72.3
2017, 5, 11.25, 7.545, 4.537, 19.95, 34.52, 41.57
2017, 6, 14.95, 11.73, 9.028, 26.45, 36.28, 48.4
2017, 7, 19.55, 15.99, 13.24, 13.5, 16.93, 16.83
2017, 8, 17.71, 14.23, 11.34, 58.64, 57.71, 52.74
2017, 9, 14.64, 11.2, 8.468, 13.06, 22.07, 28.67
2017, 10, 7.103, 3.127, -0.03742, 40.87, 61.48, 79.54
2017, 11, -1.778, -4.53, -6.989, 15.25, 36.99, 54.09
2017, 12, -5.065, -7.329, -9.332, 22.31, 56.99, 83.64
2018, 1, -3.882, -6.695, -9.208, 5.092, 19.35, 34.74
2018, 2, -6.138, -9.413, -12.07, 6.156, 34.6, 59.18
2018, 3, 1.524, -2.373, -5.482, 7.098, 27.46, 46.22
2018, 4, 3.041, -0.8117, -3.96, 50.33, 86.96, 116
2018, 5, 11.72, 8.037, 5.166, 8.994, 21.02, 30.51
2018, 6, 17.73, 14.28, 11.56, 8.044, 13.39, 14.94
2018, 7, 18.58, 15.37, 12.77, 70.33, 63.59, 55.31
2018, 8, 17.55, 14.28, 11.45, 38.65, 43.53, 46.5
2018, 9, 14.19, 10.69, 7.808, 32.28, 52.47, 66.19
2018, 10, 7.432, 4.094, 1.385, 6.441, 13.05, 16.84
2018, 11, 3.762, 1.176, -0.9513, 13.74, 34.74, 51.58
2018, 12, -4.133, -6.705, -8.939, 12.11, 47.07, 83.06
2019, 1, -0.4426, -4.304, -7.545, 12.54, 51.77, 93.12
2019, 2, -7.168, -10.53, -13.21, 9.432, 51.67, 91.08
2019, 3, 1.318, -2.589, -5.522, 4.275, 22.95, 37.3
2019, 4, 7.609, 4.222, 1.616, 16.75, 29.14, 42.27
2019, 5, 9.61, 5.559, 2.264, 14.95, 30.66, 46.67
2019, 6, 16.74, 13.58, 10.91, 17.83, 25.05, 34.36
2019, 7, 19.48, 15.92, 13.18, 26.31, 31.93, 33.49
2019, 8, 17.77, 14.14, 11.23, 103.6, 110.3, 102.1
2019, 9, 13.42, 10.08, 7.362, 28.08, 44.41, 57.43
2019, 10, 8.83, 5.481, 2.77, 8.017, 27.85, 41.94
2019, 11, -0.6961, -3.838, -6.476, 19.82, 77.82, 131.7
2019, 12, -5.028, -7.222, -9.206, 23.11, 53.97, 84.05
2020, 1, -9.578, -11.02, -13.03, 6.813, 33.9, 60.46
2020, 2, -9.284, -11.87, -14.34, 17.43, 69.05, 122.3
2020, 3, -0.1018, -3.436, -6.143, 5.702, 31.9, 56.04
2020, 4, 1.665, -2.207, -5.011, 5.227, 24.78, 43.62
2020, 5, 12.23, 8.654, 5.66, 8.15, 22.51, 36.73
2020, 6, 14.48, 10.94, 8.041, 42.87, 53.4, 69.42
2020, 7, 18.53, 15.18, 12.5, 53.27, 51.08, 49.18
2020, 8, 18.09, 14.78, 12.09, 48.91, 49.31, 50.88
2020, 9, 13.07, 9.478, 6.703, 35.08, 61.78, 77.37
2020, 10, 10.71, 7.335, 4.607, 3.197, 8.347, 11.33
2020, 11, -2.791, -5.461, -7.755, 19.39, 50.68, 80.7
2020, 12, -3.755, -6.047, -7.958, 4.958, 25.28, 45.25
2021, 1, -7.431, -10.17, -12.54, 10.41, 27.25, 48.18
2021, 2, -2.646, -5.945, -8.465, 5.998, 21.15, 37
2021, 3, -1.885, -5.611, -8.637, 27.04, 70.15, 109.1
2021, 4, 5.361, 1.852, -0.7982, 8.186, 21.16, 37.18
2021, 5, 10.94, 7.101, 4.032, 20.17, 47.54, 73.7
2021, 6, 14.31, 11.15, 8.345, 41.68, 49.8, 65.37
2021, 7, 17.87, 14.57, 11.94, 63.94, 62.44, 59.16
2021, 8, 17.13, 13.66, 10.83, 74.87, 77.64, 75.66
2021, 9, 13, 9.416, 6.618, 30.76, 48.01, 54.23
2021, 10, 6.414, 2.959, 0.2088, 18.85, 56.71, 88.6
2021, 11, -0.9902, -3.553, -6.074, 12.33, 44.71, 70.91
2021, 12, -9.305, -11.1, -12.85, 28.16, 85.28, 128.9
2022, 1, -4.245, -6.202, -8.212, 7.347, 20.41, 34.25
2022, 2, -3.063, -6.46, -9.233, 10.31, 50.81, 93.04
2022, 3, 0.917, -2.418, -4.985, 20.41, 56.76, 79.6
2022, 4, 1.615, -1.761, -4.419, 25.22, 82.88, 136.4
2022, 5, 9.856, 6.279, 3.243, 71.77, 125.2, 165.5
2022, 6, 14.25, 10.96, 8.16, 43.64, 65, 85.52
2022, 7, 19.05, 15.77, 13.29, 26.55, 32.32, 31.52
