# Created by WEAP: 5/10/2021 8:07:11 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_HadGEM2-CC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WY_SE_North Fork Platte (1,252,036 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (982,123 ha),  2000 - 3000 m (269,913 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -5.771, -9.287, 13.08, 29.59
2006, 2, -2.452, -5.68, 12.87, 36.78
2006, 3, 5.444, 1.86, 28.11, 46.04
2006, 4, 9.863, 6.536, 25.08, 51.71
2006, 5, 13.4, 10.01, 49.39, 64.97
2006, 6, 16.5, 13.1, 41.04, 44.45
2006, 7, 23.31, 20.08, 24.06, 29.88
2006, 8, 22.32, 18.87, 8.488, 11.54
2006, 9, 14.4, 11.4, 55.81, 73.96
2006, 10, 11.46, 8.114, 4.434, 8.818
2006, 11, 3.687, 0.4182, 22.87, 54.5
2006, 12, -2.72, -5.114, 20.77, 43.99
2007, 1, 0.6854, -2.711, 7.148, 15.92
2007, 2, -5.671, -8.742, 4.48, 11.53
2007, 3, 5.358, 1.871, 28.62, 62.62
2007, 4, 6.578, 3.239, 45.09, 86.03
2007, 5, 14.31, 10.98, 81.4, 119.8
2007, 6, 18.84, 15.33, 78.95, 98.23
2007, 7, 23.5, 20, 24.16, 22.96
2007, 8, 20.56, 17.16, 44.4, 50.68
2007, 9, 15.35, 12.14, 20.17, 26.68
2007, 10, 11.28, 7.95, 15.14, 20.51
2007, 11, -0.6824, -4.007, 24.27, 48.42
2007, 12, -8.71, -11.95, 14.33, 35.54
2008, 1, -2.025, -5.153, 5.698, 14.1
2008, 2, -1.04, -4.497, 7.841, 12.95
2008, 3, 3.506, 0.8024, 25.63, 59.08
2008, 4, 9.128, 5.715, 12.81, 17.37
2008, 5, 12.16, 8.904, 40.06, 47.61
2008, 6, 18.89, 15.42, 35.85, 52.24
2008, 7, 24.29, 20.63, 32.59, 34.8
2008, 8, 23.39, 19.41, 26.49, 55.05
2008, 9, 15.91, 12.63, 14.59, 23.31
2008, 10, 12.28, 8.869, 27.35, 46.82
2008, 11, 5.397, 2.014, 21.31, 40.31
2008, 12, -4.962, -8.147, 9.268, 22.74
2009, 1, -1.027, -4.509, 3.028, 5.514
2009, 2, -0.6403, -3.88, 20.36, 49.48
2009, 3, 2.002, -1.332, 37.16, 63.2
2009, 4, 6.234, 2.784, 103.9, 144.5
2009, 5, 13.5, 10.21, 47.22, 67.73
2009, 6, 18.12, 14.76, 45.47, 62.56
2009, 7, 21.57, 17.87, 20.74, 24.41
2009, 8, 23.12, 19.33, 38.8, 40.4
2009, 9, 17.84, 14.42, 37.5, 55.69
2009, 10, 7.483, 4.324, 19.23, 31.87
2009, 11, -3.073, -5.851, 31.14, 53.68
2009, 12, -4.082, -7.013, 9.867, 27.35
2010, 1, -5.4, -8.032, 8.972, 19.85
2010, 2, 2.834, -0.7405, 16.58, 39.89
2010, 3, 2.402, -0.6496, 27.75, 58.22
2010, 4, 6.123, 2.855, 60.32, 79.85
2010, 5, 15.39, 12.24, 24.01, 27.39
2010, 6, 18.12, 14.93, 73.41, 81.37
2010, 7, 21.96, 18.55, 35.38, 41.21
2010, 8, 22.63, 18.96, 43.96, 51.29
2010, 9, 17.1, 13.82, 11.66, 15.39
2010, 10, 9.688, 6.596, 27.1, 44.22
2010, 11, 4.704, 1.462, 15.11, 35.98
