# Created by WEAP: 5/10/2021 8:08:43 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_HadGEM2-CC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Pit River (273,146 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (160,042 ha),  1000 - 2000 m (103,687 ha),  2000 - 3000 m (8,514 ha),  3000 - 4000 m (888 ha),  4000 - 5000 m (16 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, 4.573, 0.2995, -5.46, -12.44, -12.44, 38.93, 32.61, 24.93, 31.56, 31.56
2006, 2, 9.942, 5.345, -0.7076, -7.673, -7.673, 8.529, 7.548, 6.79, 8.098, 8.098
2006, 3, 13.23, 8.807, 3.116, -3.726, -3.726, 80.76, 60.58, 40.25, 51.69, 51.69
2006, 4, 13.23, 8.918, 3.262, -3.583, -3.583, 216, 195.6, 190.6, 273.2, 273.2
2006, 5, 20.74, 16.38, 10.61, 3.627, 3.627, 3.23, 1.597, 1.046, 1.644, 1.644
2006, 6, 23, 18.04, 12.02, 5.055, 5.055, 1.175, 2.297, 1.803, 1.717, 1.717
2006, 7, 26.15, 21.48, 15.68, 8.67, 8.67, 0.4228, 0.4078, 0.549, 1.055, 1.055
2006, 8, 26.77, 22.05, 16.29, 9.404, 9.404, 5.458, 8.655, 11.25, 18.16, 18.16
2006, 9, 19.31, 14.61, 8.829, 1.845, 1.845, 16.59, 19.46, 16.31, 23.13, 23.13
2006, 10, 16.57, 12.04, 6.058, -0.859, -0.859, 49.7, 44.11, 30.91, 34.21, 34.21
2006, 11, 13.28, 8.576, 2.583, -4.249, -4.249, 34.16, 27.05, 23.92, 31.39, 31.39
2006, 12, 5.816, 1.449, -4.22, -10.99, -10.99, 544.5, 516.4, 467, 570.3, 570.3
2007, 1, 6.001, 2.563, -2.549, -9.358, -9.358, 626.3, 553.5, 426.6, 512, 512
2007, 2, 4.52, 0.1086, -5.659, -12.57, -12.57, 230.7, 211.4, 185.5, 238.5, 238.5
2007, 3, 8.186, 4.117, -1.359, -8.259, -8.259, 484.2, 480.9, 464.8, 649.4, 649.4
2007, 4, 13.45, 9.534, 4.123, -2.601, -2.601, 127.6, 105.9, 104.2, 154, 154
2007, 5, 17.43, 13.22, 7.65, 0.7818, 0.7818, 74.12, 77.49, 79.72, 120.5, 120.5
2007, 6, 20.84, 16.17, 10.28, 3.362, 3.362, 2.624, 4.63, 5.055, 6.12, 6.12
2007, 7, 26.61, 21.92, 16.16, 9.248, 9.248, 0.4302, 0.3562, 0.1295, 0.1303, 0.1303
2007, 8, 24, 19.51, 13.67, 6.731, 6.731, 15.93, 10.3, 12.87, 23.52, 23.52
2007, 9, 20.48, 15.83, 10.11, 3.102, 3.102, 5.423, 5.365, 5.413, 8.409, 8.409
2007, 10, 17.57, 12.96, 6.883, 0.02578, 0.02578, 29.71, 28.53, 20.31, 27.12, 27.12
2007, 11, 8.687, 4.062, -2.002, -8.969, -8.969, 23.85, 21.84, 22.69, 29.6, 29.6
2007, 12, 6.853, 1.78, -4.47, -11.33, -11.33, 27.88, 27.71, 22.48, 27.03, 27.03
2008, 1, 3.024, -0.437, -5.767, -12.71, -12.71, 898.7, 816.3, 681.8, 856.1, 856.1
2008, 2, 3.774, -0.3104, -5.821, -12.7, -12.7, 341.9, 299.8, 239.7, 300.5, 300.5
2008, 3, 7.786, 3.576, -2.038, -9.01, -9.01, 333.8, 333.3, 322.3, 432, 432
2008, 4, 12.41, 8.192, 2.528, -4.425, -4.425, 96.25, 90.66, 78.29, 110.1, 110.1
2008, 5, 19.23, 15.11, 9.424, 2.433, 2.433, 26.31, 23.33, 26.2, 43.58, 43.58
2008, 6, 25.02, 20.48, 14.78, 7.842, 7.842, 1.1, 1.464, 0.9741, 1.289, 1.289
2008, 7, 24.15, 19.8, 14.18, 7.257, 7.257, 1.152, 0.9251, 0.8247, 1.775, 1.775
2008, 8, 22.74, 18.06, 12.27, 5.323, 5.323, 0.8357, 2.826, 4.19, 4.605, 4.605
2008, 9, 24.58, 19.83, 14.07, 7.133, 7.133, 7.674, 7.274, 5.543, 7.752, 7.752
2008, 10, 15.79, 11.48, 5.726, -1.136, -1.136, 66.08, 65.36, 50.38, 63.57, 63.57
2008, 11, 12, 7.426, 1.473, -5.476, -5.476, 22.64, 35.89, 25.87, 27.35, 27.35
2008, 12, 6.434, 2.137, -3.741, -10.61, -10.61, 387.7, 334.2, 278.9, 335.6, 335.6
2009, 1, 4.777, 1.129, -4.093, -11.02, -11.02, 605.3, 504.8, 390, 466.2, 466.2
2009, 2, 9.591, 5.672, 0.1089, -6.805, -6.805, 346.1, 347.1, 303.5, 388.6, 388.6
2009, 3, 13.38, 9.394, 3.856, -2.981, -2.981, 112.7, 103.3, 102.6, 142.6, 142.6
2009, 4, 14.12, 9.795, 4.104, -2.767, -2.767, 138.5, 134.1, 111.1, 156.9, 156.9
2009, 5, 18.87, 14.61, 8.931, 1.998, 1.998, 65.3, 58.3, 47.1, 59.83, 59.83
2009, 6, 21.15, 16.44, 10.64, 3.676, 3.676, 35.75, 31.3, 37.34, 55.67, 55.67
2009, 7, 26.05, 21.56, 15.79, 8.794, 8.794, 1.051, 1.66, 0.6591, 0.4692, 0.4692
2009, 8, 26.56, 22.14, 16.55, 9.729, 9.729, 17.74, 31.59, 44.34, 66.2, 66.2
2009, 9, 19.01, 14.59, 9.007, 2.093, 2.093, 133.9, 134.2, 121.2, 156.1, 156.1
2009, 10, 17.25, 12.62, 6.509, -0.4981, -0.4981, 28.59, 36.32, 38.22, 50.44, 50.44
2009, 11, 7.232, 3.199, -2.452, -9.317, -9.317, 356.7, 316.4, 254.1, 326.1, 326.1
2009, 12, 6.956, 2.818, -2.825, -9.581, -9.581, 319.9, 278, 205.3, 244.9, 244.9
2010, 1, 5.831, 2.189, -3.14, -10.13, -10.13, 653.4, 602.7, 497, 613.6, 613.6
2010, 2, 9.079, 5.119, -0.3688, -7.217, -7.217, 283.9, 260.5, 223.8, 285.3, 285.3
2010, 3, 8.633, 4.31, -1.355, -8.274, -8.274, 185.6, 158.6, 139.9, 197.6, 197.6
2010, 4, 9.709, 5.628, 0.1562, -6.644, -6.644, 77.26, 70.48, 64.75, 96.05, 96.05
2010, 5, 18.34, 13.88, 8.085, 1.188, 1.188, 12.7, 16.13, 22.27, 34.81, 34.81
2010, 6, 22.73, 17.94, 11.88, 4.915, 4.915, 7.894, 7.84, 7.1, 10.21, 10.21
2010, 7, 27.17, 22.5, 16.77, 9.761, 9.761, 0.7534, 0.9957, 0.5512, 0.5686, 0.5686
2010, 8, 21.71, 17.07, 11.31, 4.335, 4.335, 20.34, 17.19, 20.76, 37, 37
2010, 9, 20.79, 16.24, 10.5, 3.557, 3.557, 23.7, 17.27, 11.95, 17.41, 17.41
2010, 10, 17.38, 12.76, 6.707, -0.289, -0.289, 27.47, 15.43, 9.672, 12.74, 12.74
2010, 11, 9.937, 5.519, -0.2229, -7.119, -7.119, 249.4, 210.1, 183.4, 230.4, 230.4
2010, 12, 4.9, 0.8779, -4.561, -11.38, -11.38, 876.8, 813.1, 723.2, 903.6, 903.6
2011, 1, 2.173, -1.895, -7.488, -14.43, -14.43, 110, 91.77, 69.67, 90.47, 90.47
2011, 2, 6.544, 2.558, -3.156, -10.05, -10.05, 395.4, 336.8, 284.9, 361, 361
2011, 3, 10.04, 5.645, 0.01974, -6.843, -6.843, 108.3, 100.9, 86.24, 119.4, 119.4
2011, 4, 16.04, 11.75, 6.182, -0.5786, -0.5786, 40.68, 38.02, 31.8, 45.37, 45.37
2011, 5, 20.88, 16.72, 11.08, 4.142, 4.142, 3.9, 1.568, 0.5314, 0.3896, 0.3896
2011, 6, 20.59, 16.12, 10.41, 3.5, 3.5, 38.7, 45.49, 38.84, 54.44, 54.44
2011, 7, 25.06, 20.59, 14.92, 7.981, 7.981, 0.8278, 1.793, 3.031, 3.664, 3.664
2011, 8, 26.47, 21.99, 16.15, 9.15, 9.15, 26.21, 25.74, 26.29, 39.08, 39.08
