# Created by WEAP: 5/10/2021 8:07:17 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_HadGEM2-CC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Upr Nisqually (76,281 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (47,338 ha),  1000 - 2000 m (25,455 ha),  2000 - 3000 m (2,311 ha),  3000 - 4000 m (912 ha),  4000 - 5000 m (265 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, 1.971, -0.7095, -10.81, -12.47, -13.03, 335.9, 437.1, 636.3, 631.7, 632
2006, 2, 3.54, 1.271, -8.851, -10.5, -11.07, 238.4, 266.5, 361.9, 359, 357
2006, 3, 6.955, 4.699, -5.415, -7.066, -7.634, 163.1, 180.1, 244.4, 242.9, 240.6
2006, 4, 6.549, 4.28, -6.068, -7.733, -8.275, 220.8, 259, 343, 339.5, 334.4
2006, 5, 11.49, 9.323, -0.9521, -2.613, -3.163, 38.54, 47.1, 59.2, 57.91, 57.09
2006, 6, 12.82, 10.71, 0.2339, -1.436, -1.97, 36.91, 44.56, 47.53, 45.77, 45.42
2006, 7, 16.74, 14.99, 4.951, 3.295, 2.766, 17.3, 21.56, 25.1, 23.93, 24
2006, 8, 17.62, 16.08, 6.592, 4.973, 4.388, 47.29, 49.59, 49.62, 48.53, 47.54
2006, 9, 13.83, 11.75, 1.659, 0.001542, -0.5476, 54.89, 76.19, 90.63, 88.15, 86.66
2006, 10, 9.718, 7.84, -1.946, -3.588, -4.159, 112.3, 142, 182.7, 178.8, 176.6
2006, 11, 5.854, 3.738, -6.039, -7.695, -8.265, 292.9, 382, 548.5, 543.3, 541
2006, 12, -1.646, -3.725, -13.4, -15.04, -15.63, 250.6, 313.2, 441, 436.5, 434.7
2007, 1, 2.267, -0.3234, -10.36, -12.03, -12.57, 551.1, 682.7, 988.6, 982, 976.1
2007, 2, 0.927, -1.776, -12.27, -13.95, -14.49, 321, 386.5, 542, 539, 532.1
2007, 3, 2.647, 0.2717, -10.12, -11.79, -12.33, 322.1, 355.7, 477.5, 475.6, 470.4
2007, 4, 9.252, 7.091, -3.148, -4.814, -5.357, 68.57, 72.2, 100.9, 100.7, 98.63
2007, 5, 12.96, 10.76, 0.485, -1.186, -1.71, 81.6, 89.09, 107, 104.7, 102.9
2007, 6, 12.4, 10.35, 0.0274, -1.635, -2.179, 38.58, 41.32, 39.2, 37.87, 37.4
2007, 7, 18.07, 16.49, 6.737, 5.099, 4.54, 16.61, 18.15, 24.99, 24.46, 24.01
2007, 8, 16.92, 15.14, 5.297, 3.654, 3.086, 41.96, 54.2, 71.61, 70.36, 68.78
2007, 9, 13.78, 11.89, 1.769, 0.1104, -0.4301, 98.67, 117.5, 140.3, 136.4, 134.2
2007, 10, 8.492, 6.559, -3.514, -5.167, -5.722, 182.5, 227, 290.4, 283.7, 281
2007, 11, 2.578, 0.298, -9.823, -11.49, -12.04, 289.4, 369.8, 517.5, 513.1, 510.7
2007, 12, -0.1659, -2.122, -11.27, -12.88, -13.47, 281, 345.6, 502.9, 500.1, 499.1
2008, 1, 0.1944, -2.335, -12.4, -14.06, -14.63, 303, 341.8, 469.3, 465.8, 462.2
2008, 2, 0.9737, -1.321, -11.4, -13.05, -13.61, 357.5, 421.1, 579.2, 576.4, 569.7
2008, 3, 1.425, -0.996, -11.38, -13.07, -13.59, 200.4, 228.5, 325.5, 323.6, 319.5
2008, 4, 4.285, 1.777, -9.069, -10.75, -11.27, 253.1, 276.4, 342.3, 339.5, 334.6
2008, 5, 11.51, 9.431, -0.8392, -2.506, -3.051, 71.01, 77.56, 87.28, 86.07, 85.08
2008, 6, 15.07, 13.23, 2.994, 1.337, 0.7995, 4.917, 5.38, 5.963, 5.812, 5.612
