# Created by WEAP: 5/10/2021 8:07:52 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_HadGEM2-CC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_IID_Salton Sea (1,439,473 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,292,871 ha),  1000 - 2000 m (146,117 ha),  2000 - 3000 m (484 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 12.28, 6.897, 1.343, 1.041, 5.195, 3.727
2006, 2, 18.39, 12.37, 8.146, 0.3952, 3.623, 1.075
2006, 3, 19.58, 11.54, 8.683, 17.09, 86.62, 136.4
2006, 4, 24.98, 16.7, 13.8, 0.183, 1.872, 3.809
2006, 5, 27.4, 19.03, 16.12, 0.1378, 1.789, 3.438
2006, 6, 30.85, 22.56, 19.38, 0.02332, 0.1162, 0.014
2006, 7, 34.17, 25.61, 21.94, 0.4456, 4.004, 3.081
2006, 8, 34.52, 26.12, 22.82, 1.987, 6.666, 1.929
2006, 9, 29.41, 21.14, 17.56, 7.756, 3.283, 0
2006, 10, 24.97, 17.25, 13.43, 1.472, 8.214, 4.769
2006, 11, 20.76, 14.61, 9.958, 4.653, 14.03, 73.53
2006, 12, 14.01, 8.909, 2.92, 9.613, 39.55, 73.18
2007, 1, 14.75, 8.904, 4.097, 9.954, 66.28, 128.1
2007, 2, 13.31, 6.706, 1.691, 3.636, 24.1, 24.16
2007, 3, 18.77, 11.12, 7.418, 1.198, 14.33, 25.23
