# Created by WEAP: 5/10/2021 8:08:02 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_HadGEM2-CC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CAN_BC_Upr Priest (162,060 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (50,148 ha),  1000 - 2000 m (110,665 ha),  2000 - 3000 m (1,247 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -6.225, -9.367, -11.59, 127.2, 177, 240.9
2006, 2, -2.321, -5.415, -7.706, 80.3, 127.2, 178.2
2006, 3, 4.723, 1.76, -0.4589, 24.2, 44.36, 60.47
2006, 4, 7.451, 4.518, 2.345, 79.07, 119.8, 164.5
2006, 5, 12.84, 9.992, 7.799, 27.49, 35.22, 47.57
2006, 6, 13.97, 10.97, 8.718, 36.27, 50.6, 69.6
2006, 7, 19.41, 16.38, 14.03, 20.6, 26.55, 33.58
2006, 8, 20.59, 17.77, 15.43, 12.53, 18.53, 22.3
2006, 9, 12.53, 9.559, 7.233, 16.94, 25.39, 33.55
2006, 10, 7.632, 4.674, 2.388, 23.75, 36.26, 47.58
2006, 11, 2.551, -0.3157, -2.515, 126.7, 182.8, 240.4
2006, 12, -7.257, -10.35, -12.61, 109.4, 157.5, 207.5
2007, 1, -1.22, -4.309, -6.499, 265.6, 387.1, 537.2
2007, 2, -3.839, -6.846, -9.2, 115, 169.6, 233.8
2007, 3, 0.6139, -2.42, -4.608, 95.9, 141.8, 197.1
2007, 4, 10.69, 7.75, 5.53, 13.17, 21.45, 28.83
2007, 5, 14.64, 11.81, 9.633, 79.88, 110.6, 147.2
2007, 6, 14.85, 11.8, 9.639, 49.12, 65.95, 88.93
2007, 7, 19.88, 16.94, 14.63, 25.8, 36.23, 46.85
2007, 8, 17.41, 14.51, 12.18, 105.8, 111.4, 125.2
2007, 9, 12.38, 9.376, 7.007, 45.97, 61.14, 76.41
2007, 10, 7.366, 4.294, 2.029, 105.5, 147.7, 192.8
2007, 11, -1.583, -4.579, -6.816, 112.7, 151.4, 199.9
2007, 12, -7.686, -10.75, -12.84, 73.49, 104.4, 140.9
2008, 1, -5.132, -8.283, -10.47, 109, 158.5, 218.2
2008, 2, -3.572, -6.693, -8.857, 176.9, 263.2, 367.2
2008, 3, 0.3462, -2.667, -4.84, 98.23, 149, 218.7
2008, 4, 3.934, 1.16, -0.8636, 95.07, 141, 194.3
2008, 5, 12.73, 9.841, 7.64, 36.34, 52.93, 62.46
2008, 6, 15.96, 13.01, 10.87, 20.95, 29.96, 38.68
2008, 7, 19.41, 16.3, 14.02, 52.56, 64.99, 83
2008, 8, 18.3, 15.44, 13.28, 5.924, 8.957, 8.943
2008, 9, 15.04, 12.21, 9.836, 13.47, 20.57, 23.45
2008, 10, 8.63, 5.548, 3.31, 134.6, 191.9, 251.9
2008, 11, 1.64, -1.273, -3.439, 50.44, 77.63, 101.5
2008, 12, -3.633, -6.703, -8.92, 131.3, 187.2, 245.4
2009, 1, -2.188, -5.114, -7.293, 60.56, 91.26, 124.4
2009, 2, 0.5384, -2.591, -4.793, 101.6, 156.3, 218.2
2009, 3, 5.906, 2.792, 0.573, 51.48, 82.13, 110.9
2009, 4, 7.893, 5.046, 2.829, 92.39, 132, 174.4
2009, 5, 12.16, 9.203, 6.938, 44.42, 60.07, 77.77
2009, 6, 16.81, 13.77, 11.54, 84.27, 99.98, 136.2
2009, 7, 20.14, 17.16, 14.8, 62.89, 81.73, 102.3
2009, 8, 20.91, 18.03, 15.75, 42.57, 44.36, 56.92
2009, 9, 14.07, 11.14, 8.925, 54.72, 79.48, 93.86
2009, 10, 6.26, 3.242, 0.9636, 65.15, 97.9, 131.8
2009, 11, -2.467, -5.345, -7.661, 91.39, 123.9, 170.2
2009, 12, -3.93, -6.904, -9.161, 149.6, 216.7, 286.4
2010, 1, -5.151, -8.42, -10.74, 186, 254.5, 355.1
2010, 2, 1.577, -1.62, -3.729, 114.9, 170.5, 233.2
2010, 3, 2.411, -0.4812, -2.704, 65.23, 99.49, 134.2
2010, 4, 5.47, 2.645, 0.4806, 45.96, 55.89, 76.3
2010, 5, 9.546, 6.682, 4.509, 50.26, 68.93, 84.84
2010, 6, 13.97, 10.97, 8.687, 76.39, 93.85, 116.8
2010, 7, 19.14, 16.18, 13.9, 7.771, 11.85, 18.05
2010, 8, 16.9, 14, 11.78, 83, 96.05, 115.6
2010, 9, 12.74, 9.819, 7.587, 14.99, 22.44, 25.98
2010, 10, 5.762, 2.79, 0.4865, 23.9, 36.66, 45.33
2010, 11, -0.06495, -3.03, -5.214, 81.3, 119.3, 156.1
2010, 12, -3.734, -6.696, -8.905, 149.8, 222.7, 292.3
2011, 1, -4.991, -7.947, -10.13, 80.44, 116.4, 163.7
