# Created by WEAP: 1/2/2021 12:50:34 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_HadGEM2-ES_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_W_N Santiam (113,197 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (37,645 ha),  1000 - 2000 m (74,435 ha),  2000 - 3000 m (1,117 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, -0.5547, -2.632, -6.358, 219.1, 224.1, 236.1
1950, 2, 3.596, 1.41, -2.435, 365.4, 364.8, 396.4
1950, 3, 3.117, 1.179, -2.37, 196.1, 202, 215.2
1950, 4, 4.782, 2.934, -0.4604, 133.3, 140.2, 153.7
1950, 5, 8.547, 6.791, 3.329, 179.5, 178.3, 189.4
1950, 6, 16.18, 14.6, 11.31, 28.66, 31.3, 32.22
1950, 7, 17.74, 16.36, 13.29, 8.703, 12.17, 16.33
1950, 8, 16.1, 14.53, 11.21, 78.32, 88.56, 108.7
1950, 9, 12.56, 10.56, 6.891, 83.16, 84.51, 95.41
1950, 10, 9.164, 7.416, 4.077, 183.9, 201.5, 224.3
1950, 11, 4.537, 2.5, -1.261, 59.33, 57.92, 57.74
1950, 12, 0.3279, -1.577, -5.164, 305.5, 315.3, 330.2
1951, 1, -1.029, -3.207, -7.101, 450.4, 452.2, 482.1
1951, 2, 1.767, -0.218, -3.883, 361.4, 375.6, 427.6
1951, 3, 3.103, 1.33, -2.01, 196.2, 197.4, 206.3
1951, 4, 8.771, 7.006, 3.625, 17.77, 17.98, 16.57
1951, 5, 13.31, 11.73, 8.438, 67.8, 63.7, 64.72
1951, 6, 14.78, 13.27, 10.16, 100.2, 114.5, 126.9
1951, 7, 16.9, 15.16, 11.75, 11.98, 11.73, 12.63
1951, 8, 18.26, 16.65, 13.35, 44.45, 40.2, 41.49
1951, 9, 13.57, 11.67, 8.101, 51.98, 50.91, 55.47
1951, 10, 8.627, 6.88, 3.484, 269.1, 289, 326.8
1951, 11, 1.34, -0.9412, -4.914, 370.5, 385.7, 414.6
1951, 12, 0.5761, -1.345, -5.037, 262.3, 268.7, 291.7
1952, 1, -2.958, -4.917, -8.645, 244.8, 245.5, 265.7
1952, 2, 1.414, -0.706, -4.675, 248.9, 262.8, 293.3
1952, 3, 4.231, 2.365, -1.179, 237.9, 248.1, 268.6
1952, 4, 3.176, 1.176, -2.347, 302.8, 311.2, 335.5
1952, 5, 6.479, 4.802, 1.456, 133.7, 138.7, 141.9
1952, 6, 15.43, 13.88, 10.65, 67.73, 78.41, 93.22
1952, 7, 16.47, 15.18, 12.05, 4.181, 4.009, 4.198
1952, 8, 17.24, 15.74, 12.59, 27.4, 25.44, 27.02
1952, 9, 17.37, 15.47, 11.97, 40.07, 40.47, 45.66
1952, 10, 5.638, 3.613, -0.09507, 249.8, 252.2, 272.9
1952, 11, 5.711, 3.728, 0.01488, 186.8, 188.2, 199.5
1952, 12, 0.3904, -1.531, -5.17, 362.8, 362.2, 386.1
1953, 1, -0.2422, -2.162, -5.905, 387, 407.4, 450.5
1953, 2, 2.396, 0.3831, -3.319, 288.1, 286.8, 306.9
1953, 3, 3.642, 1.698, -1.957, 144.8, 151.5, 169.7
1953, 4, 8.45, 6.531, 2.97, 85.59, 85.08, 92.46
1953, 5, 11.39, 9.75, 6.458, 327.8, 331.6, 337.2
1953, 6, 12.85, 11.26, 7.978, 153.2, 167.4, 174.1
1953, 7, 16.45, 14.87, 11.71, 26.04, 26.1, 27.8
1953, 8, 18.19, 16.83, 13.79, 18.08, 17.59, 18.61
1953, 9, 17.13, 15.59, 12.25, 20.76, 23.11, 22
1953, 10, 7.71, 5.796, 2.108, 114.3, 110.2, 119.8
1953, 11, 2.402, 0.3602, -3.349, 502.9, 508.8, 527.3
1953, 12, 0.1774, -1.706, -5.524, 472.1, 485.1, 529.1
1954, 1, 0.2858, -1.533, -5.12, 441.9, 444.7, 487.2
1954, 2, 2.026, -0.07539, -3.833, 642.4, 648.8, 715.3
1954, 3, 3.119, 1.243, -2.299, 262.6, 280.4, 314.4
1954, 4, 6.364, 4.516, 1.032, 191.9, 195.3, 207.7
1954, 5, 10.31, 8.465, 4.985, 123.2, 137, 161.2
1954, 6, 12.16, 10.61, 7.347, 58.32, 65.3, 70.53
1954, 7, 16.67, 15.24, 12.1, 1.095, 1.315, 1.695
1954, 8, 15.7, 14.15, 11, 12.63, 15.67, 17.47
1954, 9, 13.21, 11.38, 7.891, 115.1, 120.3, 139.1
1954, 10, 7.047, 5.296, 1.917, 346.5, 343.8, 373.9
1954, 11, 4.084, 2.034, -1.601, 296.8, 296.3, 312.2
1954, 12, 0.9846, -1.124, -4.919, 418.1, 432.5, 467.2
1955, 1, -0.008491, -2, -5.679, 433.2, 435.6, 459.2
1955, 2, 3.971, 2.035, -1.596, 166.7, 165.7, 181.4
1955, 3, 3.927, 2.003, -1.539, 175.3, 168.6, 171
1955, 4, 6.076, 4.255, 0.7616, 155.8, 152.1, 151
1955, 5, 6.061, 4.234, 0.8206, 205.1, 215.5, 233
1955, 6, 13.71, 12.25, 9.097, 14.54, 20.16, 26.07
1955, 7, 15.22, 13.77, 10.6, 18.41, 18.54, 21.41
1955, 8, 18.41, 16.97, 13.86, 20.14, 24.25, 26.97
1955, 9, 13.44, 11.68, 8.221, 51.36, 50.34, 54.77
1955, 10, 8.221, 6.48, 3.005, 229.7, 226.5, 241.9
1955, 11, 1.742, -0.2317, -3.852, 455.3, 466.7, 497.4
1955, 12, 0.6422, -1.27, -4.988, 408.8, 416, 451.4
1956, 1, 1.065, -1.048, -4.817, 262.2, 277, 322.9
1956, 2, 4.952, 3.157, -0.5137, 90.26, 87.69, 84.98
1956, 3, 3.953, 2.063, -1.347, 237.9, 248.7, 274.6
1956, 4, 8.34, 6.346, 2.738, 113.6, 118.9, 137.8
1956, 5, 10.74, 8.924, 5.451, 96.85, 100.4, 109.5
1956, 6, 9.901, 8.208, 4.845, 241.3, 247.2, 258.7
1956, 7, 16.59, 15.03, 11.8, 31.44, 30.03, 33.1
1956, 8, 17.99, 16.41, 13.18, 11.19, 12.72, 14.03
1956, 9, 11.42, 9.626, 6.132, 48.48, 46.26, 50.41
1956, 10, 9.593, 7.819, 4.32, 74.57, 77.87, 89.77
1956, 11, 2.776, 0.6832, -3.173, 218.6, 222.9, 236.4
1956, 12, 1.52, -0.4001, -3.879, 419.1, 433.4, 468.9
1957, 1, -1.272, -3.351, -7.152, 405.4, 411.8, 455.6
1957, 2, 0.9713, -1.067, -4.74, 209.4, 218.6, 244.1
1957, 3, 1.822, -0.1666, -3.756, 115.5, 116, 128.4
1957, 4, 2.99, 1.089, -2.381, 128.8, 131, 134
1957, 5, 7.195, 5.488, 2.117, 87.87, 88.8, 88.47
1957, 6, 14.83, 13.48, 10.36, 39.3, 46.69, 53.59
1957, 7, 17.45, 16.01, 12.92, 12.46, 13.81, 16.06
1957, 8, 16.13, 14.62, 11.45, 29.65, 29.78, 33.93
1957, 9, 12.89, 11.47, 8.406, 121.8, 125.6, 140.9
1957, 10, 6.464, 4.618, 1.116, 114, 111.6, 122.8
1957, 11, 3.092, 1.178, -2.591, 130.9, 136.2, 148.8
1957, 12, 1.598, -0.3237, -3.936, 275.3, 276.9, 299.8
1958, 1, 2.859, 0.7976, -2.998, 474.2, 469.7, 494.1
1958, 2, 0.02227, -2.058, -5.852, 273.4, 279.7, 317.1
1958, 3, 4.472, 2.702, -0.78, 139.3, 134.3, 141.8
1958, 4, 7.558, 5.532, 1.936, 131.5, 131.4, 139.3
1958, 5, 7.91, 6.134, 2.696, 111.8, 117.1, 129.4
1958, 6, 12.7, 11.3, 8.212, 56.11, 60.91, 65.05
1958, 7, 16.92, 15.62, 12.6, 44.78, 49.58, 57.55
1958, 8, 17.17, 15.66, 12.51, 21.26, 20.55, 20.03
1958, 9, 12.47, 10.48, 6.871, 168.2, 170.3, 197.1
1958, 10, 7.629, 5.703, 2.167, 218.7, 228.1, 244.8
1958, 11, 1.623, -0.3506, -4.144, 312.6, 322.8, 338.3
1958, 12, 0.3215, -1.663, -5.231, 357.6, 340.4, 344.6
1959, 1, 0.2944, -1.763, -5.455, 167, 184.9, 219.8
1959, 2, -0.2067, -2.159, -5.791, 320.4, 324.8, 357.4
1959, 3, 2.684, 0.8748, -2.533, 132.3, 132.5, 147.6
1959, 4, 4.077, 2.102, -1.354, 190.2, 189.9, 200.7
1959, 5, 10.03, 8.339, 5.025, 69.02, 70.1, 75.83
1959, 6, 14.27, 13, 9.967, 3.579, 3.893, 4.499
1959, 7, 17.53, 16.07, 12.85, 14.76, 19.13, 23.27
1959, 8, 16.76, 15.17, 11.93, 31.55, 34.91, 41.06
1959, 9, 12.69, 11.13, 7.951, 146.4, 148.4, 160.2
1959, 10, 5.288, 3.299, -0.2979, 168.2, 172.4, 182.9
1959, 11, 2.268, 0.2746, -3.268, 594.6, 607.3, 658.2
1959, 12, -0.6009, -2.57, -6.274, 680.7, 700.2, 741.4
1960, 1, 2.302, 0.277, -3.36, 362.3, 382.9, 423.2
1960, 2, 3.397, 1.46, -2.207, 202.2, 210, 241.9
1960, 3, 3.444, 1.726, -1.509, 285.8, 295.1, 329.2
1960, 4, 5.317, 3.288, -0.247, 187, 192.3, 212.9
1960, 5, 10.32, 8.858, 5.659, 130.3, 137.6, 149
1960, 6, 11.16, 9.506, 6.225, 60.37, 63.34, 64.89
1960, 7, 16.96, 15.42, 12.11, 12.31, 12.76, 14.73
1960, 8, 16.61, 15.03, 11.84, 11.19, 10.34, 10.09
