# Created by WEAP: 1/2/2021 12:53:52 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_HadGEM2-ES_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_W_Upr Umpqua (47,256 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (42,629 ha),  2000 - 3000 m (4,627 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, -4.642, -6.735, 138.7, 139.8
1950, 2, 0.8183, -1.333, 199.7, 203
1950, 3, 0.01623, -2.054, 112.4, 120.2
1950, 4, 2.926, 0.9673, 79.69, 77.4
1950, 5, 7.01, 5.014, 96.8, 90.44
1950, 6, 14.7, 12.57, 41.2, 46.06
1950, 7, 16.53, 14.57, 11.73, 12.62
1950, 8, 14.61, 12.58, 52.52, 45.82
1950, 9, 10.01, 7.97, 47.57, 45.05
1950, 10, 7.722, 5.659, 168.1, 164.1
1950, 11, 2.385, 0.2806, 29.38, 27.97
1950, 12, -2.953, -5.075, 165.4, 170
1951, 1, -3.74, -5.86, 241.7, 246.2
1951, 2, -0.6716, -2.817, 147.4, 143.3
1951, 3, 1.068, -0.9975, 109.4, 113.2
1951, 4, 6.255, 4.234, 27.89, 27.79
1951, 5, 10.38, 8.32, 56.61, 53.1
1951, 6, 12.92, 10.81, 70.55, 64.78
1951, 7, 15.38, 13.25, 0.462, 0.6425
1951, 8, 16.59, 14.42, 11.6, 13.65
1951, 9, 10.64, 8.54, 54.22, 59.94
1951, 10, 6.377, 4.402, 160.1, 163.5
1951, 11, -1.314, -3.4, 208.4, 211.2
1951, 12, -1.785, -3.865, 157.9, 170
1952, 1, -4.522, -6.624, 186.7, 198.9
1952, 2, 0.05865, -1.99, 154.6, 169.9
1952, 3, 1.547, -0.5235, 189.4, 196.7
1952, 4, 0.2592, -1.755, 161.4, 166.8
1952, 5, 4.077, 2.059, 99.41, 95.31
1952, 6, 13.43, 11.39, 83.47, 82.41
1952, 7, 15.36, 13.4, 1.248, 0.5651
1952, 8, 15.23, 13.09, 58.06, 52.53
1952, 9, 15.35, 13.17, 57.77, 52.16
1952, 10, 3.26, 1.334, 137.5, 133.5
1952, 11, 2.256, 0.03381, 98.36, 100.7
1952, 12, -2.156, -4.266, 232.2, 240.5
1953, 1, -1.943, -4.187, 264.2, 274.1
1953, 2, 0.7125, -1.322, 180.8, 182.5
1953, 3, 1.079, -0.9475, 88.37, 88.62
1953, 4, 6.001, 4.037, 77.05, 81.76
1953, 5, 8.347, 6.276, 274.5, 265.5
1953, 6, 11.02, 8.94, 119, 121.4
1953, 7, 15.58, 13.5, 19.86, 21.28
1953, 8, 17.67, 15.55, 62.68, 57.03
1953, 9, 16.09, 13.98, 17.09, 14.49
1953, 10, 5.881, 3.969, 50.28, 50.77
1953, 11, -1.254, -3.366, 358.5, 365.8
1953, 12, -0.2845, -2.339, 360.2, 376.3
1954, 1, -1.989, -4.084, 254.2, 276
1954, 2, 0.2306, -1.862, 491.8, 516.3
1954, 3, 0.7915, -1.265, 240.6, 253.4
1954, 4, 3.759, 1.715, 108.3, 106.8
1954, 5, 7.456, 5.27, 126.2, 120.3
1954, 6, 10.91, 8.84, 41.53, 42.56
1954, 7, 15.39, 13.44, 1.923, 1.549
1954, 8, 14.93, 12.86, 11.26, 9.269
1954, 9, 10.93, 8.835, 40.36, 36.9
1954, 10, 4.742, 2.795, 205.6, 210.7
1954, 11, 0.8882, -1.172, 146.8, 156.5
1954, 12, -1.892, -3.999, 250, 263.2
1955, 1, -3.055, -5.189, 199.2, 205.2
1955, 2, 0.4735, -1.802, 85.06, 91.07
1955, 3, 1.06, -1.038, 86.19, 89.24
1955, 4, 2.865, 0.7916, 101.8, 99.32
1955, 5, 4.233, 2.256, 135, 127.8
1955, 6, 13.13, 11.07, 9.67, 9.508
1955, 7, 14.32, 12.31, 8.948, 8.516
1955, 8, 17.57, 15.49, 27.56, 28.41
1955, 9, 11.41, 9.383, 16.03, 16.05
1955, 10, 6.197, 4.067, 134.9, 137.8
