# Created by WEAP: 1/2/2021 12:54:51 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_HadGEM2-ES_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_NW_Upr Blue (91,639 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (15,587 ha),  3000 - 4000 m (74,807 ha),  4000 - 5000 m (1,246 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

1950, 1, -9.675, -11.83, -13.02, 33.44, 50.29, 63.45
1950, 2, -4.675, -6.518, -7.431, 18.67, 24.3, 29.19
1950, 3, -2.396, -4.742, -6.059, 68.61, 97.07, 110.4
1950, 4, 0.8883, -1.585, -3.077, 40.24, 60.39, 69.66
1950, 5, 6.894, 4.532, 3.074, 33.26, 45.29, 50.12
1950, 6, 12.37, 9.99, 8.612, 116.2, 99.26, 84.7
1950, 7, 15.03, 12.78, 11.58, 23.18, 32.41, 44.24
1950, 8, 14.33, 11.97, 10.58, 43.39, 54.77, 66.23
1950, 9, 7.702, 5.532, 4.423, 63.42, 72.15, 75.84
1950, 10, 6.411, 4.003, 2.601, 40.36, 62.9, 75.85
1950, 11, -0.9342, -3.255, -4.475, 32.08, 40.49, 41.06
1950, 12, -10.7, -12.52, -13.4, 60.64, 89.87, 98.41
1951, 1, -10.13, -12.12, -13.21, 36.85, 56.39, 66
1951, 2, -6.03, -8.296, -9.634, 39.78, 61.7, 78.26
1951, 3, -4.215, -6.396, -7.628, 29.68, 40.86, 46.02
1951, 4, 1.009, -1.626, -3.213, 56.03, 77.73, 90.32
1951, 5, 5.567, 3.027, 1.406, 55.3, 82.85, 104.5
1951, 6, 9.204, 6.866, 5.445, 112.1, 117.9, 121.4
1951, 7, 14.44, 12.3, 11.17, 28.19, 38.23, 46.65
1951, 8, 13.44, 11.23, 10.02, 58.84, 70.16, 71.45
1951, 9, 8.958, 6.698, 5.556, 33.77, 39.64, 43.48
1951, 10, 6.868, 4.445, 3.002, 26.16, 33.65, 36.68
1951, 11, -1.94, -4.298, -5.498, 45.08, 57.6, 59.52
1951, 12, -6.06, -8.044, -9.026, 39.18, 54.21, 61.32
1952, 1, -7.048, -9.116, -10.22, 36.23, 51.41, 57.11
1952, 2, -2.657, -4.693, -5.733, 30.95, 44.66, 51.88
1952, 3, -3.11, -5.391, -6.634, 117.1, 164.6, 199
1952, 4, -1.446, -3.921, -5.505, 50.86, 71.29, 83.11
1952, 5, 7.119, 4.697, 3.265, 36.51, 44.42, 50.37
1952, 6, 12.12, 9.611, 8.153, 31.23, 32.91, 35.65
1952, 7, 14.96, 12.81, 11.74, 38.18, 47.91, 48.64
1952, 8, 12.35, 9.92, 8.522, 64.46, 77.55, 80.54
1952, 9, 8.981, 6.575, 5.328, 61.04, 66.41, 68.35
1952, 10, 4.075, 1.652, 0.2459, 44.47, 60.2, 68.87
1952, 11, -3.413, -5.816, -7.123, 48.79, 69.76, 83.52
