# Created by WEAP: 1/2/2021 12:26:53 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_HadGEM2-ES_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_S_Tulare (1,779,681 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,497,013 ha),  1000 - 2000 m (198,136 ha),  2000 - 3000 m (73,484 ha),  3000 - 4000 m (11,049 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

1950, 1, 7.06, 2.579, -3.714, -8.481, 31.65, 94.02, 134.3, 134.4
1950, 2, 12.38, 7.022, 0.794, -3.889, 20.08, 55.82, 79.64, 81.75
1950, 3, 14.49, 7.283, 1.056, -3.553, 68.37, 147.1, 211.8, 212.3
1950, 4, 16.8, 9.69, 3.49, -1.101, 20.42, 54.07, 67.09, 57.35
1950, 5, 23.48, 16.44, 10.6, 6.229, 12.66, 47.6, 72.81, 75.84
1950, 6, 26.26, 19.41, 13.64, 9.375, 0.7419, 6.168, 13.59, 16.63
1950, 7, 28.27, 21.99, 16.29, 12.04, 0.5657, 4.03, 3.957, 5.794
1950, 8, 27.5, 21.43, 15.64, 11.33, 0.1559, 2.293, 8.328, 15.11
1950, 9, 22.66, 16.33, 10.37, 5.902, 0.4297, 0.5576, 0.8431, 0.4837
1950, 10, 20.02, 13.55, 7.791, 3.424, 10.19, 44.28, 56.5, 57.01
1950, 11, 13.64, 8.253, 2.409, -2.083, 8.835, 25.02, 32.44, 31.24
1950, 12, 6.916, 2.921, -3.393, -8.112, 1.45, 4.444, 5.943, 5.582
1951, 1, 7.913, 3.237, -2.952, -7.659, 47.32, 148.7, 229.3, 240.8
1951, 2, 11.68, 6.421, 0.2138, -4.492, 7.256, 22.6, 35.36, 34.35
1951, 3, 14.91, 8.426, 2.227, -2.381, 12.33, 28.87, 42.47, 43.77
1951, 4, 18.33, 11.02, 4.817, 0.3232, 12.68, 47.35, 61.9, 57.96
1951, 5, 22.75, 15.28, 9.174, 4.616, 3.559, 20.34, 29.37, 31.33
1951, 6, 24.93, 17.99, 12.21, 7.817, 1.65, 12.76, 27.6, 35.31
1951, 7, 28.97, 22.53, 16.66, 12.19, 0.03716, 0.4649, 0.4881, 0.5012
1951, 8, 27.72, 21.55, 15.88, 11.62, 0.8163, 5.303, 15.32, 21.25
1951, 9, 23, 16.66, 10.7, 6.263, 2.656, 8.092, 12.9, 14.47
1951, 10, 20.28, 14, 8.123, 3.749, 7.133, 16.03, 20.02, 16.79
1951, 11, 14.53, 9.422, 3.345, -1.22, 4.309, 11.04, 16.95, 18.79
1951, 12, 10.81, 6.557, 0.3555, -4.395, 11.58, 23.14, 35.82, 35.79
1952, 1, 8.567, 3.373, -2.613, -7.153, 96.32, 250, 347.5, 351.9
1952, 2, 12.62, 6.366, 0.1908, -4.363, 98.22, 238.3, 373.1, 384.6
1952, 3, 13.77, 6.678, 0.2847, -4.413, 53.57, 172.3, 223.1, 206
1952, 4, 15.85, 8.776, 2.491, -2.125, 5.706, 23.95, 35.92, 37.55
1952, 5, 18.57, 11, 4.641, -0.02241, 15.31, 33.3, 47.51, 45.89
1952, 6, 26.31, 19.38, 13.71, 9.376, 0.03966, 0.2975, 0.5079, 0.6041
1952, 7, 29.53, 23.11, 17.2, 12.76, 1.365E-5, 0, 0, 0
1952, 8, 28.33, 21.67, 15.35, 10.67, 5.916, 46.28, 52.71, 46.62
1952, 9, 26.96, 20.64, 14.57, 10.05, 15.97, 28.06, 40.05, 41.71
1952, 10, 17.5, 10.86, 4.792, 0.2438, 41.06, 85.76, 106.8, 95.94
1952, 11, 12.82, 6.842, 0.7536, -3.782, 22.01, 71.37, 74.17, 62.63
1952, 12, 9.086, 3.22, -2.834, -7.387, 31.58, 91.39, 130.1, 125.6
1953, 1, 7.925, 3.578, -2.799, -7.469, 14.31, 38.58, 51.43, 43.36
1953, 2, 11.69, 6.411, 0.1252, -4.518, 16.93, 37.71, 58.48, 56.74
1953, 3, 14.36, 7.165, 1.082, -3.406, 111.4, 225.8, 309.4, 305.7
1953, 4, 15.25, 7.735, 1.79, -2.587, 116.9, 350.2, 452.5, 414.5
1953, 5, 18.97, 11.03, 4.994, 0.6759, 41.8, 116.6, 141.3, 133.1
1953, 6, 21.89, 14.41, 8.308, 3.815, 12.32, 62.58, 104.2, 107.8
1953, 7, 28.41, 22.25, 16.44, 12.09, 0.1145, 1.711, 3.627, 6.77
1953, 8, 29.25, 22.88, 17.06, 12.72, 4.158, 29.31, 48.75, 56.04
1953, 9, 28.65, 22.53, 16.85, 12.56, 0.2326, 2.011, 3.128, 1.951
1953, 10, 20.26, 14.56, 8.864, 4.501, 0, 0, 0, 0
1953, 11, 12.43, 6.534, 0.3982, -4.207, 28.76, 72.25, 94.83, 90.14
1953, 12, 10.69, 6.071, -0.1325, -4.799, 30.7, 86.27, 123.6, 123.3
1954, 1, 9.824, 4.599, -1.441, -6.017, 121.9, 328.6, 452.8, 446.3
1954, 2, 13.42, 6.284, 0.1494, -4.458, 109.4, 305.7, 482.7, 498.9
1954, 3, 13.53, 6.31, -0.08508, -4.842, 54.74, 145.5, 189.1, 165.8
1954, 4, 18.01, 11.06, 5.03, 0.5626, 4.435, 23.22, 35.97, 38.76
1954, 5, 19.23, 12.13, 5.934, 1.476, 28.87, 63.95, 99.43, 107.6
1954, 6, 25.35, 18.48, 12.68, 8.382, 0.007918, 0.03085, 0.08394, 0.07743
1954, 7, 28.52, 22.31, 16.42, 12.05, 0.1275, 1.028, 1.903, 1.841
1954, 8, 28.31, 22.32, 16.69, 12.32, 0.1883, 0.7861, 0.4076, 0.7056
1954, 9, 23.27, 17.08, 11.52, 7.185, 8.779, 22.96, 25.88, 25.49
1954, 10, 17.99, 11.4, 5.474, 1.043, 20.26, 45.64, 68.91, 71.77
1954, 11, 12.15, 6.358, 0.5139, -3.887, 14.72, 42.48, 58.32, 58.84
1954, 12, 8.401, 3.708, -2.486, -7.137, 56.12, 162.4, 235.4, 228.1
1955, 1, 7.912, 2.387, -3.807, -8.5, 121.6, 390.8, 553.7, 550.3
