# Created by WEAP: 1/2/2021 12:27:29 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_HadGEM2-ES_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WY_SE_North Fork Platte (1,252,036 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (982,123 ha),  2000 - 3000 m (269,913 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, -7.321, -10.15, 5.637, 11.42
1950, 2, -0.2634, -3.392, 16.37, 31.88
1950, 3, 0.9008, -1.792, 20.03, 48.06
1950, 4, 7.307, 3.903, 20.28, 27.88
1950, 5, 12.21, 9.04, 70.16, 85.64
1950, 6, 20.78, 17.33, 14.75, 16.06
1950, 7, 23.29, 19.81, 17.39, 17.58
1950, 8, 23.35, 19.81, 6.348, 8.203
1950, 9, 12.73, 9.446, 49.12, 59.2
1950, 10, 11.81, 8.785, 19.64, 31.34
1950, 11, 3.849, 0.3022, 18.6, 35.6
1950, 12, -4.966, -8.109, 19.37, 56.26
1951, 1, -5.483, -8.777, 7.053, 16.91
1951, 2, 0.002366, -3.223, 27.61, 63.16
1951, 3, 1.349, -2.261, 12.35, 26.45
1951, 4, 7.768, 4.332, 28.53, 51.77
1951, 5, 14.41, 11.22, 26.19, 31.79
1951, 6, 19.18, 15.77, 68.65, 89.71
1951, 7, 23.01, 19.55, 25.96, 28.24
1951, 8, 21.74, 18.38, 36.3, 41.79
1951, 9, 9.366, 6.509, 79.89, 89.95
1951, 10, 11.55, 8.372, 21.98, 30.32
1951, 11, 2.358, -0.8483, 16.39, 33.91
1951, 12, -0.6347, -3.985, 23.18, 51.78
1952, 1, -2.844, -6.015, 16.71, 35.87
1952, 2, 0.9452, -2.034, 17.73, 35.34
1952, 3, 4.875, 1.088, 26.94, 52.2
1952, 4, 2.761, -0.502, 89.99, 155.4
1952, 5, 12.88, 9.65, 87.04, 127.4
1952, 6, 19.23, 15.78, 37.92, 49.44
1952, 7, 22.36, 19.03, 23.09, 25.87
1952, 8, 21.31, 17.62, 41.1, 54.99
1952, 9, 12.85, 9.604, 32.81, 42.51
1952, 10, 6.97, 4.117, 64.32, 90.36
1952, 11, -0.5557, -3.394, 11.79, 29.5
1952, 12, -3.828, -6.868, 5.817, 13.81
1953, 1, -3.877, -7.291, 10.47, 34.32
1953, 2, -0.3123, -3.839, 12.56, 30.29
1953, 3, 1.454, -1.66, 19.06, 45.81
1953, 4, 7.687, 4.179, 73.44, 123
1953, 5, 15.55, 12.34, 18.91, 22.27
1953, 6, 17.52, 14.1, 56.68, 76.37
1953, 7, 22.3, 18.58, 62.26, 73.72
1953, 8, 21.28, 17.52, 18.1, 29.76
1953, 9, 17.19, 13.97, 8.67, 10.95
1953, 10, 6.761, 3.788, 43.28, 69.23
1953, 11, 0.1196, -2.866, 18.98, 43.17
1953, 12, -4.123, -6.814, 26.86, 51.26
1954, 1, -2.922, -5.799, 13.56, 31.02
1954, 2, 1.254, -1.99, 12.88, 25.87
1954, 3, 3.466, 0.6618, 20.31, 49.87
1954, 4, 7.134, 3.919, 28.89, 53.99
1954, 5, 14.19, 10.72, 52.98, 62.11
1954, 6, 18.2, 14.73, 63.18, 80.47
1954, 7, 21.11, 17.68, 26.85, 32.79
1954, 8, 21.43, 17.9, 26.48, 31.86
1954, 9, 15.81, 12.27, 9.599, 12.69
1954, 10, 13.28, 10.01, 15.62, 30.49
1954, 11, 2.268, -0.9599, 11.21, 22.85
1954, 12, -4.145, -7.358, 13.47, 31.99
1955, 1, -2.4, -5.554, 13.32, 31.5
1955, 2, -1.694, -4.916, 6.902, 16.05
1955, 3, 4.36, 0.8384, 38.8, 55.84
1955, 4, 6.49, 3.051, 19.01, 31.36
1955, 5, 11.18, 7.872, 126.8, 161.7
1955, 6, 17.66, 14.37, 36.81, 48.42
1955, 7, 23.25, 19.63, 25.55, 28.08
1955, 8, 22.13, 18.65, 17.27, 20.49
1955, 9, 17.83, 14.43, 10.26, 13.11
1955, 10, 9.501, 6.397, 11.04, 18.38
1955, 11, 2.236, -0.7955, 18.55, 35.32
1955, 12, -3.74, -6.904, 16.09, 37.78
1956, 1, -7.287, -9.723, 6.686, 17.46
1956, 2, -0.3221, -3.525, 6.291, 12.7
1956, 3, 7.455, 3.562, 25.03, 48.47
1956, 4, 5.888, 2.385, 44.66, 79.49
1956, 5, 12.36, 8.992, 62.1, 87.93
1956, 6, 17.57, 13.81, 44.25, 57.14
1956, 7, 22.9, 19.18, 38.72, 46.26
1956, 8, 21.29, 17.63, 8.965, 13.05
1956, 9, 15.7, 12.37, 57.27, 79.8
1956, 10, 7.957, 4.851, 22.96, 37.1
1956, 11, 0.1663, -2.446, 6.587, 13.65
1956, 12, 2.386, -0.798, 5.026, 10.57
1957, 1, -2.658, -4.862, 8.274, 23.29
1957, 2, -1.727, -5.444, 22.43, 39.91
1957, 3, 1.235, -1.816, 34.04, 72.59
1957, 4, 6.912, 3.51, 63.37, 111.3
1957, 5, 11.65, 8.323, 46.76, 62.17
1957, 6, 17.82, 14.32, 56.74, 75.64
1957, 7, 23.5, 19.86, 11.09, 18.7
1957, 8, 22.12, 18.53, 15.07, 19.73
1957, 9, 18.53, 15.08, 11.85, 23.73
1957, 10, 8.87, 5.829, 23.11, 44.67
1957, 11, -0.3555, -3.617, 11.04, 24.72
1957, 12, 2.635, -0.7529, 3.149, 8.996
1958, 1, -0.7142, -3.907, 12.07, 29.28
1958, 2, -3.127, -5.762, 14.88, 30.37
1958, 3, 2.771, -0.5214, 34.94, 68.32
1958, 4, 6.02, 2.923, 28, 43.21
1958, 5, 14.58, 11.24, 57.87, 85.04
1958, 6, 16.6, 13.34, 52, 51.6
1958, 7, 21.93, 18.44, 40.17, 48.72
1958, 8, 22.89, 19.07, 11.81, 16.64
1958, 9, 15.51, 12.11, 14.05, 16.64
1958, 10, 8.727, 5.42, 24.7, 39.21
1958, 11, -2.663, -5.693, 32.3, 59.76
1958, 12, -5.086, -8.485, 17.65, 44.33
1959, 1, -6.508, -8.645, 2.952, 6.723
1959, 2, -5.091, -7.869, 11.58, 22.6
1959, 3, -3.509, -6.45, 20.64, 46.01
1959, 4, 4.849, 1.77, 27.59, 47.36
1959, 5, 13.24, 9.949, 78.43, 100.2
1959, 6, 17.42, 13.9, 80.8, 84.06
1959, 7, 21.97, 18.51, 77.4, 83.73
1959, 8, 21.86, 18.31, 11.14, 17.61
1959, 9, 16.03, 12.65, 12.24, 15.92
1959, 10, 7.991, 4.935, 37.6, 48.13
1959, 11, 0.1648, -2.878, 26.19, 55.17
1959, 12, -2.537, -5.306, 14.18, 26.25
1960, 1, -3.096, -6.225, 10.45, 25.29
1960, 2, 0.935, -2.192, 9.105, 22.46
1960, 3, 1.072, -2.328, 22.4, 57.51
1960, 4, 6.195, 2.866, 29.48, 45.25
1960, 5, 12.8, 9.463, 15.96, 21.72
1960, 6, 17.48, 14.05, 72.91, 90.15
1960, 7, 24.16, 20.54, 5.391, 6.112
1960, 8, 22.71, 18.98, 29.77, 37.7
1960, 9, 14.95, 11.71, 61.26, 89.28
1960, 10, 7.863, 4.608, 27.72, 50.85
1960, 11, 4.665, 1.384, 7.773, 18.29
1960, 12, -5.047, -7.954, 18.9, 36.86
