# Created by WEAP: 1/2/2021 12:31:07 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_HadGEM2-ES_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Puyallup (38,154 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (19,637 ha),  1000 - 2000 m (16,061 ha),  2000 - 3000 m (2,118 ha),  3000 - 4000 m (338 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

1950, 1, 2.975, -0.4504, -4.987, -10.21, 171.5, 259.2, 391.1, 391.3
1950, 2, 6, 2.526, -2.137, -7.468, 178.9, 243.9, 375.6, 383.1
1950, 3, 5.39, 1.583, -3.126, -8.59, 125.8, 161, 235.9, 244.8
1950, 4, 6.13, 2.09, -2.7, -8.174, 127.1, 167.6, 221.5, 219.4
1950, 5, 8.958, 4.849, -0.1038, -5.665, 152, 197.6, 239.6, 226.8
1950, 6, 15.76, 12.92, 8.443, 3.106, 58.87, 66.42, 59.36, 48.95
1950, 7, 16.46, 13.57, 9.35, 4.177, 29.76, 36.03, 38, 34.03
1950, 8, 15.29, 12.1, 7.625, 2.299, 79.51, 121.8, 139.9, 120.6
1950, 9, 13.02, 9.798, 5.274, -0.04734, 59, 70.59, 82.36, 77.06
1950, 10, 8.588, 5.189, 0.6562, -4.697, 175, 250.2, 331.3, 309.9
1950, 11, 6.048, 2.312, -2.234, -7.501, 71.21, 105.7, 156.2, 155.5
1950, 12, 3.512, -0.3133, -4.998, -10.36, 283.6, 439.5, 667.9, 668.8
1951, 1, 1.966, -1.648, -6.34, -11.69, 231.6, 346.1, 540.9, 545.2
1951, 2, 4.667, 0.5278, -4.295, -9.681, 308.8, 473.1, 702.1, 703
1951, 3, 3.825, 0.1378, -4.565, -9.96, 152.3, 198.1, 288.3, 294.6
1951, 4, 8.368, 5.038, 0.3507, -5.034, 11.74, 16.35, 15.88, 14.38
1951, 5, 13.97, 10.62, 6.039, 0.6603, 66.95, 83.59, 94.52, 85.3
1951, 6, 14.12, 10.88, 6.132, 0.6318, 121.2, 147.3, 145.4, 125.6
1951, 7, 16.19, 12.72, 8.19, 2.806, 73.02, 100, 111.2, 101.3
1951, 8, 16.99, 13.67, 9.064, 3.71, 68.48, 126.7, 158.3, 149.7
1951, 9, 12.95, 9.651, 5.157, -0.205, 34.02, 48.06, 60.65, 56.28
1951, 10, 9.092, 5.555, 0.8142, -4.651, 233.6, 339.4, 457.8, 427.7
1951, 11, 1.587, -2.249, -6.944, -12.34, 242.9, 359, 519.4, 498.2
1951, 12, 3.09, -0.2264, -4.698, -9.974, 148.8, 220.2, 334.6, 331.3
1952, 1, -1.743, -5.344, -9.615, -14.78, 143.1, 184.8, 276.7, 277.5
1952, 2, 1.36, -2.508, -7.314, -12.81, 160.2, 247.1, 384.6, 392.8
1952, 3, 6.402, 2.503, -2.349, -7.865, 159.5, 207.5, 307.9, 316.5
1952, 4, 4.149, 0.05004, -4.863, -10.42, 184.4, 241.1, 315.4, 312.3
1952, 5, 8.457, 4.361, -0.5249, -6.129, 114, 145.5, 165.1, 152.2
1952, 6, 15.93, 12.72, 8.092, 2.79, 49.41, 64.12, 66.11, 57.31
1952, 7, 15.79, 12.55, 8.116, 2.81, 20.24, 25.25, 27.88, 24.58
1952, 8, 16.37, 13.23, 8.763, 3.457, 48.31, 63.52, 71.39, 65.13
1952, 9, 16.5, 14.28, 10.27, 5.22, 45.54, 58.49, 64.96, 61.51
1952, 10, 6.319, 2.842, -1.654, -6.994, 150.2, 217.4, 282.3, 260.3
1952, 11, 6.44, 2.492, -1.964, -7.125, 172.4, 229.4, 312.6, 295.1
1952, 12, 1.923, -1.83, -6.483, -11.85, 201.4, 317.8, 497.3, 503.1
1953, 1, 0.8308, -2.811, -7.432, -12.74, 137.9, 205.2, 299, 292
1953, 2, 3.656, -0.1984, -4.827, -10.26, 177.8, 271.2, 420.1, 425
1953, 3, 4.288, 0.305, -4.558, -10.07, 130.3, 182.5, 269.6, 274.3
1953, 4, 9.967, 6.533, 1.912, -3.465, 65.19, 67.69, 80.56, 75.54
1953, 5, 12.46, 8.941, 4.244, -1.184, 192, 277.2, 330, 308.1
1953, 6, 13.85, 10.23, 5.39, -0.1617, 130.3, 175.5, 181.4, 156.8
1953, 7, 16.09, 13.05, 8.599, 3.324, 18.73, 28.86, 34.75, 31.53
1953, 8, 17.5, 14.76, 10.53, 5.407, 36.17, 46.98, 49.51, 42.89
1953, 9, 15.87, 13.05, 8.755, 3.567, 64.53, 63.6, 66.56, 56.86
1953, 10, 7.241, 3.461, -1.238, -6.652, 215.7, 280.4, 352.5, 319.7
1953, 11, 3.638, -0.4317, -5.214, -10.73, 278.4, 424.6, 605.9, 585.3
1953, 12, 1.191, -2.678, -7.254, -12.6, 192.5, 293.6, 439.8, 441.6
1954, 1, 2.324, -1.392, -6.148, -11.6, 228.2, 319.7, 487.7, 493.7
1954, 2, 3.828, -0.07359, -4.891, -10.42, 235.2, 353.6, 539.6, 549.4
1954, 3, 4.169, 0.2218, -4.694, -10.27, 140.9, 174.1, 259.7, 272.3
1954, 4, 7.121, 3.252, -1.559, -7.096, 152.9, 175, 226.2, 225.2
1954, 5, 11.06, 7.183, 2.396, -3.066, 120.3, 145.5, 169.6, 158.3
1954, 6, 12.27, 8.527, 3.614, -1.996, 84.19, 104.5, 105.2, 91.59
1954, 7, 16.17, 13.15, 8.686, 3.394, 35.6, 50.52, 47.59, 35.29
1954, 8, 15.45, 12.15, 7.7, 2.339, 46.82, 65.33, 78.15, 71.94
1954, 9, 12.5, 9.232, 4.664, -0.6574, 156.5, 201.8, 248.2, 230.3
1954, 10, 7.376, 3.501, -1.266, -6.783, 220.2, 305.9, 406, 382.6
1954, 11, 5.425, 1.742, -2.941, -8.332, 208.7, 306.5, 437.8, 425.1
1954, 12, 3.334, -0.3306, -4.872, -10.11, 214.5, 319.9, 481.5, 473.3
1955, 1, 2.335, -1.783, -6.695, -12.23, 262.8, 394.8, 592.6, 578.1
1955, 2, 3.287, -0.3718, -5.098, -10.55, 60.72, 95.1, 148.7, 154.9
1955, 3, 5.291, 1.792, -2.818, -8.187, 148.9, 200.6, 293.1, 301
1955, 4, 7.105, 3.137, -1.84, -7.414, 135.2, 164.1, 200.3, 193.6
1955, 5, 7.697, 3.567, -1.425, -7.052, 117.5, 154.4, 185.9, 177.7
1955, 6, 14.11, 10.82, 6.2, 0.7118, 41.37, 55.53, 52.36, 43.34
1955, 7, 15.33, 11.97, 7.513, 2.214, 25.42, 35.24, 41.35, 37
1955, 8, 17.86, 15.31, 11.12, 5.964, 14.24, 25.12, 31.25, 28.53
1955, 9, 13.17, 10.36, 6.048, 0.7978, 43.89, 34.63, 27.69, 19.84
1955, 10, 8.161, 4.391, -0.1589, -5.471, 251, 338.1, 452.7, 421.8
1955, 11, 2.755, -1.319, -6.127, -11.62, 258.2, 367.8, 530, 513.3
1955, 12, 2.192, -1.946, -6.529, -11.88, 257, 393.7, 594.7, 591.2
1956, 1, -0.8245, -4.143, -8.654, -13.88, 242, 325, 490.3, 481.8
1956, 2, 4.65, 0.9637, -3.688, -8.944, 61.65, 78.65, 125.8, 134
1956, 3, 5.421, 1.697, -2.982, -8.406, 152.5, 216.9, 324.7, 333
1956, 4, 8.659, 4.898, 0.2319, -5.204, 88.34, 128.4, 171.5, 170.5
1956, 5, 10.7, 7.204, 2.513, -2.989, 129, 193, 253.6, 250
1956, 6, 10.29, 6.383, 1.626, -3.95, 244.1, 303, 310.2, 267.4
1956, 7, 16.25, 12.94, 8.345, 2.953, 27.94, 43.35, 48.81, 42.16
1956, 8, 17.92, 15.1, 10.76, 5.552, 22.36, 30.17, 37.93, 36.35
1956, 9, 11.55, 7.973, 3.233, -2.219, 127.1, 160.5, 192.6, 179.6
1956, 10, 9.279, 6.137, 1.856, -3.287, 48.58, 59.71, 71.81, 65.3
1956, 11, 4.158, 0.7638, -3.816, -9.079, 170.3, 221.4, 312.5, 306.8
1956, 12, 3.014, -1.132, -5.88, -11.34, 254.9, 380.5, 565.4, 558
1957, 1, 1.702, -2.52, -7.373, -12.85, 243.6, 338.7, 516.3, 526.2
1957, 2, 3.415, -0.7226, -5.488, -10.94, 151.7, 201.1, 300.4, 312.8
1957, 3, 2.372, -1.563, -6.397, -11.85, 90.21, 133.2, 190.2, 191.2
1957, 4, 4.704, 0.4927, -4.469, -10.06, 103.8, 133.3, 167, 162.2
1957, 5, 8.248, 4.201, -0.6453, -6.167, 102.5, 132.9, 155.5, 148.9
1957, 6, 14.61, 11.29, 6.568, 1.08, 80.41, 90.28, 86.84, 72.09
1957, 7, 16.7, 13.79, 9.407, 4.186, 21.74, 36.4, 40.05, 34.79
1957, 8, 15.18, 12.05, 7.557, 2.138, 50.18, 68.59, 87.25, 81.03
1957, 9, 13.01, 10.05, 5.625, 0.3432, 117.9, 173.8, 218.9, 204.8
1957, 10, 6.811, 3.054, -1.696, -7.15, 125.1, 172.5, 221.4, 200.4
1957, 11, 2.741, -0.5848, -4.87, -10.01, 150.9, 232.2, 342.7, 336.4
1957, 12, 4.856, 1.147, -3.437, -8.811, 255.5, 361.5, 530.5, 519.8
1958, 1, 3.257, -0.5755, -5.367, -10.77, 204.5, 304.7, 477.7, 482.7
