# Created by WEAP: 1/2/2021 12:35:33 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_HadGEM2-ES_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_ID_AVA_North Fork Clearwater (632,186 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (141,696 ha),  1000 - 2000 m (484,237 ha),  2000 - 3000 m (6,252 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, -3.211, -6.602, -9.876, 133.5, 203.1, 287.4
1950, 2, 2.263, -0.7433, -3.308, 91.51, 140.1, 179
1950, 3, 2.829, -0.07591, -2.59, 66.7, 91.9, 120.9
1950, 4, 6.688, 3.692, 1.406, 88.96, 141.5, 224.9
1950, 5, 10.67, 7.857, 5.841, 61.77, 78.3, 88.46
1950, 6, 18.67, 16.02, 13.73, 79.59, 105.8, 189.7
1950, 7, 19.1, 16.1, 13.82, 49.49, 62.14, 81.37
1950, 8, 19.61, 16.96, 15.01, 33.25, 48.53, 78.52
1950, 9, 10.67, 7.669, 5.099, 35.76, 47.35, 62.39
1950, 10, 9.592, 6.587, 3.928, 141.6, 174.2, 237.4
1950, 11, 2.168, -0.8867, -3.757, 44.32, 62.06, 79.77
1950, 12, -2.033, -5.275, -8.337, 157.2, 227.5, 304
1951, 1, -3.038, -6.518, -10.01, 180.6, 255.2, 358.1
1951, 2, 0.5437, -2.691, -5.497, 169, 263.1, 356.7
1951, 3, 1.26, -1.658, -4.04, 80.63, 112.2, 124.2
1951, 4, 8.297, 5.34, 3.086, 13.89, 19.43, 25.47
1951, 5, 16.25, 13.36, 11.03, 73.92, 97.48, 131.7
1951, 6, 17.99, 15.22, 12.89, 111.8, 142.8, 213.7
1951, 7, 17.23, 14.22, 12.02, 45.08, 53.09, 68.3
1951, 8, 18.28, 15.31, 12.95, 131.2, 149.1, 149.5
1951, 9, 10.36, 7.177, 4.43, 107.3, 141.3, 191
1951, 10, 9.23, 6.205, 3.82, 99.55, 139.8, 192.2
1951, 11, -0.7381, -3.723, -6.686, 131.3, 190.9, 289.1
1951, 12, -0.8022, -3.871, -7.003, 64.44, 96.89, 116.8
1952, 1, -4.169, -7.277, -9.884, 64.86, 98.81, 109.1
1952, 2, 1.225, -1.738, -4.258, 77.85, 118.6, 123.9
1952, 3, 5.3, 2.794, 1.009, 82.36, 110.4, 135
1952, 4, 3.822, 0.8025, -1.649, 118.6, 164.8, 213.4
1952, 5, 9.338, 6.368, 3.908, 104.9, 129.8, 152.6
1952, 6, 17.36, 14.61, 12.35, 45.7, 61.92, 95.71
1952, 7, 17.8, 15.08, 13.08, 27.8, 31.95, 42.98
1952, 8, 19.1, 16.31, 14.12, 58.23, 84.95, 130.1
1952, 9, 14.02, 10.9, 8.478, 54.41, 72.94, 108.7
1952, 10, 4.701, 1.605, -1.07, 69.46, 92.76, 109.9
1952, 11, 2.828, -0.388, -3.446, 71.84, 90.69, 96.41
1952, 12, -2.469, -5.784, -9.091, 127.3, 184.7, 225.9
1953, 1, -3.479, -6.415, -9.31, 99.77, 146.4, 188.8
1953, 2, 0.3271, -2.528, -4.899, 126.4, 181.3, 232.6
1953, 3, 3.115, 0.3696, -1.666, 60.27, 77.3, 92.39
1953, 4, 10.68, 7.813, 5.538, 71.65, 115.5, 191.7
1953, 5, 14.53, 11.54, 9.13, 113.4, 154.8, 229.9
1953, 6, 15.81, 13.18, 11.17, 136.7, 169.1, 236.7
1953, 7, 18.62, 16.01, 14.28, 40.9, 49.2, 72.44
1953, 8, 20.77, 17.91, 15.69, 37.28, 44.15, 56.48
1953, 9, 16.58, 13.59, 11.35, 13.93, 24.7, 38.38
1953, 10, 6.494, 3.651, 1.27, 87.48, 130.7, 186
1953, 11, 0.5179, -2.537, -5.365, 114.8, 160.6, 194.4
1953, 12, -2.534, -5.642, -8.492, 133.3, 186.4, 214.1
1954, 1, -1.625, -4.942, -7.827, 155.7, 234.8, 284.3
1954, 2, 2.207, -0.7968, -3.168, 189, 255, 290.3
1954, 3, 3.921, 0.9604, -1.67, 86.66, 115.8, 129.2
1954, 4, 7.368, 4.281, 1.883, 99.8, 128.5, 153.3
1954, 5, 13.47, 10.66, 8.406, 103.4, 115.9, 150.6
1954, 6, 13.28, 10.62, 8.765, 55.29, 65.48, 77.78
1954, 7, 19.5, 16.66, 14.72, 22.57, 30.44, 46.13
1954, 8, 17.8, 15.27, 13.45, 16.26, 18.06, 22.36
1954, 9, 12.73, 9.783, 7.55, 34.67, 44.07, 58.3
1954, 10, 8.443, 5.653, 3.379, 142, 180.8, 208
1954, 11, 2.891, -0.1665, -2.715, 117.8, 161.8, 225.5
1954, 12, -0.5204, -3.911, -7.221, 139, 190.8, 217.6
1955, 1, -0.9833, -3.909, -6.506, 102.1, 168.4, 206.4
1955, 2, 1.411, -1.675, -4.618, 24.77, 32.56, 32.83
1955, 3, 4.979, 2.313, 0.4996, 90.02, 129.6, 171.4
1955, 4, 6.486, 3.646, 1.356, 86.52, 113.1, 137.1
1955, 5, 8.341, 5.708, 3.82, 58.6, 86.07, 124.3
1955, 6, 14.88, 12.03, 9.799, 35.37, 46.94, 61.38
1955, 7, 18.91, 16.33, 14.69, 2.314, 3.823, 11.05
1955, 8, 21.16, 18.38, 16.33, 10.16, 14.18, 17.71
1955, 9, 16.14, 13.25, 11.07, 10.09, 12.07, 15.44
1955, 10, 9.263, 6.399, 4.007, 84.03, 112, 133.8
1955, 11, 0.9805, -2.195, -4.886, 128.3, 180.5, 210.3
1955, 12, -1.095, -4.324, -7.263, 135.9, 186.2, 217.1
1956, 1, -5.079, -8.133, -11.02, 120.1, 178.9, 188.5
1956, 2, 1.167, -1.875, -4.34, 47.88, 59.91, 49.54
1956, 3, 5.824, 3.336, 1.494, 92.81, 131.9, 167.9
1956, 4, 7.471, 4.433, 2.188, 58.96, 69.02, 70.79
1956, 5, 12.37, 9.396, 7.159, 60.05, 68.98, 76.92
1956, 6, 11.25, 8.499, 6.336, 117.9, 134.1, 150.2
1956, 7, 18.31, 15.53, 13.52, 41.59, 51.97, 69.46
1956, 8, 19.43, 16.66, 14.74, 2.184, 3.059, 3.083
1956, 9, 12.38, 9.601, 7.273, 85.55, 112.3, 155.3
1956, 10, 8.279, 5.218, 2.816, 39.88, 59.13, 82.91
1956, 11, 0.9387, -2.165, -5.046, 78.65, 104.1, 107.2
1956, 12, -0.9255, -4.059, -7.12, 73.72, 103.9, 128.4
1957, 1, -2.669, -6.161, -9.465, 143, 210.4, 256.4
1957, 2, -0.578, -3.528, -5.911, 113, 162.7, 197
1957, 3, 0.3958, -2.563, -4.873, 61.5, 83.74, 96.18
1957, 4, 4.896, 2.223, 0.2245, 74.4, 109.5, 155.8
1957, 5, 9.043, 6.158, 3.982, 75.16, 93.08, 122.3
1957, 6, 16.77, 13.87, 11.54, 32.07, 34.84, 33.25
1957, 7, 20.76, 18.16, 16.27, 37.87, 45.54, 69.35
1957, 8, 16.89, 14.12, 12.12, 29.15, 30.76, 27.5
1957, 9, 16.79, 13.81, 11.5, 40.61, 57.9, 75.48
1957, 10, 6.845, 3.996, 1.597, 60.51, 76.44, 84.96
1957, 11, 1.164, -1.934, -4.827, 52.93, 73.59, 85.16
1957, 12, 1.066, -1.608, -4.029, 46.62, 67.32, 82.13
1958, 1, -1.647, -4.721, -7.823, 131.3, 196.9, 241.6
1958, 2, -1.035, -4.091, -6.841, 110.6, 140.8, 150.6
1958, 3, 4.849, 2.108, 0.1106, 29.68, 42.47, 51.62
1958, 4, 7.106, 3.95, 1.454, 87.59, 114.3, 147.2
1958, 5, 10.32, 7.593, 5.475, 111.7, 161.6, 233.2
1958, 6, 14.67, 11.54, 9.054, 70.33, 87.82, 109.3
1958, 7, 18.69, 15.46, 12.93, 74.12, 91.58, 109.8
1958, 8, 19.34, 16.4, 14.27, 7.385, 12.83, 18.04
1958, 9, 11.17, 8.101, 5.604, 77.13, 97.92, 123
1958, 10, 6.825, 3.684, 0.9782, 62.28, 86.8, 112.8
1958, 11, -0.8829, -4.025, -6.945, 104.4, 149.9, 201.2
1958, 12, -3.375, -6.552, -9.9, 104.4, 147.6, 170.8
1959, 1, -2.812, -6.039, -9.136, 103.8, 161, 223.3
1959, 2, -0.8569, -4.171, -6.874, 126.5, 171, 190.2
1959, 3, 1.429, -1.894, -4.506, 44.51, 60.49, 62
1959, 4, 4, 1.162, -1.149, 75.09, 96.92, 116.7
1959, 5, 12.89, 9.889, 7.314, 72.68, 96.94, 149
1959, 6, 16.6, 13.7, 11.28, 30.5, 43.1, 71.62
1959, 7, 19.01, 16.28, 14.32, 9.98, 14.42, 26.08
1959, 8, 18.84, 16.02, 13.97, 5.897, 7.718, 11.68
1959, 9, 14.52, 11.67, 9.487, 114.9, 145.6, 167
1959, 10, 5.522, 2.45, -0.1643, 80.47, 116.4, 148.5
1959, 11, 0.7898, -2.614, -5.797, 204.7, 294.8, 409.2
1959, 12, -2.331, -5.511, -8.26, 248, 373.6, 540.1
1960, 1, -1.868, -4.967, -7.656, 149.6, 229.9, 308.1
1960, 2, 0.09847, -2.817, -5.057, 84.07, 116.5, 137.5
1960, 3, 3.25, 0.09317, -2.653, 117.7, 175.4, 225
1960, 4, 6.504, 3.498, 1.268, 49.67, 62.86, 63.36
1960, 5, 12.78, 9.883, 7.772, 45.86, 58.34, 69.63
1960, 6, 13.93, 11.21, 9.249, 81.46, 103.3, 149.8
1960, 7, 19.31, 16.6, 14.7, 1.517, 2.181, 4.766
1960, 8, 19.18, 16.45, 14.47, 52.45, 70.07, 104.3
1960, 9, 15.82, 12.58, 9.9, 11.23, 22.69, 41.1
1960, 10, 7.874, 5.007, 2.807, 102.8, 136.9, 167.3
1960, 11, 2.281, -0.7238, -3.646, 46.8, 62.14, 69.19
1960, 12, -4.492, -7.841, -11.27, 122.1, 181.7, 221.6
1961, 1, -2.161, -5.332, -8.32, 80.18, 112.6, 122.3
1961, 2, 1.35, -1.921, -4.747, 159.8, 226.1, 287.5
1961, 3, -0.741, -3.967, -6.797, 140.1, 193.9, 240.2
1961, 4, 10.81, 7.893, 5.651, 44.96, 64.04, 90.2
1961, 5, 11.98, 8.974, 6.751, 59.71, 83.94, 126
1961, 6, 13.49, 10.79, 8.496, 56.78, 70.18, 74.49
1961, 7, 19.73, 16.9, 14.72, 15.76, 21.1, 29.83
1961, 8, 18.3, 15.38, 13, 35.76, 46.1, 63.52
1961, 9, 16.33, 13.29, 11.01, 16.19, 20.36, 28.64
1961, 10, 6.564, 3.546, 0.9321, 95.69, 132.6, 173.1
1961, 11, -0.01982, -3.232, -6.293, 79.58, 116.4, 155.8
1961, 12, -2.859, -6.118, -9.188, 167.4, 239.9, 305.5
1962, 1, -1.816, -4.81, -7.476, 124.8, 174.8, 230
1962, 2, 0.4555, -3.037, -6.023, 143.4, 231.8, 300.4
1962, 3, 3.025, -0.09793, -2.7, 135.4, 188.8, 259.4
1962, 4, 4.688, 1.796, -0.3567, 100.8, 133.8, 149.7
1962, 5, 11.79, 8.951, 6.767, 79.86, 96.2, 119.5
1962, 6, 16.81, 14.13, 12.12, 123.7, 163.9, 261.4
1962, 7, 19.52, 16.79, 14.84, 8.108, 11.51, 21.23
1962, 8, 19.74, 16.76, 14.53, 38.89, 53.83, 72.91
1962, 9, 13.08, 9.908, 7.187, 179.5, 207.8, 224.4
1962, 10, 9.325, 6.182, 3.669, 61.3, 82.81, 100.4
1962, 11, 3.039, -0.1216, -3.006, 128.2, 184.1, 250.3
1962, 12, -2.603, -5.843, -9.131, 100.3, 139.5, 162.5
1963, 1, -7.586, -10.97, -14.41, 87.4, 113.5, 120
1963, 2, 1.466, -1.609, -4.084, 140, 192.4, 203.8
1963, 3, 0.009622, -2.817, -4.977, 137.3, 188.9, 230.6
1963, 4, 4.821, 2.108, 0.05367, 93.5, 130.7, 159.5
1963, 5, 10.74, 7.795, 5.352, 103.3, 132.1, 168.8
1963, 6, 14.58, 12.08, 10.21, 106.2, 138.8, 194.9
1963, 7, 18.14, 15.24, 13.09, 32.08, 49.06, 87.86
1963, 8, 18.46, 15.5, 13.19, 40.3, 58.55, 82.14
1963, 9, 13.01, 10.12, 7.951, 30.7, 39.79, 49.47
1963, 10, 5.686, 2.762, 0.1058, 88.9, 125.6, 167.1
1963, 11, 2.39, -0.8914, -3.972, 110, 148.3, 188.1
1963, 12, -1.707, -4.814, -7.975, 179.3, 291.2, 450.4
1964, 1, -2.053, -5.481, -8.448, 135.8, 194.2, 237.4
1964, 2, -1.748, -4.891, -7.661, 82.64, 120.6, 142.8
1964, 3, 2.809, -0.01368, -2.066, 52.22, 72.2, 86.45
1964, 4, 7.301, 4.356, 2.18, 67.62, 88.32, 85.03
1964, 5, 8.189, 5.261, 3.187, 120.4, 132.8, 151.1
1964, 6, 17.16, 14.6, 12.68, 11.67, 13.57, 21.06
1964, 7, 20.52, 17.6, 15.63, 12.29, 17.05, 27.91
1964, 8, 17.08, 14.29, 11.93, 24.58, 38.67, 50.08
1964, 9, 16, 12.97, 10.29, 46.36, 71.9, 114.6
1964, 10, 7.505, 4.539, 2.131, 64.88, 86.39, 108.9
1964, 11, 1.471, -1.618, -4.531, 150.9, 221.7, 324.4
1964, 12, -0.7719, -4.091, -7.52, 127.2, 181.3, 216.5
1965, 1, -4.136, -7.867, -11.47, 164.9, 238.1, 266.4
1965, 2, -1.387, -4.577, -7.386, 125.9, 168.9, 182.3
1965, 3, 4.125, 1.255, -1.065, 97.93, 124.9, 150.7
1965, 4, 8.31, 5.534, 3.756, 108.1, 137.1, 161.2
1965, 5, 10.1, 7.088, 4.86, 49.35, 67.72, 87.57
1965, 6, 15.95, 13.3, 11.13, 40.65, 48.45, 53.52
1965, 7, 18.87, 16.13, 14.08, 46.71, 69.47, 125.6
1965, 8, 17.6, 14.68, 12.52, 134.5, 154, 181.2
1965, 9, 12.03, 8.756, 5.988, 39.41, 48.02, 69.83
1965, 10, 9.132, 6.029, 3.235, 14.72, 20.07, 20.26
1965, 11, 1.997, -1.123, -4.052, 80.93, 112.2, 121.8
1965, 12, -0.3319, -3.625, -6.764, 91.42, 123, 128.8
1966, 1, -3.154, -6.13, -8.968, 89.67, 132.6, 166
1966, 2, -1.632, -4.631, -7.261, 69.24, 89.77, 101.3
1966, 3, 1.362, -1.414, -3.378, 110.5, 160.7, 202.8
1966, 4, 6.781, 3.798, 1.568, 101.6, 129.2, 146.6
1966, 5, 12.4, 9.536, 7.248, 12.99, 25.19, 52.5
1966, 6, 16.51, 13.93, 11.97, 22.89, 33.46, 49.11
1966, 7, 18.05, 15.29, 13.25, 9.172, 19.46, 40.5
1966, 8, 19.43, 16.64, 14.48, 8.192, 21.26, 47.19
1966, 9, 15.88, 13.14, 11.07, 38.89, 54.79, 65.75
1966, 10, 7.827, 4.868, 2.31, 17.18, 28.6, 34.57
1966, 11, 3.155, 0.2004, -2.388, 102.8, 145.5, 198.9
1966, 12, -1.558, -4.629, -7.358, 136.5, 194.4, 262.7
1967, 1, -6.576, -9.993, -13.37, 71.71, 110.2, 138.6
1967, 2, -0.3972, -3.409, -6.081, 41.68, 58.36, 58.38
1967, 3, 2.618, -0.3273, -2.792, 31.52, 41.76, 47.45
1967, 4, 6.362, 3.464, 1.248, 74.01, 98.3, 122.6
1967, 5, 12.76, 9.907, 7.793, 129.5, 144.1, 175.1
1967, 6, 18, 15.42, 13.49, 72.95, 91.43, 126.9
1967, 7, 18.09, 15.15, 12.76, 22.3, 33.28, 50.17
1967, 8, 19.3, 16.41, 14.32, 34.96, 38.13, 42.84
1967, 9, 16.4, 13.51, 11.17, 38.09, 44.89, 49.02
1967, 10, 7.313, 4.254, 1.691, 71.74, 89.67, 116.8
1967, 11, 1.056, -1.999, -4.606, 56.05, 74.91, 85.28
1967, 12, -1.869, -5.145, -8.435, 165.6, 234.2, 288.8
1968, 1, -1.684, -4.821, -7.649, 100.4, 140.5, 152.9
1968, 2, 1.258, -1.729, -4.642, 115.5, 160.9, 181
1968, 3, 3.987, 0.9651, -1.554, 68.52, 88.91, 99.27
1968, 4, 7.21, 4.556, 2.717, 99.62, 126.9, 133.1
1968, 5, 11.4, 8.626, 6.457, 79.94, 111.8, 170.5
1968, 6, 13.7, 10.64, 8.118, 47.97, 55.69, 54.44
1968, 7, 17.69, 14.84, 12.76, 159.3, 173.6, 201.1
1968, 8, 18.39, 15.46, 13.29, 30.65, 35.7, 46.53
1968, 9, 14.06, 11.12, 8.611, 50.86, 69.08, 94.02
1968, 10, 5.9, 2.901, 0.3466, 54.35, 82.47, 117.5
1968, 11, -1.119, -4.61, -7.939, 177.8, 236.7, 288.3
1968, 12, -3.652, -6.63, -9.475, 144.7, 211.2, 270.9
1969, 1, -3.502, -6.722, -9.422, 127.8, 196.5, 241.8
1969, 2, 1.332, -1.859, -4.678, 114.2, 168.1, 221.2
1969, 3, 4.092, 1.057, -1.404, 97.87, 132.3, 155.9
1969, 4, 7.34, 4.481, 2.334, 65.82, 81.34, 107.3
1969, 5, 14.57, 11.95, 9.749, 48.38, 63.75, 78.18
1969, 6, 17.66, 14.77, 12.3, 65.81, 89.17, 106.9
1969, 7, 20.76, 17.96, 15.75, 68.65, 83.37, 114.3
1969, 8, 20.97, 17.96, 15.46, 23.52, 46.56, 102.2
1969, 9, 18.18, 15.06, 12.5, 3.976, 4.321, 2.805
1969, 10, 8.903, 5.741, 3.058, 79.46, 95.65, 112.3
1969, 11, -0.6008, -3.836, -7.107, 114.6, 158.1, 202.3
1969, 12, -8.078, -11.3, -14.3, 40.61, 52.52, 45.67
1970, 1, -1.315, -4.432, -7.396, 134.5, 196.6, 247
1970, 2, -1.918, -5.074, -7.603, 64.45, 91.24, 123.4
1970, 3, 3.139, 0.4123, -1.58, 54.22, 78.58, 109.3
