# Created by WEAP: 1/2/2021 12:52:43 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_HadGEM2-ES_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: AZ_PHX_Lwr Verde (359,346 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (307,807 ha),  1000 - 2000 m (51,450 ha),  2000 - 3000 m (89 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, 10.94, 6.566, 2.909, 17.44, 26.17, 41.06
1950, 2, 15.46, 11.18, 7.436, 36.55, 59.77, 72.34
1950, 3, 18.61, 14.01, 10.38, 12.27, 21.86, 23.72
1950, 4, 20.14, 15.6, 12.01, 12.9, 24.22, 35.48
1950, 5, 27.13, 22.72, 18.93, 0.01735, 0.1015, 0.355
1950, 6, 29.83, 25.67, 22.22, 7.85, 23.06, 27.67
1950, 7, 32.83, 28.52, 25.01, 35.07, 41.39, 56.86
1950, 8, 32.82, 28.57, 24.93, 20.8, 36.09, 39.51
1950, 9, 28.05, 23.92, 20.22, 7.356, 10.61, 14.82
1950, 10, 23.59, 19.06, 15.3, 91.33, 139.8, 154.4
1950, 11, 16.64, 12.3, 8.784, 68.39, 91.27, 96.24
1950, 12, 11.17, 6.908, 3.455, 16.89, 44.43, 67.13
1951, 1, 11.4, 7.055, 3.457, 32.81, 47.38, 46.04
1951, 2, 15.14, 11.06, 7.481, 31.44, 68.65, 88.8
1951, 3, 15.66, 11.05, 7.529, 36.27, 80.59, 101.9
1951, 4, 21.1, 16.63, 12.9, 20.88, 46.23, 68.61
1951, 5, 25.92, 21.31, 17.48, 18.8, 33.17, 42.36
1951, 6, 29.27, 24.79, 21.16, 1.29, 5.115, 11.6
1951, 7, 33.31, 29.17, 25.62, 32.8, 66.11, 84.68
1951, 8, 32.51, 28.21, 24.61, 25.08, 48.14, 54.08
1951, 9, 28.2, 23.75, 20.03, 94.22, 172.5, 201.7
1951, 10, 23.7, 19.6, 15.84, 11.76, 20.84, 28.22
1951, 11, 18.53, 14.51, 10.69, 0.2314, 0.7025, 0.6216
1951, 12, 14.31, 10.31, 6.536, 0.1687, 0.7169, 1.233
1952, 1, 11.46, 6.998, 3.591, 80.29, 136.2, 184.3
1952, 2, 15.85, 11.26, 7.65, 22.37, 49.36, 65.87
1952, 3, 16.1, 11.41, 8.06, 78.81, 156.2, 215.6
1952, 4, 19.2, 14.32, 10.73, 17.03, 37.8, 48.38
1952, 5, 24.66, 19.85, 16.26, 0.06744, 0.1713, 0.5516
1952, 6, 31.83, 27.4, 23.78, 2.343, 3.271, 6.302
1952, 7, 34.28, 30.07, 26.74, 6.915, 11.97, 18.04
1952, 8, 30.6, 26.07, 22.68, 176.7, 242.8, 311.4
1952, 9, 29.17, 24.74, 21.01, 58.75, 74.26, 83.21
1952, 10, 21.2, 16.78, 13.37, 79.96, 116.9, 145.7
1952, 11, 15.94, 11.49, 7.926, 21.94, 47.22, 66.49
1952, 12, 10.38, 5.832, 2.438, 61.56, 131.8, 193
1953, 1, 11.33, 6.934, 3.351, 7.278, 19.03, 19.41
1953, 2, 15.11, 10.84, 7.346, 0.06009, 0.1809, 0.8577
1953, 3, 16.98, 12.16, 8.483, 95.02, 183.3, 238.7
1953, 4, 18.57, 13.62, 10.11, 52.1, 123, 180.6
1953, 5, 24.86, 20.46, 16.94, 6.364, 11.69, 14.75
1953, 6, 28.32, 23.73, 20.07, 13.39, 21.36, 25.89
1953, 7, 33.51, 29.24, 25.73, 34.52, 78.21, 107.4
1953, 8, 31.47, 26.91, 23.37, 80.11, 142.8, 168.2
1953, 9, 32.29, 28.03, 24.15, 7.119, 8.394, 10.65
1953, 10, 24.46, 20.44, 16.65, 0, 0.02386, 0.118
1953, 11, 16.02, 11.89, 8.278, 0.3628, 2.719, 6.077
1953, 12, 14.87, 10.42, 6.671, 23.99, 45.13, 58.69
1954, 1, 13.81, 9.296, 5.633, 23.52, 59.51, 79.26
1954, 2, 15.31, 10.75, 7.262, 40.05, 111.4, 164.3
1954, 3, 16.51, 11.75, 8.243, 34.77, 97.76, 125.1
1954, 4, 21.32, 16.66, 13.09, 29.3, 67.66, 119.9
1954, 5, 25.66, 21.25, 17.38, 1.362, 6.113, 13.06
1954, 6, 31.03, 26.52, 22.92, 1.609, 2.104, 3.141
1954, 7, 34.2, 29.84, 26.24, 19.34, 35.79, 52.08
1954, 8, 31.89, 27.31, 23.88, 116.8, 175.8, 227.2
1954, 9, 28.9, 24.31, 20.51, 9.255, 12.33, 13.08
1954, 10, 23.39, 19.29, 15.44, 9.338, 25.69, 39.23
1954, 11, 16.99, 12.76, 9.041, 0.445, 1.965, 4.081
1954, 12, 11.84, 7.558, 4.191, 36.33, 92.59, 130.7
1955, 1, 11.71, 7.351, 4.021, 92.99, 180.4, 211.3
1955, 2, 12.7, 8.018, 4.672, 47.19, 93.64, 129.8
1955, 3, 18.37, 13.82, 10.19, 9.93, 16.67, 20.7
1955, 4, 18.87, 14.23, 10.8, 17.89, 51.52, 78.32
1955, 5, 23.74, 19.3, 15.63, 1.966, 7.511, 10.63
1955, 6, 30.61, 26.35, 22.78, 0.3024, 0.8801, 1.608
1955, 7, 32.5, 28.26, 24.82, 27.87, 50.24, 53.04
1955, 8, 32.78, 28.57, 24.76, 43.68, 64.94, 65.59
1955, 9, 30.46, 26.72, 22.8, 1.057, 7.874, 10.69
1955, 10, 24.18, 20.39, 16.68, 0.003334, 0.001175, 0
1955, 11, 16.84, 12.61, 8.876, 18.53, 36.97, 45.48
1955, 12, 12.14, 7.874, 4.038, 4.614, 12.94, 23.18
1956, 1, 12.56, 8.293, 4.612, 54.71, 133.6, 161.6
1956, 2, 14.47, 9.99, 6.399, 11.54, 14.7, 21.08
1956, 3, 17.21, 12.9, 9.336, 1.764, 8.508, 13
1956, 4, 21.93, 17.35, 13.75, 2.922, 8.605, 13.84
1956, 5, 27.34, 23.07, 19.4, 0.01492, 0.02394, 0
1956, 6, 28.65, 24.42, 20.65, 2.456E-5, 0.002281, 0.0131
