# Created by WEAP: 1/2/2021 12:42:38 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_HadGEM2-ES_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: MT_SW_Upper Missouri (4,120,930 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (1,932,358 ha),  2000 - 3000 m (2,174,478 ha),  3000 - 4000 m (14,094 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

1950, 1, -8.643, -12.31, -15.45, 28.8, 67.48, 102.3
1950, 2, 0.1213, -4.088, -7.409, 12.04, 42.86, 68.67
1950, 3, -1.153, -4.256, -7.27, 14.97, 52.94, 110.4
1950, 4, 6.3, 2.165, -1.043, 48.68, 74.94, 126
1950, 5, 10.03, 6.496, 3.633, 42.14, 58.29, 91.77
1950, 6, 18.51, 14.66, 11.9, 99.45, 122.8, 163.7
1950, 7, 17.41, 13.83, 11.02, 56.34, 69.32, 108.4
1950, 8, 19.74, 16.14, 13.39, 20.46, 26.91, 30.97
1950, 9, 8.799, 5.358, 2.765, 54.1, 72.56, 122.9
1950, 10, 9.11, 5.81, 3.117, 25.02, 34.22, 46.95
1950, 11, 3.161, -0.8804, -3.807, 13.42, 30.29, 59.01
1950, 12, -5.843, -10.07, -13.25, 19.75, 55.81, 91.26
1951, 1, -7.9, -11.75, -14.82, 27.13, 65.23, 97.6
1951, 2, -3.206, -6.986, -10.03, 34.25, 85.4, 137.7
1951, 3, -0.1027, -4.401, -7.371, 16.5, 40.75, 71.6
1951, 4, 7.192, 3.227, 0.2347, 26.68, 41.71, 68.74
1951, 5, 13.42, 9.765, 6.765, 47.01, 85.92, 141.1
1951, 6, 16.4, 12.6, 9.741, 75.46, 101.8, 145
1951, 7, 16.77, 13.55, 10.9, 57.63, 60.25, 85.5
1951, 8, 16.67, 13.37, 10.66, 54.96, 67.76, 95
1951, 9, 6.331, 3.526, 0.798, 77.68, 97.37, 157
1951, 10, 7.974, 4.416, 1.766, 42.87, 80.74, 127.9
1951, 11, -1.559, -5.279, -8.106, 23.25, 56.3, 95.61
1951, 12, -1.913, -6.273, -9.635, 18.84, 54.11, 82.99
1952, 1, -5.714, -9.661, -13.02, 16.37, 55.13, 96.1
1952, 2, -1.259, -4.772, -8.029, 11.68, 41.64, 85.15
1952, 3, 3.776, -0.746, -3.969, 28.78, 67.96, 130.2
1952, 4, 0.3562, -3.294, -6.327, 56.02, 88.48, 132.7
1952, 5, 7.575, 3.918, 1.139, 80.29, 128, 196.2
1952, 6, 15.66, 12.12, 9.298, 86.25, 108.2, 172
1952, 7, 16.79, 13.44, 10.81, 27.62, 31.67, 40.14
1952, 8, 17.26, 13.52, 10.78, 85.64, 85.32, 110.3
1952, 9, 11.03, 7.853, 5.053, 43.05, 63.02, 92.53
1952, 10, 3.033, -0.06439, -2.732, 41.84, 75.24, 120.2
1952, 11, 0.9686, -3.065, -5.886, 15.75, 40.52, 77.34
1952, 12, -6.839, -10.56, -13.72, 14.24, 47.82, 92.38
1953, 1, -5.47, -9.735, -12.98, 24.12, 42.2, 71.33
1953, 2, -1.432, -5.611, -8.785, 23.47, 75.35, 136.1
1953, 3, 0.6909, -3.338, -6.487, 16.38, 36.84, 69.32
1953, 4, 8.612, 4.205, 1.083, 28.33, 58.84, 93.26
1953, 5, 12.15, 8.446, 5.554, 70.78, 116.1, 178.3
1953, 6, 15.17, 11.25, 8.388, 102.2, 135.6, 185.6
1953, 7, 18.19, 14.5, 11.69, 40.82, 53.67, 86.56
1953, 8, 18.12, 14.25, 11.36, 30.14, 41.6, 56.41
1953, 9, 14.81, 11.56, 8.694, 19.16, 27.34, 46.02
1953, 10, 4.22, 1.104, -1.65, 40.34, 56.32, 93.93
1953, 11, -1.679, -5.698, -8.749, 16.36, 46.38, 80.03
1953, 12, -4.901, -7.95, -11.08, 34.54, 108.1, 175.7
1954, 1, -5.831, -9.628, -12.69, 20.52, 67.87, 127.2
1954, 2, -0.1113, -3.875, -6.963, 39.67, 109.1, 164.1
1954, 3, 0.6681, -2.928, -5.769, 33.49, 81.22, 137.4
1954, 4, 4.576, 0.9882, -2.076, 65.13, 89.45, 157.4
1954, 5, 12.38, 8.573, 5.611, 46.64, 70.79, 106
1954, 6, 13.85, 10.53, 7.98, 47.72, 44.73, 65.41
1954, 7, 18.93, 15.43, 12.62, 31.57, 35.63, 55.3
1954, 8, 19.01, 15.43, 12.71, 30.76, 46.98, 81.69
1954, 9, 12.24, 8.733, 6.071, 31.19, 32.86, 55.89
1954, 10, 8.533, 5.323, 2.771, 52.07, 90.67, 137.1
1954, 11, 2.018, -1.631, -4.511, 18.84, 39.71, 74.77
1954, 12, -4.068, -8.104, -11.15, 22.62, 64.04, 102.6
1955, 1, -3.278, -7.522, -10.59, 15.35, 50.25, 89.55
1955, 2, -1.801, -6.433, -9.794, 2.597, 23.75, 42.51
1955, 3, 1.587, -2.205, -5.344, 21.62, 46.45, 77.1
1955, 4, 5.295, 0.916, -2.045, 55.8, 91.64, 153.1
1955, 5, 7.865, 3.898, 1.215, 91.92, 134.2, 216.4
1955, 6, 14.19, 10.5, 7.832, 56.13, 72.05, 99.18
1955, 7, 19.14, 15.96, 13.28, 40.15, 36.53, 49.78
1955, 8, 18.88, 15.22, 12.28, 21.17, 46.09, 73.77
1955, 9, 14.75, 11.43, 8.621, 16.62, 20.3, 25.5
1955, 10, 7.16, 3.451, 0.4832, 25.51, 53.6, 89.61
1955, 11, -0.803, -4.614, -7.411, 21.8, 73.2, 128.7
1955, 12, -4.41, -8.622, -11.65, 27.28, 62.58, 96.17
1956, 1, -8.321, -11.51, -14.78, 22.14, 57.34, 91.59
1956, 2, -0.9198, -5.878, -9.386, 3.8, 10.75, 19.47
1956, 3, 4.083, -0.7732, -4.107, 18.32, 48.87, 86.35
1956, 4, 5.783, 1.588, -1.56, 32.08, 64.95, 108.4
1956, 5, 11.85, 7.803, 4.882, 34.31, 52.77, 79.3
1956, 6, 11.01, 7.042, 4.321, 88.11, 120.9, 175.4
1956, 7, 18.32, 14.77, 11.97, 60.53, 75.35, 122
1956, 8, 18.45, 14.93, 12.15, 13.17, 16.06, 27.38
1956, 9, 11.22, 7.963, 5.506, 36.19, 59.57, 80.79
1956, 10, 7.104, 3.455, 0.5567, 18.31, 32.1, 50.39
1956, 11, -0.2079, -4.105, -7.028, 31.66, 60.61, 110.2
1956, 12, -3.217, -7.259, -10.24, 15.13, 53.68, 93.45
1957, 1, -9.164, -10.72, -13.65, 22.27, 76.5, 126
1957, 2, -3.886, -8.557, -11.86, 17.12, 52.48, 96.92
1957, 3, -1.752, -5.506, -8.331, 22.7, 43.33, 68.82
1957, 4, 3.704, 0.2202, -2.812, 37.63, 68.72, 116.9
1957, 5, 8.62, 4.837, 2.019, 50.71, 82.42, 123.4
1957, 6, 14.92, 11.27, 8.538, 43.82, 44.8, 63.09
1957, 7, 21.04, 17.24, 14.37, 47.55, 61.22, 78.64
