# Created by WEAP: 12/14/2020 6:12:10 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: AZ_APS_SW_Lwr Colorado (2,030,759 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (2,023,934 ha),  1000 - 2000 m (6,825 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m

1970, 1, 2.081, 2.974, 12.18, 8.841, 2.268, 2.233
1970, 2, 21.46, 24.77, 16.31, 13.31, 2.629, 2.707
1970, 3, 33.28, 62.45, 17.13, 13.61, 3, 2.862
1970, 4, 0.3926, 3.055, 19.34, 16.07, 3.134, 2.918
1970, 5, 0, 0, 27.02, 24.23, 2.85, 2.728
1970, 6, 0.01132, 0, 31.4, 28.56, 2.743, 2.542
1970, 7, 3.253, 18.73, 35.32, 32.47, 2.283, 2.076
1970, 8, 29.25, 61.63, 34.67, 31.43, 1.922, 1.714
1970, 9, 3.084, 14.65, 29.34, 25.8, 2.558, 2.521
1970, 10, 3.811, 2.6, 22.52, 19.24, 2.445, 2.473
1970, 11, 1.436, 3.712, 17.64, 14.53, 2.415, 2.517
1970, 12, 4.577, 16.87, 12.02, 8.66, 2.196, 2.224
1971, 1, 0.6772, 0.8155, 12.56, 9.452, 2.911, 3.013
1971, 2, 2.662, 10.36, 15.33, 12.08, 2.59, 2.589
1971, 3, 0.3158, 0.129, 18.87, 15.82, 3.018, 2.912
1971, 4, 4.137, 1.396, 20.83, 17.46, 3.218, 3.113
1971, 5, 1.435, 9.585, 23.85, 20.78, 2.826, 2.683
1971, 6, 0.0001051, 0, 30.45, 27.78, 2.448, 2.368
1971, 7, 1.767, 6.469, 34.93, 32.41, 2.711, 2.682
1971, 8, 47.16, 95.59, 33.12, 29.79, 2.177, 2.068
1971, 9, 24.1, 31.45, 30.34, 27.09, 1.994, 1.98
1971, 10, 2.544, 6.08, 21.17, 17.98, 2.729, 2.802
1971, 11, 0.131, 0.5843, 16.02, 12.92, 2.185, 2.211
1971, 12, 3.359, 11.41, 10.78, 7.389, 2.488, 2.51
1972, 1, 9.651E-5, 0, 11.4, 8.271, 2.731, 2.896
1972, 2, 0.002234, 0, 16.33, 13.2, 2.25, 2.286
1972, 3, 3.092E-5, 0, 22.42, 19.52, 2.011, 1.844
1972, 4, 0.007818, 0.07085, 22.68, 19.66, 2.711, 2.582
1972, 5, 0.4526, 1.643, 26.66, 23.58, 2.316, 2.212
1972, 6, 10.9, 18.58, 31.74, 28.69, 2.004, 1.835
1972, 7, 1.213, 3.472, 35.69, 32.78, 2.576, 2.459
1972, 8, 11.98, 21.26, 32.92, 29.97, 2.176, 2.025
1972, 9, 5.166, 13.2, 29.98, 26.86, 1.813, 1.72
1972, 10, 91.15, 70.45, 22.05, 18.65, 1.781, 1.692
1972, 11, 15.5, 24.21, 15.05, 11.5, 2.468, 2.606
1972, 12, 3.924, 17.02, 11.56, 8.213, 3.074, 3.221
1973, 1, 2.06, 4.817, 11.13, 7.36, 2.98, 3.066
1973, 2, 29.29, 50.18, 14.62, 10.87, 2.553, 2.688
1973, 3, 31.7, 76.32, 15.02, 10.86, 2.565, 2.394
1973, 4, 0.04301, 1.304, 21, 17.51, 3.509, 3.27
1973, 5, 0.9127, 1.544, 27.67, 24.64, 2.583, 2.482
1973, 6, 0.162, 1.552, 32.22, 29.47, 2.923, 2.885
1973, 7, 2.444, 20.82, 34.71, 32.22, 2.583, 2.441
1973, 8, 21.09, 25.13, 33.64, 30.61, 2.331, 2.144
1973, 9, 0, 0, 29.52, 26.57, 2.2, 2.008
1973, 10, 0.01289, 0, 24.45, 21.47, 1.931, 1.884
1973, 11, 8.526, 13.16, 16.67, 13.39, 2.349, 2.26
1973, 12, 0.2289, 0.02748, 13.61, 10.48, 2.456, 2.454
1974, 1, 23.41, 40.39, 11.97, 8.406, 2.8, 2.744
1974, 2, 0.006272, 0.1664, 14.37, 11.12, 2.869, 2.801
1974, 3, 8.792, 22.5, 18.86, 15.34, 2.918, 2.797
1974, 4, 0.005285, 0.001159, 21.95, 18.46, 3.284, 3.14
1974, 5, 0.002827, 0, 26.99, 23.84, 3.424, 3.261
1974, 6, 0, 0, 33.68, 30.76, 2.997, 2.824
1974, 7, 8.076, 24.44, 33.85, 30.6, 2.691, 2.576
1974, 8, 10.5, 29.7, 33.49, 30.11, 2.516, 2.349
1974, 9, 1.848, 4.204, 31.65, 27.91, 2.099, 2.111
1974, 10, 15.56, 18.59, 24.55, 21.17, 1.958, 1.962
1974, 11, 0.7995, 5.39, 17.33, 14.15, 1.929, 1.917
1974, 12, 14.07, 20.69, 11.39, 8.218, 2.306, 2.363
1975, 1, 1.95, 7.129, 12.35, 9.231, 2.955, 3.015
1975, 2, 1.416, 3.534, 14.01, 10.65, 2.465, 2.403
1975, 3, 9.107, 24.21, 16.31, 12.95, 3.223, 3.115
1975, 4, 8.643, 10.43, 17.67, 14.36, 3.29, 3.108
1975, 5, 0.0134, 0.213, 25.14, 22.12, 3.24, 3.043
1975, 6, 5.03E-5, 0, 30.53, 27.58, 3.05, 2.869
1975, 7, 9.46, 40.83, 34.25, 31.52, 2.615, 2.563
1975, 8, 1.657, 3.845, 33.73, 30.63, 2.162, 2.037
1975, 9, 17.2, 29.19, 31.12, 27.85, 2.161, 2.137
1975, 10, 2.18, 3.855, 23.18, 20.41, 2.075, 2.021
1975, 11, 3.992, 14.37, 17.02, 14.01, 2.663, 2.706
1975, 12, 5.628, 10.29, 13.46, 10.5, 2.881, 3.036
1976, 1, 1.125, 5.455, 13.62, 10.58, 2.759, 2.89
1976, 2, 52.92, 58.92, 15.84, 12.63, 3.05, 3.064
1976, 3, 1.067, 3.968, 17.05, 13.66, 3.286, 3.21
1976, 4, 14.88, 33.97, 20.14, 17.12, 2.885, 2.7
1976, 5, 2.041, 5.987, 27.13, 24, 2.81, 2.679
1976, 6, 0.02299, 0.1673, 31.03, 27.96, 2.679, 2.527
1976, 7, 20.18, 53.29, 33.67, 31.27, 2.275, 2.183
1976, 8, 0.8765, 8.833, 32.57, 29.96, 2.112, 1.952
1976, 9, 75.31, 124.1, 28.23, 25.27, 1.419, 1.425
1976, 10, 19.54, 59.56, 23.57, 20.03, 2.408, 2.453
1976, 11, 11.46, 15.75, 18.2, 14.93, 3.052, 3.083
1976, 12, 8.577, 11.73, 13.08, 9.745, 3.408, 3.579
1977, 1, 9.92, 21.11, 12.6, 8.95, 2.722, 2.918
1977, 2, 0.5411, 1.385, 16.76, 13.55, 2.906, 3.043
1977, 3, 1.947, 3.618, 15.52, 11.67, 2.98, 2.856
1977, 4, 1.342, 5.792, 22.8, 19.61, 2.085, 2.002
1977, 5, 6.944, 19.59, 22.99, 19.8, 2.712, 2.515
1977, 6, 0.8241, 1.041, 32.49, 29.75, 2.459, 2.324
1977, 7, 3.413, 9.964, 34.97, 31.95, 2.155, 2.06
1977, 8, 57.35, 36.1, 33.68, 30.87, 2.119, 1.996
1977, 9, 11.18, 17.76, 30.35, 27.27, 1.827, 1.634
1977, 10, 8.302, 13.5, 25.66, 21.97, 1.639, 1.701
1977, 11, 0.5092, 1.694, 18.69, 14.79, 2.386, 2.482
1977, 12, 17.08, 14.12, 15.04, 11.55, 1.946, 2.012
1978, 1, 57.73, 96.85, 12.97, 9.475, 2.228, 2.372
1978, 2, 38.97, 69.51, 15.15, 11.38, 3.119, 3.164
1978, 3, 24.47, 73.08, 19.43, 15.49, 2.572, 2.466
1978, 4, 3.897, 10.53, 20.77, 16.96, 2.764, 2.522
1978, 5, 0.5477, 1.161, 26.28, 22.65, 2.748, 2.563
1978, 6, 0, 0, 32.85, 29.54, 2.676, 2.674
1978, 7, 6.576, 18.57, 35.16, 32.06, 2.292, 2.201
1978, 8, 15.74, 24.76, 33.36, 30.17, 2.127, 2.075
1978, 9, 1.234, 1.99, 29.74, 26.54, 2.315, 2.255
1978, 10, 45.31, 45.59, 26.42, 22.81, 1.722, 1.713
1978, 11, 20.25, 41.47, 16.3, 12.41, 2.186, 2.293
1978, 12, 33.43, 63.51, 10.31, 6.365, 3.337, 3.453
1979, 1, 53.16, 62.07, 9.648, 5.438, 2.876, 2.916
1979, 2, 4.041, 7.008, 13.74, 9.479, 2.213, 2.251
1979, 3, 25.51, 63.53, 17.03, 12.79, 2.379, 2.367
1979, 4, 0.01422, 0.1416, 21.79, 17.72, 2.426, 2.26
1979, 5, 9.817, 8.751, 25.93, 22.39, 2.975, 2.837
1979, 6, 0.3374, 0.4071, 31.68, 28.36, 2.591, 2.482
1979, 7, 19.12, 49.38, 33.91, 30.75, 2.364, 2.202
1979, 8, 38.71, 51.22, 32.12, 29.11, 1.95, 1.837
1979, 9, 4.328, 5.557, 32.86, 30.01, 1.906, 1.831
1979, 10, 0.6276, 2.288, 25.42, 22.35, 2, 1.837
1979, 11, 0.6196, 0.06354, 15.97, 12.54, 2.828, 2.99
1979, 12, 4.411, 7.268, 14.34, 10.9, 3.153, 3.27
1980, 1, 34.68, 65.99, 14.46, 10.55, 3.167, 3.203
1980, 2, 56.66, 99.02, 16.65, 12.93, 3.487, 3.54
1980, 3, 22.29, 37.7, 16.83, 12.83, 2.695, 2.619
1980, 4, 7.27, 20.34, 21.72, 18.09, 2.861, 2.717
1980, 5, 1.398, 5.083, 24.12, 20.68, 3.029, 2.81
1980, 6, 0.544, 1.332, 31.45, 28.59, 2.649, 2.517
1980, 7, 7.129, 23.71, 35.85, 32.97, 2.646, 2.463
1980, 8, 19.69, 13.8, 33.95, 31.03, 2.598, 2.524
1980, 9, 4.01, 8.037, 30.77, 27.89, 2.007, 1.933
1980, 10, 0.7046, 4.464, 24.91, 21.92, 2.602, 2.615
1980, 11, 0.02087, 0, 18.29, 15.22, 2.48, 2.626
1980, 12, 1.507, 2.658, 16.29, 13.08, 3.392, 3.664
1981, 1, 8.2, 11.67, 15.73, 12.19, 2.914, 3.114
1981, 2, 9.628, 21.39, 16.61, 13.16, 2.95, 3.1
1981, 3, 25.41, 52.66, 18.09, 14.21, 2.687, 2.576
1981, 4, 1.074, 1.22, 23.91, 20.87, 2.404, 2.301
1981, 5, 3.232, 2.247, 26.33, 23.42, 3.178, 3.049
