# Created by WEAP: 5/11/2021 9:09:46 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_MIROC5_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_CEN_Upr Stanislaus (85,143 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (4,667 ha),  1000 - 2000 m (47,497 ha),  2000 - 3000 m (32,979 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 5.537, 2.998, -0.4147, 34.06, 38.49, 50.4
2006, 2, 7.6, 4.783, 1.265, 320.7, 335.8, 379.9
2006, 3, 7.022, 3.995, 0.4359, 235.2, 276.6, 340
2006, 4, 12.16, 9.444, 5.954, 40.29, 47.03, 53.36
2006, 5, 15.28, 12.55, 9.406, 1.346, 2.337, 5.351
2006, 6, 22.22, 19.3, 15.2, 0.1684, 1.269, 10.97
2006, 7, 25.18, 22.38, 18.7, 0.148, 1.418, 6.191
2006, 8, 24.6, 21.73, 18.16, 0, 0.002127, 0.2892
2006, 9, 18.65, 15.84, 12.36, 107, 125.2, 124.1
2006, 10, 14.52, 11.64, 7.791, 86.9, 104.1, 110.5
2006, 11, 8.36, 5.533, 1.725, 196.6, 210, 210.9
2006, 12, 5.694, 2.79, -1.374, 260.6, 286.9, 311.1
2007, 1, 6.975, 4.451, 1.233, 118.6, 124.9, 147.5
2007, 2, 6.482, 3.645, -0.1095, 181.7, 191.4, 203.6
2007, 3, 8.338, 5.463, 1.913, 69.89, 75.54, 89.48
2007, 4, 11.72, 8.928, 5.874, 52.67, 63.73, 91.06
2007, 5, 19.91, 17.22, 13.75, 6.688, 11.23, 22.07
2007, 6, 21.8, 18.98, 15.07, 20.82, 27.24, 40.45
2007, 7, 25.11, 22.27, 18.61, 1.041, 2.03, 8.533
2007, 8, 21.67, 18.82, 15.3, 1.165, 6.527, 21.33
2007, 9, 21.61, 18.82, 15.28, 0.3824, 0.8073, 3.891
2007, 10, 13.76, 11.15, 7.546, 39.37, 46.05, 43.07
2007, 11, 9.267, 6.563, 2.56, 260.6, 316, 391.8
2007, 12, 6.538, 3.894, -0.1004, 44.48, 46.91, 52.32
2008, 1, 6.061, 3.301, -0.5186, 233.1, 243.2, 256.6
2008, 2, 6.469, 3.519, -0.1529, 329, 349, 375
2008, 3, 8.777, 6.059, 2.766, 38.12, 39.99, 39.85
2008, 4, 9.972, 7.19, 4.108, 92.88, 108.1, 117.7
2008, 5, 13.6, 10.85, 7.678, 85.94, 110.6, 142.6
2008, 6, 19.58, 16.71, 12.93, 2.837, 3.594, 10.67
2008, 7, 25.27, 22.41, 18.71, 3.672, 5.379, 15.34
2008, 8, 23.48, 20.71, 17.01, 0.005431, 0.4227, 3.8
2008, 9, 22.44, 19.75, 16.22, 0.8843, 2.834, 12.03
2008, 10, 15.73, 12.94, 9.295, 77.61, 96.57, 125.6
2008, 11, 10.53, 7.768, 3.973, 118.4, 148.8, 194.6
2008, 12, 7.528, 4.989, 1.396, 27.71, 33.19, 39.17
2009, 1, 7.028, 4.179, 0.8567, 616.3, 665.6, 743
2009, 2, 6.634, 4.007, 0.8563, 41.92, 43.22, 44.4
2009, 3, 10.3, 7.619, 4.411, 189.1, 204.9, 228.7
2009, 4, 9.786, 6.742, 3.285, 254.8, 277.9, 298.8
2009, 5, 15.72, 13, 9.586, 7.495, 14.04, 30.78
2009, 6, 18.6, 15.66, 11.76, 11.95, 13.04, 19.47
2009, 7, 22.84, 19.95, 16.31, 0.4817, 3.651, 13.61
