# Created by WEAP: 5/11/2021 9:09:51 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_MIROC5_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: ID_E_Middle Bear (78,864 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (52,730 ha),  2000 - 3000 m (26,134 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -3.323, -5.958, 46.29, 86.6
2006, 2, -1.495, -4.152, 79.87, 135.6
2006, 3, 1.773, -0.8114, 90.66, 137.7
2006, 4, 7.878, 5.198, 44.57, 62.24
2006, 5, 14.65, 12.08, 41.34, 49.3
2006, 6, 15.84, 13.27, 30.75, 34.88
2006, 7, 22.95, 20.37, 54.69, 61.96
2006, 8, 20.45, 17.84, 68.19, 73.16
2006, 9, 13.68, 11.09, 50.29, 56.07
2006, 10, 9.164, 6.585, 52.85, 77.4
2006, 11, 2.007, -0.5712, 21.91, 33.49
2006, 12, -4.48, -7.116, 89.26, 161.1
2007, 1, -5.017, -7.624, 39.4, 76.78
2007, 2, -2.038, -4.665, 22.06, 41.61
2007, 3, 1.553, -1.006, 27.83, 42.92
2007, 4, 11.73, 9.055, 53.01, 76.52
2007, 5, 17.1, 14.43, 91.88, 120.7
2007, 6, 18.82, 16.24, 32.96, 42.66
2007, 7, 21.14, 18.56, 5.645, 6.392
2007, 8, 20.39, 17.84, 23.79, 26.04
2007, 9, 16.04, 13.43, 56.85, 66.2
2007, 10, 5.201, 2.595, 58.82, 85.79
2007, 11, 1.2, -1.374, 80.88, 126.7
2007, 12, -7.318, -9.909, 32.38, 54.29
2008, 1, -5.133, -7.751, 55.93, 106.9
2008, 2, -2.631, -5.334, 50.08, 81.35
2008, 3, -1.091, -3.7, 63.27, 99.84
2008, 4, 4.58, 1.964, 45.65, 64.5
2008, 5, 12.87, 10.26, 96.59, 124.2
2008, 6, 16.36, 13.81, 22.81, 27.33
2008, 7, 22.66, 20.09, 20.14, 23.37
2008, 8, 20.19, 17.58, 1.322, 1.624
2008, 9, 14.48, 11.84, 43.3, 46.24
2008, 10, 10.7, 8.125, 62.39, 80.55
2008, 11, 2.436, -0.1273, 13.33, 20.17
2008, 12, -2.281, -4.9, 13.83, 25.53
2009, 1, -1.544, -4.167, 71.23, 134
2009, 2, -4.563, -7.25, 3.322, 6.729
2009, 3, 6.989, 4.327, 25.4, 42
2009, 4, 11.96, 9.297, 119.4, 167.7
2009, 5, 13.55, 10.95, 61.54, 79.14
2009, 6, 16.11, 13.54, 33.63, 43.42
2009, 7, 21.12, 18.52, 28.42, 29.05
2009, 8, 20.91, 18.33, 13.27, 14.42
2009, 9, 15.68, 13.08, 34.21, 43.39
2009, 10, 6.934, 4.318, 63.86, 85.19
2009, 11, 1.745, -0.827, 56.42, 91.65
2009, 12, -6.678, -9.287, 48.29, 82.4
2010, 1, -5.183, -7.855, 53.2, 96.99
2010, 2, -5.409, -8.012, 46.42, 84.64
2010, 3, 1.946, -0.682, 62.08, 100.6
2010, 4, 8.769, 6.121, 73.75, 103.8
2010, 5, 13.84, 11.26, 39.39, 54.78
2010, 6, 16.75, 14.17, 59.25, 65.94
2010, 7, 23.75, 21.17, 33.12, 34.54
2010, 8, 20.64, 18.07, 4.455, 5.49
2010, 9, 15.68, 13.04, 72.73, 80.25
2010, 10, 10.49, 7.874, 50.35, 72.96
2010, 11, 2.837, 0.298, 43.57, 73.13
