# Created by WEAP: 5/11/2021 9:10:11 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_MIROC5_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_SCE_VLY_Upr NF Kern (204,302 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (34,267 ha),  2000 - 3000 m (100,506 ha),  3000 - 4000 m (68,838 ha),  4000 - 5000 m (691 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, 0.9458, -3.717, -8.728, -10.28, 43.23, 24.03, 6.795, 7.088
2006, 2, 4.267, -0.1629, -4.928, -6.152, 149.6, 133.8, 144.5, 149.2
2006, 3, 5.102, 0.6847, -4.453, -5.84, 110.2, 103, 114.7, 121.8
2006, 4, 9.284, 5.07, 0.1209, -1.246, 62.38, 51.12, 41.33, 41.6
2006, 5, 13.78, 9.598, 4.731, 3.758, 0, 0, 0.002936, 0.01528
2006, 6, 19.42, 15.28, 10.52, 9.59, 15.57, 16.03, 16.24, 20.81
2006, 7, 22.65, 18.44, 13.57, 12.38, 52.11, 57.61, 52.47, 63.79
2006, 8, 22.13, 17.89, 13.04, 11.81, 23.47, 33.82, 38.18, 38.72
2006, 9, 15.72, 11.6, 6.783, 5.414, 124.5, 164.2, 239.5, 291.6
2006, 10, 10.54, 6.243, 1.393, 0.2488, 84.49, 69.81, 62.68, 70.01
2006, 11, 4.143, -0.4877, -5.586, -6.98, 198.3, 149.2, 126.1, 148.9
2006, 12, 0.8279, -3.832, -8.766, -10.29, 168.1, 138.7, 119.4, 128
2007, 1, 2.704, -2.01, -6.977, -8.342, 22.51, 21.92, 26.78, 28.73
2007, 2, 3.865, -0.8496, -6, -7.329, 101.6, 83.19, 76.94, 81.14
2007, 3, 5.864, 1.529, -3.427, -4.965, 10.36, 10.8, 12.26, 12.64
2007, 4, 9.475, 5.089, 0.1052, -0.9022, 10.12, 11.5, 15.8, 19.18
2007, 5, 16.96, 12.86, 8.163, 7.155, 18.94, 19.28, 24.47, 28.32
2007, 6, 19.91, 15.86, 11.07, 10.11, 8.135, 7.787, 8.518, 9.876
2007, 7, 22.63, 18.49, 13.72, 12.63, 5.629, 8.878, 11.34, 15.93
2007, 8, 19.52, 15.38, 10.56, 9.261, 0.9497, 1.832, 3.44, 6.111
2007, 9, 19.36, 15.28, 10.45, 8.999, 12.74, 9.596, 6.241, 6.905
2007, 10, 9.789, 5.377, 0.4116, -0.9583, 28.31, 26.15, 25.17, 29.23
2007, 11, 4.7, 0.2518, -4.788, -6.055, 136.2, 126.8, 142.8, 169
2007, 12, 1.512, -3.479, -8.57, -9.992, 46.85, 40.3, 35.52, 35
2008, 1, 2.046, -2.624, -7.768, -9.557, 111.8, 94.5, 96.14, 97.65
2008, 2, 2.95, -1.495, -6.389, -7.839, 195.2, 165.4, 161, 168.8
2008, 3, 5.798, 1.186, -4.02, -5.512, 28.42, 25.38, 27.25, 29.47
2008, 4, 7.093, 2.871, -2.037, -3.14, 60.94, 51.85, 48.41, 55.33
2008, 5, 11.11, 6.812, 1.836, 0.7319, 136.2, 128.9, 133.6, 140.8
2008, 6, 16.72, 12.74, 8.058, 7.229, 0.2099, 0.5373, 1.039, 1.138
2008, 7, 22.78, 18.65, 13.84, 12.64, 3.425, 7.922, 13.08, 13.38
2008, 8, 21.2, 17.14, 12.43, 11.21, 0.07497, 0.1701, 0.3993, 1.072
2008, 9, 18.92, 14.82, 10.02, 8.538, 7.549, 11.32, 24.61, 35.63
2008, 10, 10.72, 6.332, 1.455, 0.103, 25.09, 24.65, 28.26, 29
2008, 11, 5.553, 0.9117, -4.159, -5.684, 65.61, 61.4, 67.82, 74.48
2008, 12, 2.09, -2.706, -7.574, -8.926, 18.74, 14.68, 13.71, 14.49
2009, 1, 2.899, -1.677, -6.663, -8.375, 941.7, 714.3, 630.8, 738.2
2009, 2, 2.701, -1.929, -7.021, -8.375, 66.56, 49.62, 34.45, 32.56
2009, 3, 6.897, 2.482, -2.591, -4.108, 173.5, 133.9, 118, 138.1
2009, 4, 6.137, 1.883, -2.96, -3.98, 234.3, 193.8, 160.9, 155.7
2009, 5, 12.97, 8.763, 3.719, 2.537, 7.318, 7.82, 11.51, 13.45
2009, 6, 15.76, 11.7, 6.92, 5.929, 3.124, 3.516, 4.884, 5.918
2009, 7, 20.55, 16.32, 11.41, 10.24, 15.24, 20.36, 24.96, 34.07
2009, 8, 20.41, 16.28, 11.56, 10.35, 5.835, 12.28, 21.06, 23.95
