# Created by WEAP: 5/11/2021 9:09:33 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_MIROC5_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Feather (395,493 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (386,252 ha),  1000 - 2000 m (9,241 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

2006, 1, 8.524, 6.055, 43.85, 100.3
2006, 2, 12.05, 6.973, 233.7, 515.7
2006, 3, 12.09, 6.167, 195.7, 460.6
2006, 4, 17.47, 12.16, 25.9, 63.8
2006, 5, 19.92, 14.98, 5.152, 18.81
2006, 6, 27.19, 22.1, 0.007642, 0.5939
2006, 7, 28.9, 24.78, 0.002659, 0.0007622
2006, 8, 28.84, 24.81, 0.000793, 0.02359
2006, 9, 22.93, 18.63, 8.323, 13.97
2006, 10, 19.03, 14.45, 47.98, 75.34
2006, 11, 11.9, 8.237, 132, 278.6
2006, 12, 8.194, 4.431, 126.5, 363.3
2007, 1, 9.729, 7.915, 83.84, 205.2
2007, 2, 11.03, 6.307, 108.9, 222.2
2007, 3, 13.31, 7.988, 54.15, 106.6
2007, 4, 17.15, 12.13, 25.39, 51.98
2007, 5, 24.2, 19.99, 0.4166, 3.682
2007, 6, 26.36, 21.11, 8.154, 18.19
2007, 7, 29.35, 24.72, 0.9602, 3.974
2007, 8, 25.36, 21.17, 3.041, 0.7918
2007, 9, 25.27, 21.13, 7.835, 9.809
2007, 10, 18.31, 14.24, 22.22, 45.53
2007, 11, 12.57, 8.917, 172, 388.7
2007, 12, 8.699, 6.564, 26.41, 63.5
2008, 1, 8.795, 5.648, 198.8, 377.7
2008, 2, 11.28, 6.32, 270.9, 486.7
2008, 3, 13.7, 8.833, 17.95, 38.34
2008, 4, 16.05, 10.14, 26.54, 84.2
2008, 5, 18.66, 13.53, 57.38, 128.5
2008, 6, 24.38, 19.42, 4.386, 18.65
2008, 7, 28.77, 24.65, 3.304, 4.113
2008, 8, 26.9, 22.73, 0.009367, 0.2192
2008, 9, 27.17, 22.99, 5.223, 4.735
2008, 10, 19.63, 15.27, 47.33, 91.12
2008, 11, 13.6, 10.23, 75.04, 177.8
2008, 12, 9.498, 7.681, 25.2, 48.69
2009, 1, 10.4, 6.886, 416.9, 831
2009, 2, 11.36, 7.222, 28.22, 50.38
2009, 3, 15.17, 10.38, 111.7, 233
2009, 4, 15.57, 9.778, 71.85, 206.6
2009, 5, 20.82, 15.63, 12.98, 33.82
2009, 6, 23.43, 17.66, 5.233, 12.34
2009, 7, 26.57, 22.21, 0.5151, 0.07277
2009, 8, 26.52, 22.49, 3.711, 2.825
2009, 9, 24.2, 20.24, 43.77, 115.6
2009, 10, 18.65, 13.76, 36.65, 77.87
2009, 11, 12.64, 9.173, 61.6, 108.6
2009, 12, 8.956, 5.556, 213, 488.7
2010, 1, 10.17, 7.278, 124.9, 258
2010, 2, 12.13, 8.333, 121.2, 272.1
2010, 3, 14.13, 9.215, 68.86, 160.5
2010, 4, 14.49, 8.105, 196.2, 421.3
2010, 5, 17.09, 11.35, 34.92, 92.63
2010, 6, 27.22, 22.39, 0.07099, 0.1254
2010, 7, 30.52, 26.14, 0.2528, 0.02366
2010, 8, 27.11, 23.29, 0.01941, 0.00426
2010, 9, 23.06, 18.94, 37.1, 74.01
2010, 10, 21, 17.3, 37.4, 71.25
2010, 11, 12.46, 8.401, 181.5, 394.6
2010, 12, 10.06, 7.964, 61.69, 166.9
2011, 1, 8.167, 5.726, 62.78, 109.7
2011, 2, 10.38, 6.071, 99.41, 189.8
2011, 3, 10.23, 4.168, 95.98, 204.3
2011, 4, 15.01, 8.852, 75.72, 141.2
2011, 5, 17.39, 11.97, 35.64, 74.67
2011, 6, 23.56, 18.65, 3.436, 7.711
2011, 7, 29.2, 24.88, 0.4022, 0.02524
2011, 8, 29.01, 25.1, 10.24, 9.331
2011, 9, 27.15, 22.71, 12.86, 28.86
2011, 10, 18.72, 14.1, 51.19, 82.13
2011, 11, 13.44, 9.786, 185.3, 358.7
2011, 12, 9.422, 7.149, 29.84, 52.6
2012, 1, 10.11, 7.039, 246.4, 556.7
