# Created by WEAP: 5/11/2021 9:06:52 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_MIROC5_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Snoqualmie (157,887 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (114,475 ha),  1000 - 2000 m (43,339 ha),  2000 - 3000 m (73 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 3.752, -1.026, -5.626, 307.9, 505.8, 589.8
2006, 2, 5.465, 1.108, -2.613, 244.9, 407.5, 482.1
2006, 3, 5.518, 1.008, -2.771, 304.6, 452.5, 448.1
2006, 4, 8.355, 4.014, 0.3024, 138.6, 201.3, 182.7
2006, 5, 10.74, 6.591, 3.143, 175.7, 266.3, 259.1
2006, 6, 15.07, 11.37, 8.55, 65.43, 80.62, 42.28
2006, 7, 18.17, 15.04, 12.91, 4.912, 5.352, 4.204
2006, 8, 17.71, 14.29, 12.02, 53.03, 71.94, 49.96
2006, 9, 12.06, 8.4, 5.454, 144.3, 194, 149.1
2006, 10, 10.66, 7.167, 4.312, 74.5, 105.6, 95.47
2006, 11, 5.39, 1.003, -2.92, 395.2, 608.5, 619.1
2006, 12, 2.938, -1.522, -5.451, 490, 771, 821.7
2007, 1, 5.399, 0.7126, -3.636, 536.8, 828.5, 911.4
2007, 2, 5.071, 0.5099, -3.565, 260.2, 407, 454.5
2007, 3, 6.931, 2.659, -1.084, 261.6, 394.3, 358.1
2007, 4, 9.811, 5.749, 2.322, 106.6, 149.7, 126.3
2007, 5, 14.65, 10.93, 7.808, 56.9, 76.11, 49.51
2007, 6, 15.52, 12.08, 9.53, 39.08, 50.68, 38.77
2007, 7, 17.77, 14.57, 12.63, 44.22, 61.1, 51.44
2007, 8, 16.63, 13.07, 10.67, 77.63, 119.8, 98.15
2007, 9, 14.31, 10.7, 8.081, 128.6, 187.8, 148.1
2007, 10, 8.537, 4.879, 1.899, 116.5, 186.8, 177.9
2007, 11, 5.359, 1.147, -2.462, 258.4, 387.7, 422.3
2007, 12, 1.657, -2.748, -6.91, 188.7, 283.8, 267
2008, 1, 1.893, -2.859, -7.196, 294.3, 466, 523
2008, 2, 6.105, 1.688, -2.306, 277.5, 466.5, 563.5
2008, 3, 5.871, 1.561, -2.18, 175.9, 293, 337
2008, 4, 7.81, 3.505, -0.2156, 137.3, 195.3, 174.8
2008, 5, 13.83, 10.1, 6.901, 119.2, 168.7, 123.9
2008, 6, 14.75, 11.16, 8.572, 65.87, 95.33, 80.94
2008, 7, 18.34, 15.12, 12.88, 59.43, 72.91, 42.44
2008, 8, 17.13, 13.39, 10.71, 129.6, 197.1, 152.7
2008, 9, 15.4, 11.86, 9.322, 86.07, 124.2, 107.5
2008, 10, 13.49, 10.48, 7.858, 19.18, 30.9, 27.52
