# Created by WEAP: 5/11/2021 9:06:52 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_MIROC5_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Upper Cedar (23,465 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (13,711 ha),  1000 - 2000 m (9,754 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

2006, 1, 0.901, -0.4123, 501.3, 522.6
2006, 2, 2.984, 1.995, 363.3, 394.4
2006, 3, 2.46, 1.506, 408.1, 398.2
2006, 4, 5.744, 4.735, 180.9, 172.7
2006, 5, 8.278, 7.331, 237, 234.8
2006, 6, 12.72, 12.14, 74.56, 65.3
2006, 7, 16.47, 16.04, 5.413, 4.609
2006, 8, 15.66, 15.12, 55.21, 52.56
2006, 9, 10.1, 9.381, 159, 148.1
2006, 10, 8.961, 8.23, 95.03, 88.13
2006, 11, 3.008, 1.98, 507.5, 523.9
2006, 12, 0.554, -0.5621, 707, 705.1
2007, 1, 2.638, 1.397, 658.7, 684.9
2007, 2, 2.336, 1.262, 336.6, 349.1
2007, 3, 4.266, 3.177, 372.9, 345.8
2007, 4, 7.447, 6.392, 137.8, 125.2
2007, 5, 12.83, 11.91, 75.95, 72.08
2007, 6, 13.38, 12.82, 39.96, 39.18
2007, 7, 15.89, 15.45, 57.62, 56.13
2007, 8, 14.47, 13.92, 89.76, 89.65
2007, 9, 12.19, 11.55, 188.9, 177.8
2007, 10, 6.749, 5.91, 172.2, 189.2
2007, 11, 3.009, 2.005, 346.2, 355.9
2007, 12, -0.859, -2.082, 240.9, 240.5
2008, 1, -0.8956, -2.306, 388, 410.9
2008, 2, 3.741, 2.547, 370.7, 399.9
