# Created by WEAP: 5/11/2021 9:08:14 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_MIROC5_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_SW_San Juan Trib (188,042 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (120,643 ha),  2000 - 3000 m (67,399 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -1.543, -2.623, 24.7, 33.96
2006, 2, 2.717, 0.5753, 26.88, 32.08
2006, 3, 8.593, 6.25, 28.11, 39.53
2006, 4, 13.34, 11.25, 32.17, 40.21
2006, 5, 18.8, 16.83, 8.784, 17.76
2006, 6, 21.47, 19.23, 12.2, 18.75
2006, 7, 26.22, 23.81, 44.28, 62.32
2006, 8, 24.28, 21.94, 93.73, 105.6
2006, 9, 20.71, 18.76, 66.53, 76.98
2006, 10, 13.61, 11.71, 35.4, 45.82
2006, 11, 5.525, 4.111, 15.87, 19.43
2006, 12, 0.9912, -0.3224, 23.43, 27.76
2007, 1, 1.18, -0.07261, 12.56, 17.36
2007, 2, 6.607, 4.759, 22.7, 34.17
2007, 3, 8.669, 6.286, 12.11, 18.69
2007, 4, 13.96, 12.04, 39.42, 57.57
2007, 5, 19.01, 16.62, 34.41, 49.54
2007, 6, 24.37, 22.23, 10.94, 13.79
2007, 7, 26.69, 24.49, 5.341, 6.651
2007, 8, 23.62, 21.3, 52.64, 65.74
2007, 9, 21.37, 19.36, 20.26, 26.27
2007, 10, 10.79, 8.8, 44.34, 57.39
2007, 11, 5.484, 3.669, 41.76, 54.47
2007, 12, -2.063, -3.076, 37.25, 44.82
2008, 1, 1.069, 0.2724, 12.78, 18.93
2008, 2, 4.769, 2.576, 32.92, 44.97
2008, 3, 8.604, 5.919, 20.04, 29.04
2008, 4, 12.36, 10.51, 27.47, 36.53
2008, 5, 16.02, 13.9, 16.41, 20.9
2008, 6, 22.19, 20.15, 3.761, 5.785
2008, 7, 27, 24.65, 39.8, 56.88
2008, 8, 24.35, 22.14, 28.1, 36.94
2008, 9, 19.22, 17.54, 7.268, 8.734
2008, 10, 13.96, 11.95, 77.01, 94.6
2008, 11, 6.251, 4.845, 14.6, 17.72
2008, 12, 0.7492, -0.3238, 5.732, 6.186
2009, 1, 4.869, 3.363, 96.02, 122.3
2009, 2, 4.474, 2.269, 17.67, 21.59
2009, 3, 11.05, 8.939, 47.66, 63.33
2009, 4, 12.44, 10.19, 44.56, 66.14
2009, 5, 16.82, 14.72, 15.24, 19.72
2009, 6, 22.07, 20.08, 5.881, 6.911
2009, 7, 25.67, 23.54, 16.29, 22.01
2009, 8, 24.39, 22.3, 21.4, 28.9
