# Created by WEAP: 5/10/2021 8:13:55 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_MPI-ESM-LR_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_SW_Saquache Creek (193,505 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (118,011 ha),  3000 - 4000 m (75,290 ha),  4000 - 5000 m (204 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, -6.92, -10.7, -13.18, 17.88, 45.76, 51.69
2006, 2, -4.602, -9.017, -12.17, 16.58, 53.17, 64.05
2006, 3, 2.635, -2.163, -6.599, 2.783, 16.98, 23.94
2006, 4, 5.02, 0.7567, -3.655, 115.3, 224.5, 253.8
2006, 5, 8.929, 5.123, 1.592, 20.63, 39.9, 38.3
2006, 6, 15.25, 10.98, 7.299, 20.13, 25.86, 26.05
2006, 7, 17.3, 13.55, 10.29, 72.34, 98.03, 94.39
2006, 8, 15.69, 12.04, 9.029, 40.32, 58.22, 60.73
2006, 9, 12.79, 8.777, 5.781, 13.5, 27.8, 41.48
2006, 10, 10.13, 6.341, 3.621, 9.26, 16.79, 18.8
2006, 11, 2.775, -0.6965, -3.11, 17.91, 33.29, 31.29
2006, 12, -7.349, -11.28, -13.88, 8.244, 19.27, 20
2007, 1, -2.976, -7.08, -9.529, 4.642, 13.88, 21.13
2007, 2, -1.016, -5.284, -8.463, 16.74, 54.07, 77.56
2007, 3, -0.6811, -5.44, -9.239, 12.95, 37.57, 51.2
2007, 4, 6.262, 1.371, -3.166, 5.387, 14.18, 26.19
2007, 5, 12.85, 8.781, 4.841, 19.6, 32.68, 32.34
2007, 6, 18.43, 14.37, 11.04, 7.118, 10.24, 10.14
2007, 7, 17.76, 13.74, 10.43, 125.1, 215.3, 244.5
2007, 8, 15.1, 11.49, 8.531, 62.27, 93.4, 93.08
2007, 9, 12.02, 8.043, 4.813, 62.6, 92.92, 120.1
2007, 10, 5.744, 2.068, -0.4945, 2.721, 9.212, 24.99
2007, 11, 2.629, -1.096, -3.505, 9.595, 25.32, 33.06
2007, 12, -5.437, -9.055, -11.03, 13.29, 35.55, 48.07
2008, 1, -5.976, -9.913, -12.38, 17.4, 55.03, 62.18
2008, 2, -4.133, -8.283, -11.65, 20.37, 65.65, 103.4
2008, 3, -1.609, -6.253, -10.42, 22.99, 82.86, 130.7
2008, 4, 6.183, 2.004, -1.991, 28.98, 44.86, 35.32
2008, 5, 12.9, 8.939, 5.201, 4.342, 8.921, 11.06
2008, 6, 16.96, 12.6, 9.008, 2.901, 4.348, 4.618
2008, 7, 18.53, 14.68, 11.33, 43.95, 58.87, 51.64
2008, 8, 16.34, 12.59, 9.325, 75.21, 103.2, 113.1
2008, 9, 15.68, 11.57, 8.155, 20.97, 30.69, 33.01
2008, 10, 7.284, 3.429, 1.046, 3.089, 14.28, 31.45
2008, 11, -1.295, -5.049, -8.343, 20.88, 42.78, 63.25
2008, 12, -7.57, -11.46, -14.73, 19.18, 46.8, 68.59
2009, 1, -5.13, -9.097, -11.46, 16.58, 35.01, 36.43
2009, 2, -4.079, -8.485, -11.37, 41.55, 75.55, 61.59
2009, 3, -0.1465, -4.781, -8.882, 50.86, 81.68, 89.24
2009, 4, 5.25, 1.146, -2.691, 34.81, 77.64, 90.92
2009, 5, 11.82, 8.178, 4.767, 41.56, 78.61, 92.52
