# Created by WEAP: 5/10/2021 8:11:56 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_MPI-ESM-LR_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Upper Cedar (23,465 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (13,711 ha),  1000 - 2000 m (9,754 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

2006, 1, -0.5774, -1.986, 356.3, 398.8
2006, 2, 2.822, 1.576, 339.5, 323.8
2006, 3, 2.147, 1.174, 269.5, 272
2006, 4, 7.148, 6.163, 129.4, 117.5
2006, 5, 11.43, 10.77, 106.4, 96.53
2006, 6, 11.24, 10.5, 79.21, 74
2006, 7, 15.01, 14.42, 128.1, 123.6
2006, 8, 17.3, 16.78, 24.62, 22.68
2006, 9, 12.81, 12.08, 100.2, 93.82
2006, 10, 12.54, 11.82, 109.6, 109.9
2006, 11, 4.363, 3.051, 472.1, 477.8
2006, 12, -0.8565, -1.855, 251.6, 271.1
2007, 1, 0.1037, -1.168, 280.9, 278.6
2007, 2, -0.5128, -1.677, 162, 157.8
2007, 3, 2.439, 1.413, 480.8, 471.1
2007, 4, 5.36, 4.309, 186.9, 172.2
2007, 5, 7.211, 6.459, 87.25, 77.97
2007, 6, 13.11, 12.56, 60.55, 52.85
2007, 7, 15.86, 15.4, 20.9, 16.4
2007, 8, 15.84, 15.39, 99.99, 102.2
2007, 9, 13.76, 13.31, 70.6, 68
2007, 10, 8.951, 8.202, 153.3, 152.7
2007, 11, 3.713, 2.52, 674.1, 691.9
2007, 12, 0.9688, -0.1722, 420.6, 424.7
2008, 1, 0.9046, -0.2689, 419.2, 415.1
2008, 2, 3.156, 2.12, 236.7, 227.8
2008, 3, 3.549, 2.555, 185.5, 178.1
2008, 4, 5.525, 4.501, 168.8, 158.8
2008, 5, 10.61, 9.819, 131.9, 130.7
2008, 6, 11.88, 11.23, 121.4, 111.6
2008, 7, 15.84, 15.24, 32.22, 32.09
2008, 8, 15.05, 14.48, 39.87, 33.46
2008, 9, 13.75, 13.03, 53.77, 50.38
2008, 10, 7.291, 6.536, 274.3, 277.6
2008, 11, 0.583, -0.5587, 137.5, 136.2
2008, 12, 0.6398, -0.5867, 472.8, 504.1
2009, 1, 1.287, 0.1243, 238.9, 247.4
2009, 2, 1.736, 0.6632, 306.8, 310.3
2009, 3, 4.337, 3.321, 397.8, 394.6
2009, 4, 7.353, 6.352, 197, 187.6
2009, 5, 10.77, 9.951, 138.7, 138.8
2009, 6, 10.85, 10.15, 188.1, 193
2009, 7, 15.43, 14.84, 36.81, 32.38
2009, 8, 16.13, 15.36, 97.44, 81.54
2009, 9, 12.05, 11.32, 140.8, 131.6
2009, 10, 8.715, 7.776, 227.4, 234.6
2009, 11, 4.286, 3.172, 388.2, 389
2009, 12, -0.8011, -1.894, 310.8, 329.2
2010, 1, 3.102, 1.825, 547.6, 579.7
2010, 2, -0.004612, -1.288, 421.8, 449.8
2010, 3, 3.533, 2.585, 415.9, 437.5
2010, 4, 5.085, 3.962, 273.3, 256
2010, 5, 7.493, 6.542, 181.6, 179.6
2010, 6, 13.92, 13.34, 22.99, 20.44
2010, 7, 17.05, 16.41, 17.3, 19.01
2010, 8, 14.89, 14.32, 32.07, 34.27
2010, 9, 13.85, 13.3, 81.89, 74.81
2010, 10, 10.04, 9.251, 132.7, 122.9
2010, 11, 1.176, 0.04278, 209.4, 213.1
2010, 12, -2.197, -3.503, 1.913, 2.111
2011, 1, 0.9534, -0.3583, 546.4, 568.5
2011, 2, 1.114, 0.03114, 299.8, 312.4
2011, 3, 2.993, 1.964, 334.2, 332.5
2011, 4, 5.998, 5.125, 272.2, 261.9
2011, 5, 7.398, 6.386, 212.8, 190.6
2011, 6, 11.57, 10.88, 200, 188.1
2011, 7, 15.12, 14.56, 85.79, 84.47
2011, 8, 13.77, 13.2, 58.2, 53.89
2011, 9, 13.19, 12.52, 140.1, 131.8
2011, 10, 10.07, 9.034, 175.3, 164.9
2011, 11, 4.239, 2.878, 547.8, 549.8
2011, 12, 2.712, 1.534, 631.4, 640.2
2012, 1, 0.9239, -0.1824, 327.1, 340.7
