# Created by WEAP: 5/10/2021 8:12:12 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_MPI-ESM-LR_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: ID_S_OR_E_Boise (342,255 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (278,757 ha),  1000 - 2000 m (63,451 ha),  2000 - 3000 m (47 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -1.363, -3.138, -7.483, 78.14, 133.3, 200.5
2006, 2, 3.372, 1.113, -3.133, 22.88, 34.44, 64.01
2006, 3, 8.105, 5.506, 0.903, 16.59, 28.77, 49.28
2006, 4, 12.5, 10.3, 5.441, 27.61, 40.46, 59.95
2006, 5, 16.86, 14.62, 10.18, 23.05, 27.24, 31.79
2006, 6, 18.38, 16.1, 11.79, 2.378, 2.049, 4.01
2006, 7, 25.36, 23.83, 19.32, 4.02, 3.463, 6.299
2006, 8, 26.19, 24.55, 19.98, 6.054, 8.449, 8.878
2006, 9, 17.11, 15.5, 10.79, 4.422, 6.488, 11.29
2006, 10, 16.4, 15.29, 10.9, 7.982, 14.16, 21.67
2006, 11, 9.341, 8.063, 4.05, 24.71, 37.56, 55.09
2006, 12, -0.6662, -2.728, -6.881, 22.91, 37.04, 64.99
2007, 1, 1.394, -0.5616, -4.847, 22.91, 37.4, 58.76
2007, 2, 1.667, -0.4965, -5.035, 16.18, 29.9, 42.98
2007, 3, 8.111, 5.652, 1.035, 13.61, 23.82, 45.15
2007, 4, 14.01, 11.71, 7.073, 20.02, 33.23, 47.72
2007, 5, 15.8, 13.37, 8.731, 22.55, 28.26, 39.95
2007, 6, 24.33, 22.24, 17.7, 2.445, 0.6703, 2.268
2007, 7, 27.87, 26.42, 21.82, 5.3, 7.635, 11.95
2007, 8, 24.84, 23.39, 19.13, 1.68, 2.162, 2.515
2007, 9, 19.44, 18.02, 13.37, 19.61, 26.32, 54.36
2007, 10, 14.13, 12.24, 8.035, 16.18, 26.09, 38.47
2007, 11, 8.506, 6.857, 2.608, 36.63, 65.5, 126.7
2007, 12, 2.158, 0.4102, -3.887, 27.23, 52.09, 87.17
2008, 1, 1.599, -0.1831, -4.38, 60.93, 116.9, 237
2008, 2, 4.447, 2.537, -1.966, 41.67, 63.9, 125.9
2008, 3, 6.456, 4.171, -0.5263, 30.93, 45.18, 82.41
2008, 4, 12.1, 9.875, 5.314, 27.01, 45.21, 41.24
2008, 5, 17.92, 15.46, 11.04, 38.24, 59.73, 87.01
2008, 6, 19.25, 17.03, 12.56, 35.03, 36.28, 47.96
2008, 7, 25.7, 23.97, 19.19, 4.802, 7.894, 5.618
2008, 8, 24.79, 23.23, 18.86, 13.53, 18.63, 31.38
2008, 9, 20.37, 18.52, 13.56, 137.4, 193.9, 336.9
2008, 10, 11.44, 9.65, 5.058, 18.91, 31.62, 52.29
2008, 11, 2.08, 0.03433, -4.509, 25.5, 38.71, 49.31
