# Created by WEAP: 5/10/2021 8:12:17 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_MPI-ESM-LR_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: ID_S_OR_E_South Western Snake (4,507,096 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (531,790 ha),  1000 - 2000 m (3,392,147 ha),  2000 - 3000 m (575,697 ha),  3000 - 4000 m (7,463 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, -0.8825, -4.352, -8.678, -13.92, 75.44, 80.79, 139.9, 147
2006, 2, 3.207, -0.8089, -5.292, -11.01, 13.81, 15.71, 27.71, 38.24
2006, 3, 7.904, 3.657, -1.152, -6.593, 13.44, 19.74, 43.06, 68.22
2006, 4, 12.69, 9.136, 4.554, -0.3752, 19.92, 38.32, 76.98, 86.35
2006, 5, 17.04, 13.34, 8.712, 4.63, 19.88, 32.17, 53.06, 44.36
2006, 6, 18.94, 15.11, 10.41, 5.961, 1.618, 3.709, 9.166, 11.62
2006, 7, 26.08, 22.38, 17.64, 12.74, 3.43, 3.821, 8.102, 24.52
2006, 8, 26.37, 22.82, 18.18, 13.51, 4.279, 5.054, 9.424, 19.91
2006, 9, 17.48, 14.25, 10.03, 5.229, 3.969, 3.409, 5.395, 5.931
2006, 10, 17.19, 14.68, 10.71, 5.885, 4.857, 8.794, 16.8, 25.84
2006, 11, 10.37, 7.888, 3.969, -1.509, 15.27, 16.45, 28.95, 39.86
2006, 12, -0.4195, -3.748, -7.875, -14.11, 12.95, 21.25, 49.13, 108.1
2007, 1, 1.651, -1.768, -5.967, -12.29, 20.79, 35.76, 85.28, 133
2007, 2, 2.132, -1.125, -5.66, -11.08, 17.92, 28.79, 62.68, 72.86
2007, 3, 8, 4.239, -0.7317, -5.271, 9.665, 16.56, 37.5, 50.68
2007, 4, 14.17, 10.69, 6.081, 1.771, 11.19, 25.26, 47.17, 52.94
2007, 5, 16.4, 12.93, 8.299, 3.633, 19.14, 31.19, 57.72, 67.15
2007, 6, 25.15, 21.66, 16.88, 11.7, 0.507, 2.142, 4.029, 6.704
2007, 7, 28.36, 24.85, 20.04, 15.06, 3.759, 7.931, 17.25, 21.47
2007, 8, 25.3, 21.78, 17.19, 12.54, 0.2749, 3.277, 7.714, 6.784
2007, 9, 19.72, 16.48, 12.13, 7.915, 25.56, 31.59, 55.85, 103.1
