# Created by WEAP: 5/10/2021 8:12:39 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_MPI-ESM-LR_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_NW_Upper Colorado (1,470,985 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (737,745 ha),  2000 - 3000 m (661,679 ha),  3000 - 4000 m (71,561 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, -2.69, -6.857, -10.55, 21.94, 51.11, 128.7
2006, 2, 0.7585, -4.126, -8.384, 21.39, 48.34, 120.8
2006, 3, 8.764, 3.957, -0.642, 3.891, 7.985, 16.95
2006, 4, 12.24, 7.227, 2.312, 48.87, 71.94, 118.7
2006, 5, 15.94, 10.8, 6.076, 18.42, 37.3, 62.12
2006, 6, 21.5, 16.09, 11.21, 6, 8.767, 10.88
2006, 7, 25.51, 20.18, 15.19, 19.36, 33.34, 48.32
2006, 8, 24.76, 19.27, 14.01, 15.26, 29.78, 46.25
2006, 9, 18.92, 13.79, 9.087, 29.62, 37.15, 48.74
2006, 10, 16.25, 11.43, 6.972, 2.416, 3.856, 6.602
2006, 11, 8.713, 4.434, 0.286, 26.08, 39.66, 67.97
2006, 12, -1.127, -5.846, -10.38, 10.21, 19.68, 38.08
2007, 1, 2.833, -1.628, -6.032, 20.52, 31.21, 44.85
2007, 2, 3.713, -0.9734, -5.305, 70.62, 108.8, 149.9
2007, 3, 5.557, 0.7124, -3.916, 16.08, 30.09, 63.28
2007, 4, 12.14, 7.371, 2.724, 17.34, 21.05, 37.46
2007, 5, 17.45, 12.47, 7.923, 27.25, 40.73, 52.58
2007, 6, 25.15, 20.06, 15.46, 8.48, 13.43, 19.41
2007, 7, 25.8, 20.51, 15.43, 66.57, 87.02, 105.3
2007, 8, 23.07, 17.85, 12.88, 46.78, 75.71, 100
2007, 9, 18.15, 13.25, 8.594, 50.06, 78.66, 118.6
2007, 10, 11.64, 6.845, 2.396, 21.87, 29.44, 34.79
2007, 11, 7.456, 3.007, -1.38, 19.12, 30.65, 47.98
2007, 12, 0.7107, -4.111, -8.842, 12.86, 30.77, 81.37
2008, 1, -0.6327, -4.841, -8.984, 61.14, 104.4, 184.8
2008, 2, 2.572, -2.184, -6.673, 44.3, 70.16, 131.1
2008, 3, 4.285, -0.5806, -5.354, 19.9, 42.27, 88.26
2008, 4, 12.37, 7.445, 2.78, 10.94, 20.55, 40.29
2008, 5, 18.74, 13.8, 9.349, 6.923, 12.61, 20.57
2008, 6, 22.35, 17.32, 12.71, 5.916, 8.778, 13.44
2008, 7, 26.26, 21.09, 16.2, 15.15, 24.53, 31.91
2008, 8, 24.27, 19.3, 14.48, 63.47, 80.17, 94.84
2008, 9, 21.53, 16.69, 12.33, 36.88, 48.48, 60.57
2008, 10, 11.39, 6.914, 2.866, 17.93, 24.4, 31.74
2008, 11, 3.529, -0.8905, -5.022, 26, 44.19, 78.94
2008, 12, -2.353, -6.631, -10.5, 14.83, 26.93, 61.79
2009, 1, 0.69, -3.742, -7.908, 21.71, 39.43, 86.92
2009, 2, 3.214, -1.686, -6.388, 27.2, 56.7, 134.5
2009, 3, 6.719, 1.61, -3.334, 12.62, 31.12, 81.59
2009, 4, 11.56, 6.469, 1.608, 34.91, 67.18, 122
2009, 5, 18.65, 13.5, 8.818, 37.1, 48.24, 70.12
2009, 6, 21.4, 16.07, 11.3, 21.31, 36.37, 50.69
2009, 7, 26.56, 21.21, 16.11, 19.1, 29.62, 49.19
2009, 8, 24.29, 18.95, 13.89, 22.91, 32.88, 41.36
2009, 9, 20.11, 15.05, 10.14, 77.29, 110.4, 171.4
2009, 10, 14.3, 9.894, 5.773, 55.57, 81.14, 116.3
2009, 11, 3.853, -0.7924, -5.17, 40.56, 64.2, 107.5
2009, 12, -2.148, -6.718, -10.84, 29.45, 59.96, 151.3
2010, 1, 2.385, -1.945, -5.726, 23.77, 40.99, 85.13
2010, 2, -1.83, -6.596, -10.69, 21.94, 32.1, 57.44
2010, 3, 6.705, 1.623, -3.297, 7.886, 15.17, 26.49
2010, 4, 12.06, 7.162, 2.638, 25.6, 44.14, 70.79
2010, 5, 16.79, 11.88, 7.553, 9.438, 17.05, 43.8
2010, 6, 23.01, 17.39, 11.96, 15.05, 21.73, 26.78
2010, 7, 26.87, 21.39, 16.27, 29, 45, 72.31
2010, 8, 25.61, 20.27, 15.34, 22.75, 33.46, 54.21
2010, 9, 20.36, 15.37, 10.83, 49.72, 75.46, 92.46
2010, 10, 12.98, 8.366, 4.041, 38.03, 64.6, 114.8
2010, 11, 1.674, -2.899, -7.161, 25.22, 41.5, 68.5
2010, 12, -1.843, -6.406, -10.69, 17.99, 37.46, 88.47
