# Created by WEAP: 1/5/2021 2:52:59 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_MPI-ESM-MR_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_SF Feather (31,747 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (15,544 ha),  1000 - 2000 m (16,203 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

1950, 1, 6.473, 3.255, 319, 424.9
1950, 2, 8.917, 5.222, 225.4, 279.8
1950, 3, 9.698, 5.823, 170, 234.1
1950, 4, 13.77, 9.903, 39.03, 60.13
1950, 5, 16.68, 12.68, 47.39, 82.19
1950, 6, 20.55, 16.62, 36.59, 61
1950, 7, 24.37, 20.73, 6.999, 11.53
1950, 8, 24.88, 21.06, 0.09222, 0.6337
1950, 9, 23.17, 19.88, 69.48, 90.07
1950, 10, 16.93, 13.19, 75, 95.8
1950, 11, 13.25, 10.19, 0.4165, 1.635
1950, 12, 8.876, 5.908, 279.8, 350.4
1951, 1, 5.338, 1.728, 400.8, 538.2
1951, 2, 8.228, 4.828, 17.78, 27.13
1951, 3, 11.97, 8.544, 258.4, 352.2
1951, 4, 13.55, 9.949, 83.71, 116.2
1951, 5, 17.81, 13.9, 7.83, 14.7
1951, 6, 20.19, 16.24, 16.22, 15.02
1951, 7, 24.81, 21.1, 2.003, 3.739
1951, 8, 23.14, 19.33, 0.4219, 1.466
1951, 9, 20.22, 16.82, 121.7, 148.2
1951, 10, 17.08, 13.33, 118.8, 139.8
1951, 11, 9.27, 5.694, 229.1, 284.1
1951, 12, 6.701, 3.384, 88.31, 118.5
1952, 1, 6.615, 3.362, 310.4, 382.7
1952, 2, 6.551, 2.762, 340.6, 446.4
1952, 3, 12.82, 9.332, 88.83, 126.7
1952, 4, 13.99, 10.38, 54.88, 65.89
1952, 5, 16.66, 12.78, 18.95, 31.15
1952, 6, 20.38, 16.45, 3.322, 8.249
1952, 7, 24.61, 20.87, 2.96, 7.24
1952, 8, 23.65, 20.03, 14.25, 18.18
1952, 9, 17.65, 14.13, 56.73, 78.17
1952, 10, 14.27, 10.48, 255.8, 346.1
1952, 11, 9.613, 6.004, 162.5, 214.5
1952, 12, 8.39, 5.324, 74.49, 101
1953, 1, 9.076, 6.147, 122, 163.8
1953, 2, 7.922, 4.376, 234, 332.6
1953, 3, 11.55, 7.676, 254.5, 339.6
1953, 4, 13.23, 9.483, 108.6, 151
1953, 5, 16.02, 12.13, 5.75, 13.09
1953, 6, 19.39, 15.4, 23.2, 34.1
1953, 7, 23.66, 19.8, 0.5493, 1.059
1953, 8, 24.4, 20.83, 0, 0.03029
1953, 9, 21.14, 17.7, 6.318, 7.284
1953, 10, 17.7, 14.24, 59.48, 77.53
1953, 11, 11.8, 8.683, 143.9, 203.8
1953, 12, 5.685, 2.406, 188.4, 254.8
1954, 1, 8.334, 5.688, 45.9, 52.28
