# Created by WEAP: 1/5/2021 2:52:18 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_MPI-ESM-MR_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_N_CEN_Lwr Middle Columbia 2 (175,585 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (157,732 ha),  1000 - 2000 m (17,854 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

1950, 1, -6.562, -9.53, 29.47, 37.34
1950, 2, -1.481, -4.028, 12.45, 19.43
1950, 3, 5.947, 3.194, 20.65, 28.94
1950, 4, 7.681, 4.849, 22.45, 32.34
1950, 5, 12.49, 9.568, 4.592, 11.54
1950, 6, 21.6, 18.53, 10.45, 14.91
1950, 7, 22.84, 19.57, 9.154, 12.55
1950, 8, 22.48, 19.13, 3.533, 8.025
1950, 9, 18.71, 15.58, 8.721, 10.41
1950, 10, 8.813, 5.916, 6.639, 9.52
1950, 11, 5.512, 2.728, 17.39, 23.3
1950, 12, 0.6174, -2.095, 74.06, 99.24
1951, 1, -3.895, -6.651, 32.82, 45.41
1951, 2, -2.837, -5.332, 11.32, 15.65
1951, 3, 4.26, 1.366, 26.69, 41.03
1951, 4, 13.37, 10.54, 16.99, 25.15
1951, 5, 14.08, 11.11, 10.46, 22.71
1951, 6, 17.33, 14.41, 56.23, 72.43
1951, 7, 22.19, 19.06, 15.92, 22.01
1951, 8, 20.83, 17.64, 7.123, 17.32
1951, 9, 17.14, 14.03, 5.001, 5.236
1951, 10, 8.855, 5.785, 45.28, 59.23
1951, 11, 0.2997, -2.565, 49.83, 56.08
1951, 12, -2.978, -5.775, 24.35, 28.14
1952, 1, -2.271, -5.069, 61.8, 81.88
1952, 2, -3.703, -6.269, 20.6, 26.05
1952, 3, 5.496, 2.612, 50.64, 70.88
1952, 4, 10.11, 7.275, 5.386, 11.68
1952, 5, 13.92, 10.99, 30.57, 49.41
1952, 6, 17.23, 14.13, 41.61, 55.94
1952, 7, 20.8, 17.67, 27.52, 35.28
1952, 8, 21.44, 18.27, 13.46, 26.39
1952, 9, 14.44, 11.24, 28.55, 39.08
1952, 10, 8.168, 5.206, 54.79, 78.04
1952, 11, 1.019, -1.973, 26.79, 34.22
1952, 12, -3.189, -6.01, 32.12, 37.17
1953, 1, 0.2253, -2.496, 20.14, 27.39
1953, 2, 0.9075, -1.745, 28.74, 48.62
1953, 3, 5.711, 2.802, 20.16, 30.21
1953, 4, 12.26, 9.527, 10.58, 16.93
1953, 5, 12.27, 9.276, 62.38, 87.34
1953, 6, 17.96, 14.72, 46.04, 68.23
1953, 7, 21.43, 18.24, 19.96, 32.26
1953, 8, 22.75, 19.46, 15.7, 25.82
1953, 9, 16.38, 13.25, 27.17, 42.88
1953, 10, 10.32, 7.358, 14.97, 23.78
1953, 11, 2.829, 0.03019, 48.37, 55.86
1953, 12, -4.316, -7.145, 61.08, 73.54
1954, 1, -4.1, -6.843, 12.76, 15.67
1954, 2, -0.7882, -3.55, 14.54, 23.48
1954, 3, -0.2097, -3.193, 64.46, 81.06
1954, 4, 7.661, 4.693, 13.06, 21.75
1954, 5, 14.99, 12.09, 15.62, 27.61
1954, 6, 19.78, 16.66, 30.54, 53.77
1954, 7, 21.51, 18.33, 12.95, 15.57
1954, 8, 21.43, 18.16, 6.47, 7.92
1954, 9, 16.42, 13.27, 12.81, 26.81
1954, 10, 9.323, 6.169, 8.209, 11.62
1954, 11, 0.2264, -2.669, 93.94, 123.7
1954, 12, 0.1078, -2.602, 37.96, 49.73
1955, 1, -2.711, -5.432, 54.66, 66.23
1955, 2, 2.532, -0.243, 23.56, 26.69
1955, 3, 6.864, 4.05, 59.73, 77.44
1955, 4, 11.84, 8.942, 33.21, 50.52
1955, 5, 14.22, 11.45, 36.61, 53.15
1955, 6, 17.55, 14.34, 16.52, 24.41
1955, 7, 20.72, 17.7, 26.03, 34.2
1955, 8, 19.42, 16.3, 15.01, 22.67
1955, 9, 17.51, 14.3, 4.867, 13.35
1955, 10, 8.954, 5.934, 8.942, 17.22
1955, 11, 1.261, -1.501, 17.35, 25.61
1955, 12, -0.4301, -3.142, 69.08, 83.53
1956, 1, -2.184, -4.852, 72.34, 100.2
1956, 2, -0.9519, -3.702, 13.14, 16.59
1956, 3, 3.361, 0.4962, 9.638, 11.38
1956, 4, 10.26, 7.334, 3.573, 6.739
1956, 5, 15.27, 12.24, 5.548, 15.83
1956, 6, 19.07, 15.7, 19.63, 34.89
1956, 7, 22.2, 18.98, 6.229, 9.015
1956, 8, 21.93, 18.78, 4.692, 10.92
1956, 9, 17.71, 14.48, 22.78, 38.83
1956, 10, 9.544, 6.459, 31.54, 41.2
1956, 11, 5.276, 2.617, 7.356, 12.89
1956, 12, -5.696, -8.596, 25.53, 31.36
1957, 1, -7.46, -9.955, 56.22, 70.08
1957, 2, -1.818, -4.712, 15.49, 20.33
1957, 3, 3.84, 0.9182, 49.27, 65.21
1957, 4, 9.528, 6.498, 25.46, 29.31
1957, 5, 15.18, 12.19, 13.23, 21.91
1957, 6, 17.81, 14.79, 33.09, 43.12
1957, 7, 22.66, 19.48, 9.355, 14.04
1957, 8, 22.5, 19.41, 3.677, 6.441
1957, 9, 17.31, 14.22, 11.03, 12.48
1957, 10, 9.949, 7.003, 28.08, 47.98
1957, 11, 0.8779, -2.1, 33.36, 40.32
1957, 12, -5.053, -8.07, 18.24, 29.27
1958, 1, -8.275, -10.99, 29.06, 42.58
1958, 2, 0.3804, -2.216, 20.23, 28.99
1958, 3, 4.826, 1.944, 16.17, 28.19
1958, 4, 7.265, 4.158, 41.65, 64.14
1958, 5, 10.94, 8.019, 41.16, 77.24
1958, 6, 18.18, 15.12, 10.74, 15.13
1958, 7, 22.34, 19.17, 12.47, 12.98
1958, 8, 21.62, 18.53, 33.68, 79.14
1958, 9, 14.85, 11.62, 45, 69.62
1958, 10, 7.103, 3.907, 31.06, 40.44
1958, 11, 3.488, 0.6599, 42.58, 68.9
1958, 12, -5.902, -8.861, 31.68, 36.89
1959, 1, -7.742, -10.5, 13.83, 16.95
1959, 2, -2.406, -4.926, 24.69, 35.56
1959, 3, 2.306, -0.7046, 14.84, 24.06
1959, 4, 8.812, 5.644, 23.43, 42.45
1959, 5, 14.99, 12.05, 20.62, 30.45
1959, 6, 18.5, 15.35, 35.86, 79.62
1959, 7, 22.89, 19.73, 9.444, 13.8
1959, 8, 20.63, 17.5, 7.249, 11.46
1959, 9, 18.03, 14.86, 0.1967, 0.3168
1959, 10, 11.94, 9.005, 6.505, 11.54
1959, 11, -4.639, -7.599, 43.54, 53.51
1959, 12, -5.1, -7.679, 18.41, 23.58
1960, 1, 0.07559, -2.675, 49.18, 68.02
1960, 2, -1.169, -3.742, 58.95, 90.91
1960, 3, 4.589, 1.792, 37.43, 54.86
1960, 4, 8.977, 6.022, 54.65, 72.43
1960, 5, 11.41, 8.452, 24.48, 50.67
1960, 6, 20.61, 17.39, 11.48, 19.98
1960, 7, 22.92, 19.92, 4.623, 5.153
1960, 8, 21.5, 18.39, 1.99, 9.359
1960, 9, 15.5, 12.43, 21.51, 43.6
1960, 10, 8.57, 5.599, 29.8, 38.45
1960, 11, 2.37, -0.4922, 63.26, 84.32
1960, 12, -3.452, -6.122, 72.91, 92.11
1961, 1, -7.793, -10.73, 38.88, 46.06
1961, 2, 0.05775, -2.589, 28.68, 38.7
1961, 3, 5.821, 2.948, 17.68, 29.99
1961, 4, 7.619, 4.8, 51.86, 76.91
1961, 5, 15.67, 12.59, 36.04, 58.49
1961, 6, 17.6, 14.34, 44.04, 61.25
1961, 7, 21.35, 18.09, 53.53, 72.49
1961, 8, 22.32, 19.31, 38.27, 41.93
1961, 9, 15.49, 12.39, 7.561, 7.984
1961, 10, 10, 6.992, 6.68, 9.416
1961, 11, 0.8404, -2.064, 19.98, 20.87
1961, 12, -3.423, -6.205, 19.09, 30.48
1962, 1, -1.328, -3.972, 49.31, 82.91
1962, 2, 0.9576, -1.717, 58.51, 77.96
1962, 3, 4.984, 2.251, 54.73, 75.68
1962, 4, 11.24, 8.52, 30.29, 46.27
1962, 5, 12.69, 9.729, 52.8, 84.85
1962, 6, 17.96, 14.72, 53.11, 71.14
1962, 7, 20.98, 17.87, 28.38, 36.38
1962, 8, 20.08, 16.84, 16.28, 25.57
1962, 9, 16.09, 12.98, 8.474, 9.908
1962, 10, 9.928, 6.834, 3.126, 4.893
1962, 11, 0.9705, -1.996, 53.92, 70.1
1962, 12, -3.582, -6.252, 58.03, 70.33
1963, 1, -8.396, -11.16, 22.73, 30.71
1963, 2, 0.261, -2.411, 22.06, 26.02
1963, 3, 4.909, 1.985, 16.54, 25.31
1963, 4, 9.986, 7.057, 24.52, 37.06
1963, 5, 15.96, 13.06, 19.07, 35.37
1963, 6, 19.09, 16.04, 7.746, 13.51
1963, 7, 22.66, 19.53, 7.818, 9.681
1963, 8, 24.09, 20.87, 9.569, 16.11
1963, 9, 16.04, 12.85, 25.95, 61.71
1963, 10, 9.805, 6.902, 21.02, 31.44
