# Created by WEAP: 1/5/2021 2:52:21 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_MPI-ESM-MR_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_CEN_Upr Tuolumne (121,851 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (13,521 ha),  2000 - 3000 m (73,608 ha),  3000 - 4000 m (34,721 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

1950, 1, -0.4959, -4.846, -7.68, 189.8, 193.7, 171.7
1950, 2, 1.678, -2.851, -5.9, 142, 155.7, 151.4
1950, 3, 2.665, -1.148, -3.587, 234.6, 209.8, 160.1
1950, 4, 7.65, 3.66, 1.148, 33.28, 32.43, 27.34
1950, 5, 9.929, 6.131, 3.823, 73.45, 73.1, 68.5
1950, 6, 13.43, 9.526, 7.129, 72.05, 84.32, 84.52
1950, 7, 18.14, 14.56, 12.41, 19.21, 20.53, 18.38
1950, 8, 18.33, 14.57, 12.13, 1.693, 3.841, 6.605
1950, 9, 17.14, 13.06, 10.39, 24.68, 33.62, 40.21
1950, 10, 9.623, 5.16, 2.271, 122.1, 162.3, 187.5
1950, 11, 6.134, 1.704, -1.135, 3.077, 4.683, 7.604
1950, 12, 1.636, -2.711, -5.397, 130.6, 125.6, 104
1951, 1, -2.243, -6.756, -9.663, 277.7, 317.2, 305.4
1951, 2, 1.691, -2.8, -5.787, 2.791, 3.206, 3.448
1951, 3, 4.455, 0.3983, -2.135, 127.9, 126.7, 102.5
1951, 4, 7.046, 3.259, 1.11, 80.41, 88.82, 71.9
1951, 5, 10.46, 6.78, 4.6, 38.05, 40.62, 45.42
1951, 6, 13.55, 10.06, 7.969, 25.68, 23.58, 23.86
1951, 7, 19.3, 15.7, 13.55, 8.959, 13.24, 18.67
1951, 8, 17.21, 13.52, 11.27, 1.492, 4.032, 7.101
1951, 9, 13.61, 9.709, 7.235, 13.27, 16.81, 16.95
1951, 10, 11.66, 7.545, 4.937, 43.99, 40.92, 34.64
1951, 11, 2.123, -1.9, -4.338, 200.2, 205, 181.3
1951, 12, -1.487, -5.819, -8.702, 128.1, 137.8, 146.4
1952, 1, -0.8242, -5.285, -8.209, 239.4, 243.7, 216
1952, 2, -0.593, -4.763, -7.616, 249.6, 250.2, 238.2
1952, 3, 6.381, 2.377, -0.1086, 54.66, 52.58, 45.15
1952, 4, 5.379, 1.561, -0.8286, 113.7, 121.1, 115.8
