# Created by WEAP: 1/5/2021 2:52:36 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_MPI-ESM-MR_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WY_SW_Upper Green (3,898,277 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (577,763 ha),  2000 - 3000 m (3,104,621 ha),  3000 - 4000 m (215,768 ha),  4000 - 5000 m (126 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

1950, 1, -7.552, -10.3, -15.84, -18.58, 10.2, 31.85, 109.1, 145.2
1950, 2, -5.936, -8.487, -13.46, -14.96, 5.16, 17.9, 58.76, 57.76
1950, 3, 0.8481, -1.775, -7.491, -10.81, 11, 20.09, 56.95, 55.01
1950, 4, 4.989, 2.311, -3.796, -7.692, 18.13, 24.51, 73.75, 79.46
1950, 5, 11.41, 8.753, 2.627, -1.074, 33.88, 35.76, 80.88, 72.73
1950, 6, 15.19, 12.66, 6.038, 2.974, 63.36, 73.13, 162.2, 237.1
1950, 7, 20.67, 17.61, 11.12, 7.462, 20.54, 20.03, 39.43, 48.72
1950, 8, 18.21, 15.24, 8.86, 5.181, 16.15, 25.57, 50.52, 44.3
1950, 9, 14.43, 11.67, 5.697, 1.641, 16.68, 23.84, 52.06, 76.56
1950, 10, 8.795, 6.148, 0.1888, -3.441, 25.85, 37.69, 112.9, 146.9
1950, 11, 1.711, -0.9825, -6.78, -9.822, 9.733, 15.66, 48.01, 55.32
1950, 12, -2.564, -5.253, -10.7, -12.95, 4.493, 14.74, 41.25, 47.02
1951, 1, -8.558, -11.29, -16.79, -19.12, 4.866, 16.58, 45.44, 60.44
1951, 2, -6.396, -9.488, -15.22, -18.72, 3.972, 11.17, 40.01, 49.48
1951, 3, 0.4415, -2.465, -7.856, -11.42, 2.702, 7.225, 21, 27.49
1951, 4, 7.319, 4.648, -1.692, -5.661, 17, 27.25, 82.81, 102.9
