# Created by WEAP: 1/5/2021 2:52:52 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_MPI-ESM-MR_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Middle Lewis (30,704 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (27,536 ha),  1000 - 2000 m (3,123 ha),  2000 - 3000 m (45 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, -1.166, -3.3, -6.23, 528.4, 524.2, 558.7
1950, 2, 2.322, 0.2746, -2.786, 180.1, 185.5, 204
1950, 3, 4.904, 2.923, -0.3747, 253.2, 250.6, 286.5
1950, 4, 5.071, 3.275, -0.1361, 231.8, 241.1, 309.8
1950, 5, 9.789, 7.931, 4.411, 121, 123.3, 166
1950, 6, 15.93, 14.27, 10.61, 61.51, 61.44, 108.1
1950, 7, 16.95, 15.33, 11.31, 74.49, 76.23, 116.5
1950, 8, 17.71, 16.01, 12.15, 49.23, 51.65, 68.86
1950, 9, 16.12, 14.26, 10.48, 73.64, 73.65, 98.09
1950, 10, 9.208, 7.158, 3.56, 68.76, 69.21, 93.24
1950, 11, 6.758, 4.698, 1.365, 322.8, 308.4, 365.2
1950, 12, 2.827, 0.7161, -2.048, 649.3, 648, 674.3
1951, 1, 0.4354, -1.707, -4.719, 475.3, 460.8, 508
1951, 2, -0.01302, -2.119, -4.892, 338.2, 333.7, 391
1951, 3, 5.628, 3.602, 0.3584, 297.2, 308.1, 349.1
1951, 4, 10.33, 8.544, 5.22, 213.3, 215.6, 293.9
1951, 5, 11.26, 9.474, 5.894, 99.26, 93.19, 121.6
1951, 6, 12.63, 10.87, 7.248, 104.7, 107, 169.2
1951, 7, 16.96, 15.24, 11.43, 55.43, 57.48, 84.93
1951, 8, 15.87, 14.08, 10.39, 14.42, 15.32, 26.99
1951, 9, 14.72, 12.91, 9.198, 36.51, 37.06, 44.16
1951, 10, 8.55, 6.647, 3.267, 397.6, 394.9, 449.2
1951, 11, 3.186, 1.02, -2.333, 390.7, 384.2, 413.1
1951, 12, 0.788, -1.311, -4.481, 386.5, 379.9, 417.4
1952, 1, 1.196, -0.8388, -4.025, 719.8, 714.1, 727.7
1952, 2, -0.6023, -2.537, -5.531, 395.5, 398.6, 448.2
1952, 3, 5.218, 3.437, 0.00791, 550.9, 554.9, 604.7
1952, 4, 8.475, 6.597, 3.057, 77.89, 77.87, 108.5
1952, 5, 11.57, 9.775, 6.017, 128.7, 135.4, 178.2
1952, 6, 12.86, 11.19, 7.546, 239.3, 245.1, 345.2
1952, 7, 15.33, 13.66, 9.803, 50.53, 46.99, 72.4
1952, 8, 16, 14.4, 10.62, 41.17, 41.4, 61.54
1952, 9, 11.47, 9.71, 6.338, 183.8, 183.9, 205.2
1952, 10, 7.741, 5.991, 2.356, 592.5, 596.5, 664.2
1952, 11, 3.252, 1.298, -2.08, 455.5, 446.6, 492
1952, 12, 0.7066, -1.511, -4.539, 348.5, 348.5, 406.9
1953, 1, 2.741, 0.6524, -2.292, 340.4, 337.1, 348.3
1953, 2, 3.211, 1.116, -1.832, 308.8, 296.4, 345.7
1953, 3, 6.113, 4.166, 0.7583, 240.9, 249.1, 279.6
1953, 4, 9.551, 7.786, 4.457, 122.7, 130.5, 168.8
1953, 5, 8.858, 7.007, 3.575, 242.3, 244.9, 330.7
1953, 6, 13.04, 11.27, 7.765, 162.1, 165.7, 260.1
1953, 7, 17.42, 15.62, 11.8, 33.27, 33.82, 59.38
1953, 8, 18.34, 16.71, 12.62, 35.35, 39.56, 54.58
1953, 9, 13.49, 11.7, 7.909, 189.7, 199.1, 201.5
1953, 10, 10.46, 8.435, 4.991, 191.3, 186.2, 213.6
1953, 11, 4.532, 2.567, -0.7753, 401.2, 394.5, 462.6
1953, 12, 0.5809, -1.538, -4.633, 623.1, 600.5, 645.1
1954, 1, 1.409, -0.7619, -3.823, 352.3, 343, 386.9
1954, 2, 1.849, -0.3044, -3.469, 197.9, 208.1, 239.8
1954, 3, 1.114, -0.9225, -4.151, 599.6, 617, 675.1
1954, 4, 5.481, 3.718, 0.3043, 245.8, 252.1, 334.6
1954, 5, 11.69, 9.755, 6.051, 94.88, 94.88, 127.4
1954, 6, 14.97, 13.29, 9.58, 61.85, 63.74, 89.52
1954, 7, 16.28, 14.6, 10.63, 18.47, 20.24, 33.71
1954, 8, 16.71, 14.98, 11.26, 56.74, 64.27, 75.86
1954, 9, 14.02, 12.29, 8.242, 137.3, 136.6, 180.4
1954, 10, 9.037, 7.079, 3.473, 133.7, 131, 159
1954, 11, 3.45, 1.421, -1.888, 745.6, 739.7, 829.7
1954, 12, 2.982, 0.966, -2.203, 622.8, 609.8, 631.5
1955, 1, 1.762, -0.3794, -3.28, 559.1, 558.1, 554.8
1955, 2, 4.785, 2.565, -0.4481, 198.4, 195.8, 228.8
1955, 3, 5.792, 3.827, 0.5341, 507.7, 509.7, 567.1
1955, 4, 8.552, 6.75, 3.193, 212.8, 224.9, 281.4
1955, 5, 10.04, 8.277, 4.708, 236.7, 238.3, 318.6
1955, 6, 13.15, 11.45, 7.816, 102, 99.27, 142.8
1955, 7, 15.33, 13.71, 9.783, 69.52, 70.37, 100.3
1955, 8, 15.17, 13.47, 9.578, 47.66, 48.52, 75.7
1955, 9, 14.9, 13, 9.073, 59.03, 60.37, 81.28
1955, 10, 9.144, 7.11, 3.59, 216.8, 209.1, 259.5
1955, 11, 3.225, 1.213, -2.15, 251.8, 254.5, 306.8
1955, 12, 2.141, -0.0514, -2.93, 540.4, 528.8, 584.3
1956, 1, 1.425, -0.7208, -3.764, 493, 512.2, 518.2
1956, 2, 2.429, 0.2422, -2.595, 199.5, 201.5, 246.6
1956, 3, 5.056, 2.973, -0.321, 264.6, 265.2, 309.6
1956, 4, 8.302, 6.332, 2.995, 61.33, 67.61, 86.97
1956, 5, 12.53, 10.64, 7.098, 30.31, 32.11, 45.66
1956, 6, 14.6, 12.93, 9.266, 119, 118.3, 175.8
1956, 7, 17.3, 15.57, 11.83, 9.051, 9.361, 10.62
1956, 8, 18.32, 16.55, 12.55, 4.834, 4.513, 5.848
1956, 9, 14.87, 13.01, 9.214, 193.3, 192.2, 224
1956, 10, 8.66, 6.733, 3.174, 543.1, 526.1, 619.9
1956, 11, 6.689, 4.619, 1.2, 160, 160.4, 199.9
1956, 12, -1.126, -3.332, -6.484, 427.6, 423.3, 461
1957, 1, -2.431, -4.54, -7.54, 577.2, 588.7, 582.1
1957, 2, 1.213, -0.9179, -3.899, 323.1, 314.6, 328.7
1957, 3, 4.114, 2.143, -1.123, 493.7, 499.1, 554.5
