# Created by WEAP: 1/5/2021 2:53:01 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_MPI-ESM-MR_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_NW_Upr Blue (91,639 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (15,587 ha),  3000 - 4000 m (74,807 ha),  4000 - 5000 m (1,246 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

1950, 1, -9.212, -11.32, -12.51, 39, 61.21, 78.57
1950, 2, -6.494, -8.263, -8.909, 10.12, 16.4, 19.41
1950, 3, -5.08, -7.266, -8.534, 56.15, 88.54, 110.1
1950, 4, -1.212, -3.538, -4.969, 48.98, 67.49, 81.88
1950, 5, 5.979, 3.517, 1.998, 28.59, 37.68, 46.38
1950, 6, 8.94, 6.705, 5.358, 50.79, 54.95, 54.75
1950, 7, 13.94, 11.76, 10.6, 12.65, 16.76, 18.98
1950, 8, 12.45, 10.34, 9.257, 26.04, 30.4, 34.54
1950, 9, 8.58, 6.367, 5.201, 42.29, 57.12, 63.77
1950, 10, 5.765, 3.498, 2.211, 52.6, 66.68, 75.33
1950, 11, -2.107, -4.228, -5.293, 25.39, 38.03, 45.47
1950, 12, -6.377, -8.243, -8.998, 38.26, 58.89, 73.91
1951, 1, -11.88, -13.6, -14.47, 62.9, 81.92, 90.36
1951, 2, -9.15, -11.13, -12.15, 54.36, 77.32, 90.88
1951, 3, -4.248, -5.986, -6.828, 25.92, 42.33, 52.66
1951, 4, 0.419, -2.23, -3.819, 50.02, 72.87, 92.43
1951, 5, 5.635, 3.168, 1.63, 35.81, 45.25, 52.4
1951, 6, 10.12, 7.811, 6.364, 37.04, 45.47, 49.78
1951, 7, 13.61, 11.29, 9.965, 27.86, 36.57, 41.35
1951, 8, 13.58, 11.35, 10.14, 27.02, 35.61, 37.31
1951, 9, 7.506, 5.16, 3.904, 51.5, 57.68, 59.21
1951, 10, 4.755, 2.678, 1.592, 17.91, 24.97, 31.43
1951, 11, -2.462, -4.94, -6.358, 26.8, 41.2, 54.73
1951, 12, -6.931, -8.935, -9.804, 49.19, 71.04, 84.45
1952, 1, -8.807, -10.95, -12.04, 27.86, 43.76, 55.43
1952, 2, -8.98, -10.94, -11.93, 35.52, 50.09, 58.88
1952, 3, -2.834, -4.993, -6.213, 47.45, 65.04, 76.06
1952, 4, 0.5046, -2.006, -3.512, 85.51, 120.4, 141
1952, 5, 5.184, 2.779, 1.317, 64.85, 89.06, 102.7
1952, 6, 10.12, 7.836, 6.469, 37.1, 40.39, 43.09
1952, 7, 13.42, 11.23, 10.02, 15.44, 19.19, 19.63
1952, 8, 14.31, 12.13, 10.98, 16.66, 21.41, 25.04
1952, 9, 10.8, 8.782, 7.749, 2.649, 2.657, 2.616
1952, 10, 3.266, 0.9408, -0.4278, 46.04, 57.24, 60.3
1952, 11, -0.4709, -2.994, -4.507, 24.38, 31.46, 35.54
1952, 12, -8.184, -10.31, -11.26, 21.85, 32.75, 39.71
1953, 1, -5.535, -7.217, -7.948, 33.38, 43.89, 50.82
1953, 2, -7.591, -9.195, -9.807, 21.32, 31.91, 37.04
1953, 3, -2.627, -4.949, -6.305, 40.4, 59.46, 73.1
1953, 4, 0.3041, -2.177, -3.686, 71.22, 95.51, 114.2
1953, 5, 6.681, 4.208, 2.627, 77.38, 93.72, 101.8
