# Created by WEAP: 1/5/2021 2:53:51 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_MPI-ESM-MR_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: UT_N_Soldier Creek (959,876 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (269,161 ha),  2000 - 3000 m (524,683 ha),  3000 - 4000 m (165,918 ha),  4000 - 5000 m (114 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

1950, 1, -8.528, -10.54, -15.44, -17.38, 15.86, 61.1, 96.74, 91.24
1950, 2, -5.625, -8.516, -13.56, -15.48, 12.57, 44.35, 75.22, 74.66
1950, 3, 3.204, -1.218, -6.028, -7.956, 12.91, 38.76, 64.58, 70.36
1950, 4, 8.201, 3.625, -1.544, -3.469, 11.55, 27.17, 57.03, 71.97
1950, 5, 14.55, 9.411, 4.348, 2.473, 12.71, 29.06, 67.96, 61.23
1950, 6, 16.73, 11.53, 6.621, 4.882, 42.43, 75.87, 133, 147.2
1950, 7, 22.43, 17.67, 12.58, 10.67, 14, 25.18, 40.58, 45.9
1950, 8, 20.15, 15.37, 10.19, 8.284, 19.86, 38.65, 61.42, 76.49
1950, 9, 17.42, 13.01, 7.736, 5.815, 5.212, 13.94, 25.51, 30.41
1950, 10, 11.13, 7.11, 2.026, 0.02221, 35.41, 63.82, 100, 101.1
1950, 11, 2.223, -1.296, -6.17, -7.963, 7.714, 25.95, 44.1, 49.51
1950, 12, -3.05, -5.704, -10.52, -12.42, 5.04, 28.89, 37.92, 38.24
1951, 1, -10.09, -11.81, -16.53, -18.31, 3.459, 18.94, 27.37, 24.51
1951, 2, -6.151, -8.708, -13.78, -15.72, 5.33, 16.55, 29.6, 27.62
1951, 3, 3.697, -0.285, -5.416, -7.429, 6.452, 17.78, 27.3, 21.81
1951, 4, 10.15, 5.116, 0.1898, -1.686, 26.1, 53.4, 84.52, 103.2
1951, 5, 13.55, 8.539, 3.666, 1.816, 16.91, 44.8, 91.16, 69.57
1951, 6, 18.89, 13.62, 8.807, 7.062, 17.13, 24.79, 42.42, 51.22
1951, 7, 23.07, 17.96, 12.91, 11.11, 8.108, 19.44, 29.98, 33.91
1951, 8, 21.35, 16.33, 11.44, 9.644, 3.639, 6.025, 8.196, 9.067
1951, 9, 15.3, 10.78, 5.727, 3.713, 8.321, 14.79, 23.13, 29.38
1951, 10, 9.831, 6.175, 1.375, -0.456, 11.57, 24.3, 44.29, 48.77
1951, 11, 1.555, -2.173, -7.25, -9.177, 24.66, 59.67, 86.99, 82.76
