# Created by WEAP: 1/5/2021 2:50:52 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_MPI-ESM-MR_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_SEATAC_Cedar (129,609 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (129,026 ha),  1000 - 2000 m (583 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

1950, 1, 2.461, -1.685, 154.1, 343.8
1950, 2, 5.392, 1.542, 60.3, 185.4
1950, 3, 8.258, 3.969, 86.78, 228.4
1950, 4, 8.73, 4.131, 70.33, 162.2
1950, 5, 12.59, 8.298, 40.3, 116.7
1950, 6, 18.52, 14.88, 24.4, 54.78
1950, 7, 18.87, 15.16, 46.89, 83.4
1950, 8, 19.54, 15.91, 23.09, 68.1
1950, 9, 17.4, 13.78, 29.58, 68.37
1950, 10, 11.3, 8.251, 25.63, 71.69
1950, 11, 9.383, 5.895, 149.9, 303.5
1950, 12, 6.916, 2.951, 241.2, 478.6
1951, 1, 4.223, -0.3764, 185.2, 399.7
1951, 2, 4.622, 0.541, 108.8, 262.3
1951, 3, 8.217, 4.32, 97.09, 229.9
1951, 4, 13.2, 9.888, 87.16, 175.3
1951, 5, 14.02, 9.994, 29.92, 82.94
1951, 6, 15.33, 10.81, 69.53, 199.7
1951, 7, 19, 15.27, 59.44, 91.9
1951, 8, 17.78, 13.74, 21.25, 53.62
1951, 9, 16.34, 12.41, 24.19, 56.11
1951, 10, 11.26, 7.345, 142.4, 362.2
1951, 11, 5.871, 1.988, 165.1, 309.3
1951, 12, 4.636, 0.3831, 141.7, 266.4
1952, 1, 5.069, 0.959, 210.4, 465
1952, 2, 3.474, -0.5931, 113.2, 273.3
1952, 3, 8.429, 4.096, 178.6, 409.9
1952, 4, 10.98, 6.569, 30, 75.62
1952, 5, 14.03, 10.22, 63.05, 163.1
1952, 6, 15.52, 11.39, 125.1, 212.9
1952, 7, 17.55, 13.45, 27.36, 59.87
1952, 8, 18.39, 14.23, 34.65, 64.06
1952, 9, 14.83, 10.58, 69.94, 194
1952, 10, 10.72, 6.256, 201.8, 443.9
1952, 11, 6.078, 2.206, 111.6, 313.7
1952, 12, 4.282, 0.3658, 127.5, 277.7
1953, 1, 7.046, 2.865, 111.4, 263.5
1953, 2, 7.072, 2.762, 92.17, 191.3
1953, 3, 8.682, 4.83, 79.54, 172.2
1953, 4, 12.68, 8.45, 40.95, 93.59
1953, 5, 12.45, 7.952, 113.2, 274
1953, 6, 16.25, 11.7, 70.12, 200.7
1953, 7, 19.2, 14.77, 32.92, 89.99
1953, 8, 19.59, 15.81, 22.75, 56.99
1953, 9, 15.53, 11.86, 70.01, 163.8
1953, 10, 12.41, 9.118, 77.63, 154.7
1953, 11, 8.238, 4.238, 172.3, 384.3
1953, 12, 4.158, 0.06748, 199.3, 370.9
1954, 1, 5.322, 1.159, 97.49, 227.6
1954, 2, 5.307, 1.243, 59.8, 152.4
1954, 3, 4.357, -0.2404, 157.4, 402.8
1954, 4, 8.749, 3.955, 108, 219.9
1954, 5, 13.58, 9.628, 44.61, 109.5
1954, 6, 17, 12.94, 30.91, 83.88
1954, 7, 18.21, 14.34, 24.97, 55.1
1954, 8, 18.67, 14.63, 39.26, 63.71
1954, 9, 15.36, 11.61, 75.59, 162.3
1954, 10, 10.57, 7.081, 77.33, 176.7
1954, 11, 6.921, 2.18, 288.7, 583
1954, 12, 6.802, 2.733, 171.3, 368
1955, 1, 6.25, 2.153, 157.2, 369.2
1955, 2, 8.263, 4.205, 87.13, 197.3
1955, 3, 9.035, 4.357, 155.4, 342.8
1955, 4, 11.12, 7.061, 110.3, 228.7
1955, 5, 13.52, 8.805, 93.17, 253.3
1955, 6, 15.38, 11.26, 46.08, 110.5
1955, 7, 17.4, 13.23, 54.41, 93.03
1955, 8, 16.84, 12.72, 62.54, 126.8
1955, 9, 15.82, 12.4, 52.11, 106.6
1955, 10, 11.2, 7.548, 111.6, 200.8
1955, 11, 6.554, 2.27, 129, 321.6
1955, 12, 6.293, 2.004, 207.7, 387.8
1956, 1, 5.342, 1.428, 193.9, 349
1956, 2, 6.105, 2.136, 91.8, 203.8
1956, 3, 7.285, 3.283, 88.94, 221.8
1956, 4, 11.13, 7.138, 34.43, 91.14
1956, 5, 15.03, 10.55, 16.38, 55.44
1956, 6, 16.99, 13.16, 48.85, 138
1956, 7, 19.41, 15.29, 12.21, 28.87
1956, 8, 19.98, 16.3, 2.797, 10.95
1956, 9, 16.86, 12.95, 78.78, 199.8
1956, 10, 11.42, 7.477, 165.9, 363.7
1956, 11, 9.226, 5.924, 75.01, 141.3
1956, 12, 2.343, -2.142, 114.5, 290.7
1957, 1, 1.197, -3.279, 192.5, 396.5
1957, 2, 5.332, 0.9415, 79.52, 211.8
1957, 3, 7.449, 2.752, 159.8, 382.5
1957, 4, 11.33, 7.086, 82.89, 200.2
1957, 5, 14.59, 10.61, 29.69, 92.1
1957, 6, 15.7, 10.93, 39.73, 97.14
1957, 7, 18.37, 14.99, 20.82, 46.32
1957, 8, 19.29, 15.8, 10.4, 23.56
1957, 9, 16.32, 12.74, 23.37, 64.74
1957, 10, 11.85, 8.055, 164.1, 359.7
1957, 11, 6.85, 3.74, 140, 224.8
1957, 12, 3.486, -1.04, 100.9, 265.7
1958, 1, 1.706, -2.83, 136.4, 327.4
1958, 2, 6.743, 2.446, 96.04, 178.8
1958, 3, 7.713, 3.625, 115, 287.3
1958, 4, 8.804, 4.266, 116.5, 295.1
1958, 5, 10.83, 6.29, 128.6, 250.3
1958, 6, 15.45, 11.27, 45.68, 76.75
1958, 7, 18.63, 14.65, 12.97, 39.28
1958, 8, 18.81, 15.07, 44.24, 128.3
1958, 9, 14.53, 10.78, 190.2, 354.9
1958, 10, 9.926, 5.936, 105.6, 256.8
1958, 11, 8.155, 4.456, 206.8, 462.1
1958, 12, 1.779, -2.883, 122.7, 305.8
