# Created by WEAP: 1/5/2021 2:51:00 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_MPI-ESM-MR_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_ID_AVA_Clark Fork and Pend Oreille (420,256 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (158,301 ha),  1000 - 2000 m (256,572 ha),  2000 - 3000 m (5,383 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, -7.518, -10.78, -13.22, 69.24, 92.63, 107.6
1950, 2, -3.094, -6.524, -9.267, 36.08, 53.56, 67.17
1950, 3, 3.4, -0.03886, -2.959, 68.08, 108.2, 140.5
1950, 4, 5.538, 2.297, -0.3591, 42.83, 63.68, 77.63
1950, 5, 10.27, 7.268, 4.9, 24.34, 33.19, 41.83
1950, 6, 18.51, 15.24, 12.59, 33.08, 39.11, 43.47
1950, 7, 19.59, 16.06, 13.06, 42.55, 62.5, 84.19
1950, 8, 19.21, 15.91, 13.15, 22.78, 32.06, 41.69
1950, 9, 15.53, 12.13, 9.254, 11.14, 14.6, 16.04
1950, 10, 5.6, 2.261, -0.5244, 17.78, 25.22, 32.54
1950, 11, 3.416, -0.03482, -2.713, 60.51, 85.98, 106.3
1950, 12, -0.5075, -3.83, -6.462, 147, 197.9, 219.4
1951, 1, -5.064, -8.304, -10.78, 96.44, 136.8, 165.8
1951, 2, -3.913, -7.134, -9.514, 31.18, 46.42, 60.72
1951, 3, 2.444, -0.9723, -3.708, 54.24, 71.61, 80.14
1951, 4, 11.25, 8.062, 5.27, 22.23, 28.99, 35.01
1951, 5, 11.8, 8.778, 6.476, 27.88, 38.84, 43.54
1951, 6, 15.36, 12.12, 9.572, 73.03, 94.39, 104.5
1951, 7, 19.19, 16.03, 13.38, 22.55, 35.35, 44.67
1951, 8, 17.7, 14.54, 11.88, 25.9, 36.02, 46.11
1951, 9, 13.94, 10.68, 7.856, 13.66, 18.24, 21.16
1951, 10, 6.189, 2.915, 0.1745, 97.64, 134.6, 158.8
1951, 11, -1.069, -4.159, -6.46, 78.03, 100, 105.1
1951, 12, -3.812, -7.127, -9.658, 55.92, 77.6, 88.42
1952, 1, -2.999, -6.353, -8.928, 146.5, 207.1, 253
1952, 2, -4.378, -7.529, -9.799, 46.65, 72.75, 91.17
1952, 3, 3.515, 0.1864, -2.542, 83.57, 121, 156.6
1952, 4, 8.763, 5.837, 3.498, 17.62, 23.97, 28.87
1952, 5, 12.21, 9.238, 6.889, 49.97, 68.34, 75.76
1952, 6, 14.29, 10.85, 8.024, 106.9, 133.6, 148.6
1952, 7, 17.85, 14.5, 11.75, 37.55, 44.78, 54.4
1952, 8, 17.76, 14.4, 11.69, 45.65, 70.7, 92.4
1952, 9, 10.84, 7.553, 4.708, 49.26, 62.71, 72.56
1952, 10, 6.089, 2.866, 0.276, 138.2, 185.1, 214.8
1952, 11, -0.9289, -4.106, -6.608, 93.14, 127.1, 145.2
