# Created by WEAP: 1/5/2021 2:53:45 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_MPI-ESM-MR_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: UT_N_Green (2,284,134 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (1,102,858 ha),  2000 - 3000 m (1,158,669 ha),  3000 - 4000 m (22,607 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

1950, 1, -6.826, -9.24, -14.79, 21.01, 37.5, 71.21
1950, 2, -3.918, -6.834, -13.09, 10.03, 18.45, 45.24
1950, 3, 3.932, -0.1676, -5.118, 22.11, 42.94, 65.96
1950, 4, 8.918, 4.501, -1.089, 14, 23.65, 81.32
1950, 5, 15.17, 10.83, 5.222, 14.51, 30.27, 65.45
1950, 6, 18.14, 13.9, 7.919, 36.67, 57.59, 117.4
1950, 7, 23.46, 19.23, 13.61, 16.35, 25.34, 33.46
1950, 8, 21.4, 17.1, 11.37, 18.45, 27.8, 49.4
1950, 9, 18.34, 14.09, 8.372, 9.633, 15.83, 34.21
1950, 10, 11.76, 7.954, 2.399, 27.37, 40.19, 99.16
1950, 11, 3.436, 0.07404, -5.429, 11.95, 22.45, 42.33
1950, 12, -2.045, -4.779, -10.19, 7.758, 16.7, 24.63
1951, 1, -8.922, -11.03, -16.37, 4.791, 12.47, 16.65
1951, 2, -4.366, -7.515, -13.38, 4.269, 10.97, 25.39
1951, 3, 4.561, 0.4299, -5.154, 7.192, 10.07, 13.9
1951, 4, 10.75, 6.308, 0.9278, 29.29, 43.32, 61.74
1951, 5, 14.17, 9.916, 4.843, 21.22, 39.34, 76.6
1951, 6, 19.76, 15.39, 9.897, 13.24, 23.92, 32.44
1951, 7, 24.18, 19.81, 14.2, 9.149, 15.45, 29.68
1951, 8, 22.23, 18.1, 12.7, 3.951, 7.292, 16.64
1951, 9, 16.13, 11.95, 6.554, 17.52, 23.02, 27.77
1951, 10, 10.73, 7.158, 1.942, 16.72, 28.73, 47.14
1951, 11, 2.414, -1.219, -6.674, 25.22, 39.08, 66.24
1951, 12, -3.353, -6.309, -11.41, 16.72, 28.4, 55.87
1952, 1, -6.363, -8.882, -14.61, 11.51, 22.55, 32.95
1952, 2, -5.673, -8.864, -15.09, 22.21, 42.17, 83.85
1952, 3, 7.216, 3.146, -1.835, 5.062, 10.19, 15.9
1952, 4, 9.084, 4.901, 0.01182, 34.33, 54.96, 105.7
1952, 5, 14.81, 10.54, 5.21, 9.63, 16.81, 28.03
1952, 6, 20.07, 15.82, 10.41, 12.64, 21.75, 44.56
1952, 7, 23.22, 19.05, 13.88, 4.972, 10.78, 21.79
1952, 8, 24.12, 19.9, 14.61, 3.045, 4.48, 7.323
1952, 9, 17.57, 13.44, 8.195, 0.499, 2.663, 5.26
1952, 10, 10.27, 6.483, 1.361, 25.37, 39.49, 64.1
1952, 11, 4.374, 0.7519, -4.259, 19.81, 32.8, 69.69
1952, 12, -4.79, -7.625, -13.32, 3.295, 6.486, 12.25
1953, 1, -0.1935, -2.847, -7.627, 6.448, 13.1, 19.4
1953, 2, -0.3798, -3.803, -9.021, 6.342, 13.06, 21.94
1953, 3, 5.701, 1.625, -3.647, 12.09, 23.72, 71.64
1953, 4, 10.57, 6.292, 1.232, 33.55, 49.21, 100.1
1953, 5, 15.42, 11.12, 5.73, 23.84, 43.47, 86.18
1953, 6, 19.79, 15.45, 9.836, 11.38, 19.43, 57.92
1953, 7, 25.05, 20.86, 15.88, 2.722, 4.875, 4.307
1953, 8, 22.23, 18.17, 12.86, 30.63, 47.38, 69.62
