# Created by WEAP: 1/5/2021 2:53:14 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_MPI-ESM-MR_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: NM_N_Middle Rio Grande (5,809,106 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (2,442,802 ha),  2000 - 3000 m (3,127,648 ha),  3000 - 4000 m (238,657 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

1950, 1, 2.098, -2.617, -8.295, 6.079, 19.07, 58.95
1950, 2, 5.005, 0.4017, -5.368, 4.806, 9.741, 23.1
1950, 3, 7.34, 2.442, -3.681, 15.62, 32.58, 84.69
1950, 4, 13.26, 8.639, 2.57, 3.201, 7.729, 30.17
1950, 5, 17.31, 12.63, 6.797, 9.556, 12.64, 29.03
1950, 6, 21.38, 16.44, 10.26, 19.12, 28.95, 61.89
1950, 7, 25.56, 21.05, 15.05, 27.66, 28.64, 41.81
1950, 8, 23.91, 19.62, 13.85, 40.73, 46.35, 59.62
1950, 9, 18.81, 14.98, 9.183, 83.02, 79.58, 94.41
1950, 10, 13.7, 9.91, 4.32, 34.01, 38.48, 70.01
1950, 11, 7.775, 4.027, -1.582, 26.17, 31.6, 68.33
1950, 12, 3.418, -0.2906, -5.659, 8.499, 15.41, 44.14
1951, 1, -0.02071, -4.641, -10.24, 17.32, 26.74, 77.95
1951, 2, 4.778, -0.1113, -6.418, 27.88, 38.55, 93.25
1951, 3, 9.057, 4.598, -1.513, 11.69, 20.08, 56.99
1951, 4, 13.04, 8.215, 1.782, 35.32, 66.97, 177.7
1951, 5, 16.31, 11.63, 5.633, 5.591, 13.1, 34.44
1951, 6, 21.41, 16.86, 10.51, 9.63, 14.82, 26.33
1951, 7, 24.77, 20.28, 13.75, 41.78, 55.51, 88.65
1951, 8, 23.54, 19.31, 13.32, 51.67, 62.1, 77.33
1951, 9, 18.84, 14.55, 8.819, 27.51, 34.64, 58.63
1951, 10, 15.07, 11.28, 5.723, 38.76, 27.62, 24.3
1951, 11, 7.084, 3.236, -2.225, 22.45, 33.55, 83.76
1951, 12, 2.407, -1.655, -6.75, 33.31, 51.48, 120.4
1952, 1, 0.2517, -3.903, -9.515, 10.39, 18.23, 52.4
1952, 2, 3.532, -1.389, -7.388, 10.59, 20.52, 60.67
1952, 3, 8.967, 4.715, -1.088, 10.66, 14.55, 44.53
1952, 4, 11.23, 6.773, 0.9762, 22.86, 31.18, 86.75
1952, 5, 16.39, 12.01, 6.269, 14.57, 22.58, 60.54
1952, 6, 21.69, 17.3, 11.17, 10.4, 15.14, 29.5
1952, 7, 25.05, 20.51, 14.34, 23.53, 33.66, 54.64
1952, 8, 25.46, 20.92, 14.75, 23.5, 37.55, 65.93
1952, 9, 22.28, 17.58, 11.77, 9.632, 10.78, 15.71
1952, 10, 12.99, 9.026, 3.51, 25.15, 34.77, 47.94
1952, 11, 9.101, 5.003, -0.1315, 1.754, 5.622, 18.52
1952, 12, 1.355, -2.372, -8.018, 12.45, 13.32, 32.87
1953, 1, 4.305, 0.08432, -5.422, 9.031, 21.31, 58.81
1953, 2, 4.775, -0.2775, -6.412, 11.25, 18.97, 45.25
1953, 3, 11.03, 6.023, -0.5524, 4.297, 13.93, 53.45
1953, 4, 13.9, 9.024, 2.666, 24.67, 44.45, 116.9
1953, 5, 19.3, 14.43, 8.118, 7.143, 15.46, 51.27
1953, 6, 22.68, 18.12, 11.48, 15.19, 15.86, 24.68
1953, 7, 26.98, 22.68, 16.34, 21.21, 26.05, 34.77
1953, 8, 24.42, 20, 13.96, 23.8, 37.07, 59.09
1953, 9, 22.06, 18.15, 12.6, 41.45, 39.09, 36.96
1953, 10, 12.7, 8.723, 2.985, 34.15, 45.68, 81.79
1953, 11, 5.345, 1.339, -4.203, 26.82, 50.14, 126.6
1953, 12, 0.2107, -4.456, -10.54, 16.37, 32.65, 103.5
1954, 1, 2.113, -2.339, -8.175, 3.492, 7.044, 23.49
1954, 2, 4.697, -0.204, -6.372, 11.69, 23.51, 55.3
1954, 3, 5.662, 0.6864, -5.173, 2.197, 11.58, 32.68
