# Created by WEAP: 1/5/2021 2:51:53 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_MPI-ESM-MR_r1i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Trinity (185,534 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (44,576 ha),  1000 - 2000 m (119,967 ha),  2000 - 3000 m (20,991 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, 2.546, -1.362, -3.829, 355.9, 435.8, 467.8
1950, 2, 5.345, 1.578, -0.783, 179.3, 198.8, 183.2
1950, 3, 7.399, 3.803, 1.417, 149.4, 193.2, 195.1
1950, 4, 10.41, 6.652, 4.148, 44.73, 71.9, 77.94
1950, 5, 13.92, 10.2, 7.692, 37.76, 46.92, 56.83
1950, 6, 19.43, 15.73, 13.39, 38.83, 44.76, 46.36
1950, 7, 23.16, 19.17, 16.72, 0.9646, 1.441, 0.8255
1950, 8, 22.78, 18.77, 16.38, 0.1062, 0.1212, 0.1391
1950, 9, 20.75, 16.71, 14.29, 62.46, 75.85, 78.33
1950, 10, 13.41, 9.423, 6.93, 35.11, 43.34, 47.35
1950, 11, 8.646, 4.637, 1.923, 3.218, 7.499, 10.19
1950, 12, 4.366, 0.8835, -1.605, 333.4, 423, 433
1951, 1, 1.444, -2.407, -4.786, 283.7, 313.4, 331
1951, 2, 3.515, -0.3923, -2.872, 21.84, 35.84, 44.21
1951, 3, 8.868, 5.006, 2.645, 252.6, 299.8, 287
1951, 4, 11.52, 7.852, 5.535, 86.46, 112.8, 121.6
1951, 5, 15.46, 11.71, 9.265, 14.21, 18.69, 22.77
1951, 6, 17.94, 14.22, 11.81, 10.07, 13.28, 12.94
1951, 7, 22.61, 18.67, 16.21, 7.504, 11.72, 11.94
1951, 8, 20.88, 16.98, 14.53, 22.72, 32.62, 37.7
1951, 9, 17.75, 13.64, 11.22, 130.3, 155.6, 156.1
1951, 10, 13, 9.241, 6.752, 83.09, 136.5, 156.5
1951, 11, 5.02, 1.089, -1.419, 210.6, 272.4, 271.9
1951, 12, 2.527, -1.523, -4.241, 64.18, 108.5, 125.4
