# Created by WEAP: 9/4/2020 10:29:25 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: WA_W_Upr Lewis (124,054 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (68,167 ha),  1000 - 2000 m (55,202 ha),  2000 - 3000 m (685 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m

1970, 1, 795.4, 742.4, 945.5, -0.7878, -3.274, -7.539, 3.142, 3.141, 3.139
1970, 2, 304.5, 265, 336.9, 3.88, 1.442, -2.93, 2.58, 2.578, 2.596
1970, 3, 229.2, 217.6, 285.2, 4.169, 1.922, -2.375, 2.431, 2.431, 2.443
1970, 4, 263.1, 242.7, 343.4, 4.067, 2.076, -2.262, 2.991, 2.987, 2.993
1970, 5, 74.84, 70.31, 96.06, 10.38, 8.459, 4.122, 2.372, 2.35, 2.353
1970, 6, 39.01, 39.78, 52.05, 16.05, 14.03, 9.662, 2.618, 2.599, 2.609
1970, 7, 18.08, 13.91, 17.01, 17.61, 15.69, 11.32, 2.566, 2.522, 2.525
1970, 8, 1.061, 1.153, 1.907, 16.82, 14.93, 10.64, 2.433, 2.398, 2.4
1970, 9, 121.5, 118, 149.5, 11.59, 9.577, 5.217, 2.224, 2.218, 2.221
1970, 10, 204.5, 190, 252.4, 7.745, 5.572, 1.163, 2.534, 2.533, 2.541
1970, 11, 443.5, 400.3, 526.2, 3.544, 1.074, -3.311, 3.296, 3.307, 3.313
