# Created by WEAP: 9/4/2020 10:27:41 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: CA_SCE_VLY_Upr Kern (80,088 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (8,400 ha),  1000 - 2000 m (48,752 ha),  2000 - 3000 m (22,918 ha),  3000 - 4000 m (17 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 3000 to 4000 m

1970, 1, 123.4, 284.3, 389.8, 366.1, 8.019, 4.965, 0.717, -1.761, 1.606, 1.618, 1.633, 1.642
1970, 2, 46.57, 79.87, 103.4, 101.3, 11.05, 7.763, 3.525, 1.147, 1.679, 1.676, 1.697, 1.72
1970, 3, 47.69, 97.38, 136.3, 133.8, 10.86, 7.3, 3.071, 0.8934, 1.924, 1.899, 1.898, 1.913
1970, 4, 10.32, 31.7, 52.28, 50.54, 11.84, 8.138, 3.933, 1.89, 2.599, 2.57, 2.555, 2.556
1970, 5, 0, 0, 0, 0, 19.44, 15.51, 11.27, 9.286, 2.246, 2.237, 2.237, 2.244
1970, 6, 5.313, 7.487, 9.947, 11.18, 23.3, 18.74, 14.4, 12.79, 2.232, 2.223, 2.213, 2.208
1970, 7, 1.146, 1.089, 1.503, 2, 28.84, 25.06, 20.93, 19.11, 1.761, 1.776, 1.794, 1.803
1970, 8, 0, 0, 0, 0, 27.55, 23.6, 19.44, 17.49, 1.522, 1.537, 1.549, 1.552
1970, 9, 0, 0, 0, 0, 22.57, 18.25, 13.89, 12.05, 1.791, 1.793, 1.808, 1.822
1970, 10, 0.9574, 1.141, 1.566, 1.866, 16.99, 13.36, 9.105, 6.906, 1.676, 1.675, 1.7, 1.726
1970, 11, 96.77, 185.4, 263.3, 260.5, 11.85, 8.617, 4.41, 2.056, 1.879, 1.879, 1.894, 1.909
1970, 12, 92.67, 180.5, 242.7, 240.2, 5.458, 2.149, -2.172, -4.52, 1.731, 1.746, 1.775, 1.795
1971, 1, 23.22, 61.37, 85.05, 78.86, 7.199, 3.953, -0.2531, -2.606, 1.977, 1.985, 2.01, 2.03
1971, 2, 11.7, 29.16, 38.71, 34.47, 7.921, 4.446, 0.3292, -1.761, 1.96, 1.945, 1.951, 1.964
1971, 3, 18.29, 42.21, 60.92, 58.48, 10.87, 7.342, 3.137, 0.9579, 2.097, 2.062, 2.061, 2.081
1971, 4, 17.52, 47.63, 78.2, 74.99, 11.92, 8.226, 4.054, 2.012, 2.65, 2.621, 2.615, 2.627
1971, 5, 23.03, 55.15, 100.5, 106.8, 15.29, 11.15, 6.865, 5.011, 2.46, 2.444, 2.441, 2.446
1971, 6, 0, 0, 0, 0, 21.69, 17.78, 13.62, 11.72, 2.397, 2.399, 2.395, 2.39
1971, 7, 2.276, 10.79, 14.32, 14.04, 27.12, 23.09, 18.88, 16.96, 2.062, 2.087, 2.104, 2.107
1971, 8, 1.788, 7.421, 8.558, 7.523, 27.61, 23.76, 19.58, 17.54, 1.811, 1.817, 1.81, 1.799
1971, 9, 1.822, 3.427, 4.918, 3.62, 23.26, 19.43, 15.2, 13.11, 1.441, 1.45, 1.46, 1.465
1971, 10, 1.073, 3.878, 6.673, 5.443, 15.27, 11.53, 7.274, 5.189, 1.586, 1.585, 1.601, 1.618
1971, 11, 19.03, 41.85, 60.66, 58.25, 10.12, 6.506, 2.266, 0.07887, 1.623, 1.625, 1.648, 1.671
1971, 12, 104.6, 226.2, 306, 303.4, 4.119, 0.7919, -3.473, -5.786, 2.198, 2.202, 2.224, 2.244
1972, 1, 3.091, 15.65, 22.92, 20.04, 6.526, 3.126, -1.062, -3.309, 2.125, 2.121, 2.141, 2.163
1972, 2, 18.43, 39.22, 52.26, 48.31, 10.07, 6.642, 2.399, 0.1291, 1.695, 1.675, 1.672, 1.681
1972, 3, 0, 0, 0, 0, 14.64, 10.85, 6.644, 4.602, 1.896, 1.863, 1.844, 1.843
1972, 4, 13.39, 43.68, 72.78, 71.96, 14.21, 10.26, 6.02, 4.058, 2.318, 2.299, 2.304, 2.321
1972, 5, 0.9712, 6.318, 12.07, 11.64, 19.27, 15.25, 10.96, 9.001, 1.985, 1.979, 1.983, 1.99
1972, 6, 18.72, 25.54, 36.6, 37.23, 23.83, 19.98, 15.77, 13.74, 1.806, 1.815, 1.818, 1.815
1972, 7, 0, 0, 0, 0, 28.03, 24.11, 19.96, 18.01, 2.027, 2.036, 2.054, 2.067
1972, 8, 18.39, 37.82, 46.88, 40.13, 25.33, 21.23, 17.04, 15.13, 1.714, 1.715, 1.702, 1.689
1972, 9, 0, 0.01058, 0.01294, 0, 21.66, 17.7, 13.49, 11.48, 1.151, 1.171, 1.185, 1.187
1972, 10, 9.261, 21.66, 35.08, 31.34, 15.32, 11.45, 7.152, 5.037, 1.495, 1.508, 1.527, 1.539
1972, 11, 79.74, 150.4, 213.3, 212, 8.751, 5.343, 1.118, -1.15, 1.825, 1.832, 1.858, 1.88
1972, 12, 79.69, 168.8, 229.9, 223.9, 5.484, 1.962, -2.284, -4.516, 1.991, 1.992, 2.016, 2.041
1973, 1, 130.4, 286.2, 390.3, 371, 5.432, 2.203, -2.144, -4.596, 2.249, 2.246, 2.261, 2.277
1973, 2, 97.26, 185.1, 239.1, 230.1, 8.624, 5.199, 0.8186, -1.491, 2.308, 2.324, 2.344, 2.355
1973, 3, 80.15, 170.2, 237.5, 230, 7.521, 3.971, -0.2178, -2.301, 1.923, 1.92, 1.928, 1.938
1973, 4, 5.438, 21.19, 36.21, 33.24, 13.36, 9.469, 5.172, 3.169, 2.488, 2.464, 2.474, 2.497
1973, 5, 5.603, 16.95, 30.38, 36.42, 20.32, 16.52, 12.29, 10.24, 1.868, 1.856, 1.847, 1.844
1973, 6, 0, 0, 0, 0, 24.3, 20.35, 16.15, 14.19, 2.119, 2.125, 2.144, 2.159
1973, 7, 0, 0, 0, 0, 26.77, 22.99, 18.89, 16.86, 2.321, 2.334, 2.341, 2.34
1973, 8, 3.625, 4.153, 4.46, 4.379, 25.35, 21.58, 17.43, 15.41, 1.776, 1.797, 1.811, 1.811
1973, 9, 0, 0, 0, 0, 21.84, 18.1, 13.94, 11.91, 1.788, 1.779, 1.769, 1.764
1973, 10, 5.732, 16.81, 30.01, 26.02, 17.48, 13.67, 9.437, 7.355, 1.308, 1.322, 1.347, 1.364
1973, 11, 40.47, 92.17, 129.1, 129.4, 9.708, 6.246, 2.096, 0.03587, 2.023, 2.006, 2.014, 2.031
1973, 12, 42.92, 107.6, 149, 142.1, 8.693, 5.278, 1.044, -1.22, 2.005, 1.979, 1.982, 2
1974, 1, 106, 204.4, 275.5, 270.4, 6.256, 3.053, -1.39, -3.923, 1.873, 1.845, 1.844, 1.858
1974, 2, 8.539, 18.92, 26.36, 23.1, 8.804, 5.148, 0.8853, -1.275, 1.964, 1.934, 1.939, 1.961
1974, 3, 81.59, 167.5, 235.7, 232.9, 10.97, 7.265, 3.027, 0.9483, 1.774, 1.77, 1.782, 1.796
1974, 4, 48.09, 97.7, 152.5, 157.6, 13.09, 9.479, 5.255, 3.089, 2.221, 2.207, 2.22, 2.241
1974, 5, 6.29, 14.16, 24.97, 29.02, 17.93, 14.2, 10.07, 8.078, 2.376, 2.352, 2.345, 2.351
1974, 6, 0, 0, 0, 0, 23.84, 19.93, 15.76, 13.82, 2.129, 2.121, 2.112, 2.108
1974, 7, 5.874, 9.363, 12.21, 14.4, 25.73, 21.77, 17.59, 15.69, 2.157, 2.175, 2.193, 2.201
