# Created by WEAP: 9/4/2020 10:27:49 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: WA_W_Carbon (73,012 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (55,196 ha),  1000 - 2000 m (16,317 ha),  2000 - 3000 m (1,117 ha),  3000 - 4000 m (294 ha),  4000 - 5000 m (88 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 4000 to 5000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 3000 to 4000 m, wind[m/s]:Elevation 4000 to 5000 m

1970, 1, 275.9, 367.2, 570.1, 553.4, 522.9, 2.788, -2.532, -7.591, -10.04, -13.58, 2.976, 3.001, 3.02, 3.024, 3.031
1970, 2, 96.88, 132.2, 209.7, 206.8, 200.3, 6.445, 1.408, -3.913, -6.39, -9.96, 2.724, 2.687, 2.669, 2.666, 2.661
1970, 3, 80.2, 119.8, 164.2, 166.5, 168.7, 6.327, 0.663, -5.123, -7.777, -11.6, 2.492, 2.48, 2.474, 2.473, 2.472
1970, 4, 154.7, 240.8, 258.9, 258.3, 257.5, 6.604, 0.6826, -5.118, -7.827, -11.74, 2.917, 2.925, 2.934, 2.937, 2.941
1970, 5, 67.95, 101.8, 95.91, 88.53, 77.6, 11.54, 6.218, 0.8261, -1.846, -5.707, 2.228, 2.227, 2.24, 2.245, 2.253
1970, 6, 33.66, 65.01, 69.74, 64.21, 55.83, 16.39, 11.37, 6.44, 3.899, 0.2259, 2.585, 2.571, 2.575, 2.578, 2.583
1970, 7, 24.46, 34.14, 27.16, 24.96, 21.75, 17.58, 12.73, 8.36, 5.857, 2.231, 2.401, 2.376, 2.383, 2.389, 2.398
1970, 8, 12.97, 16.85, 7.094, 6.657, 6.226, 17.05, 12.29, 8.54, 6.259, 2.954, 2.254, 2.242, 2.254, 2.26, 2.269
1970, 9, 99.26, 155.2, 169.5, 167.8, 165.4, 12.93, 7.823, 3.085, 0.6148, -2.957, 2.198, 2.199, 2.202, 2.204, 2.206
1970, 10, 102.3, 145.7, 190.5, 191, 191.1, 8.976, 4.289, -0.1885, -2.537, -5.931, 2.614, 2.596, 2.586, 2.585, 2.582
1970, 11, 153.2, 243.2, 383, 381.9, 377.5, 5.837, 0.6476, -4.67, -7.136, -10.69, 3.346, 3.355, 3.355, 3.355, 3.353
1970, 12, 217.8, 308.3, 534.4, 539.5, 541.5, 1.884, -3.476, -8.765, -11.27, -14.87, 3.515, 3.539, 3.55, 3.552, 3.556
1971, 1, 292.1, 510.4, 884.3, 877.5, 859.4, 2.475, -3.009, -8.338, -10.8, -14.34, 3.356, 3.408, 3.433, 3.436, 3.441
1971, 2, 132.4, 206.1, 375, 380.2, 383.7, 3.841, -1.387, -6.507, -8.937, -12.44, 2.949, 2.97, 2.986, 2.99, 2.995
1971, 3, 178.5, 250.5, 405.5, 426.5, 453.8, 3.87, -1.808, -7.39, -9.978, -13.71, 2.956, 2.959, 2.966, 2.969, 2.973
1971, 4, 83.61, 114.2, 121.2, 124, 128.1, 8.001, 2.672, -2.814, -5.416, -9.171, 2.368, 2.358, 2.359, 2.361, 2.363
1971, 5, 87.14, 139.2, 159.2, 150.5, 137, 12.02, 6.803, 1.981, -0.4985, -4.082, 2.838, 2.859, 2.883, 2.89, 2.9
1971, 6, 127.4, 195.5, 186.7, 168.7, 141.7, 12.18, 6.823, 1.926, -0.6453, -4.367, 1.987, 1.975, 1.974, 1.975, 1.977
1971, 7, 36.42, 57.92, 64.28, 57.77, 47.94, 17.81, 13.09, 9.081, 6.755, 3.387, 2.088, 2.065, 2.073, 2.079, 2.088
1971, 8, 24.38, 31.2, 24.21, 23.77, 23.27, 19.16, 14.15, 10.02, 7.719, 4.389, 2.166, 2.155, 2.169, 2.176, 2.186
1971, 9, 122.6, 154.9, 155.6, 155.5, 155.7, 13.33, 7.942, 3.118, 0.6942, -2.808, 2.096, 2.107, 2.116, 2.119, 2.123
1971, 10, 98.45, 145.5, 199.6, 201, 202.2, 8.644, 3.494, -1.138, -3.575, -7.098, 2.093, 2.1, 2.103, 2.103, 2.103
1971, 11, 174.9, 252.8, 357.6, 356.7, 353.8, 5.364, -0.1185, -5.344, -7.848, -11.46, 2.641, 2.648, 2.653, 2.655, 2.657
1971, 12, 216.7, 371, 617.4, 624, 628.1, 1.34, -3.832, -8.983, -11.51, -15.16, 3.106, 3.17, 3.205, 3.211, 3.22
1972, 1, 262.7, 444.3, 867.1, 868.2, 860.4, 0.5548, -4.8, -10.1, -12.63, -16.28, 3.408, 3.464, 3.488, 3.491, 3.494
1972, 2, 284.8, 429.6, 696.5, 701.2, 701.2, 3.66, -1.412, -6.357, -8.788, -12.3, 3.206, 3.202, 3.207, 3.209, 3.213
1972, 3, 192.8, 279.6, 456.4, 486.1, 526, 6.518, 0.9737, -4.581, -7.15, -10.85, 2.462, 2.447, 2.443, 2.443, 2.443
